# logged on Tue Dec  5 11:35:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772521.451126000  999.775 0 49.9894  -  nan  -0.241909 0.233741 -0.0265606  -0.241909 0.233741 -0.0265606  0.0706892 0.161892 8.57793  0.0706892 0.161892 8.57793  - - -  - - -  69.7424 63.7111 71.6595 70.2297 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.456127000  999.774 0 49.9906  -  nan  -0.24232 0.176001 -0.0245454  -0.24232 0.176001 -0.0245454  0.10874 0.144206 10.2333  0.10874 0.144206 10.2333  - - -  - - -  69.7484 63.1314 71.8472 70.6682 - - - - 70.4424 - 71.5001 - - - - - 139 146 134 71 0 0 0 0
1701772521.461116000  999.774 0 49.9925  -  nan  -0.359409 0.293642 0.00406693  -0.359409 0.293642 0.00406693  0.0629749 0.00705546 9.21868  0.0629749 0.00705546 9.21868  - - -  - - -  68.8932 62.0389 72.1316 71.1682 - - - - - 63.4921 - - - - - - 139 146 134 71 0 0 0 0
1701772521.466223000  999.765 0 49.9913  -  nan  -0.241708 0.262105 -0.0275506  -0.241708 0.262105 -0.0275506  0.113438 0.154572 9.26329  0.113438 0.154572 9.26329  - - -  - - -  69.0255 62.5996 71.5403 70.9745 - - - - - - - 70.4424 - - - - 139 146 134 70 0 0 0 0
1701772521.471135000  999.767 0 49.9913  -  nan  -0.286161 0.262848 -0.0170231  -0.286161 0.262848 -0.0170231  0.156002 0.100591 9.6672  0.156002 0.100591 9.6672  - - -  - - -  68.8624 61.7715 71.8196 71.5425 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1701772521.476134000  999.769 0 49.994  -  nan  -0.387371 0.393517 -0.0149795  -0.387371 0.393517 -0.0149795  0.0669082 0.107297 9.03908  0.0669082 0.107297 9.03908  - - -  - - -  68.5768 61.2096 71.8218 71.6452 - - - - 70.028 - 71.7154 - - - - - 139 146 134 70 0 0 0 0
1701772521.481140000  999.771 0 49.9946  -  nan  -0.270857 0.36354 -0.033136  -0.270857 0.36354 -0.033136  0.15932 0.107912 8.98217  0.15932 0.107912 8.98217  - - -  - - -  69.1651 61.6 71.0901 71.4929 - - - - - 64.0041 - - - - - - 139 146 134 70 0 0 0 0
1701772521.486168000  999.772 0 49.9942  -  nan  -0.358469 0.378662 -0.0260723  -0.358469 0.378662 -0.0260723  0.203911 0.150911 9.60648  0.203911 0.150911 9.60648  - - -  - - -  68.9729 60.5936 71.3991 72.0726 - - - - - - - 71.9321 - - - - 139 146 134 70 0 0 0 0
1701772521.491123000  999.773 0 49.9942  -  nan  -0.430739 0.523381 -0.0225444  -0.430739 0.523381 -0.0225444  0.113617 0.0624617 8.58719  0.113617 0.0624617 8.58719  - - -  - - -  68.9582 60.5139 71.0521 71.8938 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1701772521.496115000  999.773 0 49.9947  -  nan  -0.328025 0.435724 -0.0396047  -0.328025 0.435724 -0.0396047  0.204743 0.152747 9.43473  0.204743 0.152747 9.43473  - - -  - - -  69.7923 61.0354 70.442 71.6633 - - - - - - 70.8617 - - - - - 139 146 134 70 0 0 0 0
1701772521.501112000  999.773 0 49.9976  -  nan  -0.445468 0.479888 -0.0220138  -0.445468 0.479888 -0.0220138  0.207418 0.204902 9.20192  0.207418 0.204902 9.20192  - - -  - - -  69.2737 59.7669 70.8344 72.3041 - - - - 68.4182 60.4303 - - - - - - 139 146 134 70 0 0 0 0
1701772521.506204000  999.775 0 49.9979  -  nan  -0.489038 0.581388 -0.0285888  -0.489038 0.581388 -0.0285888  0.119794 0.168598 7.95081  0.119794 0.168598 7.95081  - - -  - - -  69.2226 59.9803 70.562 72.0583 - - - - - - - 71.7154 - - - - 139 146 134 70 0 0 0 0
1701772521.511122000  999.778 0 49.9979  -  nan  -0.386432 0.478536 -0.0451187  -0.386432 0.478536 -0.0451187  0.248948 0.196966 9.94486  0.248948 0.196966 9.94486  - - -  - - -  70.1084 60.9164 69.8691 71.614 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1701772521.516123000  999.784 0 49.9994  -  nan  -0.532095 0.609949 -0.0325475  -0.532095 0.609949 -0.0325475  0.163285 0.209168 8.80248  0.163285 0.209168 8.80248  - - -  - - -  69.3421 59.4735 70.5086 72.0534 - - - - 68.0272 - 69.8227 - - - - - 139 146 134 70 0 0 0 0
1701772521.521119000  999.788 0 49.9994  -  nan  -0.576037 0.682614 -0.0245303  -0.576037 0.682614 -0.0245303  0.0709633 0.162497 8.52134  0.0709633 0.162497 8.52134  - - -  - - -  69.8378 60.5402 69.6779 71.5441 - - - - - 61.8429 - - - - - - 139 146 134 70 0 0 0 0
1701772521.526203000  999.787 0 49.9985  -  nan  -0.517959 0.522694 -0.0556867  -0.517959 0.522694 -0.0556867  0.251812 0.295792 9.99252  0.251812 0.295792 9.99252  - - -  - - -  70.3068 60.9009 69.2245 71.4428 - - - - - - - 70.2346 - - - - 139 146 134 70 0 0 0 0
