# logged on Tue Nov 14 13:53:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966385.548741000  1000.68 0 49.9927  -  nan  -0.0380777 -0.0526011 -0.00144501  -0.0380777 -0.0526011 -0.00144501  0.107234 -0.0480156 10.1224  0.107234 -0.0480156 10.1224  - - -  - - -  74.4596 73.018 68.0704 65.1934 - - - - 74.4048 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.553725000  1000.69 0 49.9927  -  nan  -0.0383876 0.00273033 -0.00294137  -0.0383876 0.00273033 -0.00294137  -0.0817466 0.138848 9.70308  -0.0817466 0.138848 9.70308  - - -  - - -  73.9758 73.306 68.2213 64.8428 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.558749000  1000.68 0 49.9921  -  nan  0.0611523 0.0178956 -0.015717  0.0611523 0.0178956 -0.015717  0.0165259 0.00256451 9.19963  0.0165259 0.00256451 9.19963  - - -  - - -  74.2165 73.5388 67.9998 64.6518 - - - - - 74.173 67.6407 64.1766 - - - - 138 146 133 70 0 0 0 0
1699966385.563728000  1000.69 0 49.9921  -  nan  0.00418784 -0.0387289 -0.0149898  0.00418784 -0.0387289 -0.0149898  0.104849 -0.0494414 10.4666  0.104849 -0.0494414 10.4666  - - -  - - -  74.4761 73.1203 68.2664 65.1407 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.568746000  1000.68 0 49.9929  -  nan  0.0187318 0.0316891 -0.00292041  0.0187318 0.0316891 -0.00292041  -0.0290264 0.140989 9.18666  -0.0290264 0.140989 9.18666  - - -  - - -  74.1713 73.0986 68.4789 64.7433 - - - - 74.173 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.573737000  1000.69 0 49.9936  -  nan  0.0750068 0.0319886 -0.00213852  0.0750068 0.0319886 -0.00213852  0.0133228 -0.0454036 9.49121  0.0133228 -0.0454036 9.49121  - - -  - - -  74.6075 73.2449 68.1165 64.8563 - - - - - - 68.2221 - - - - - 138 146 133 70 0 0 0 0
1699966385.578745000  1000.68 0 49.9929  -  nan  0.0613902 -0.0245911 -0.014568  0.0613902 -0.0245911 -0.014568  0.156373 -0.0480156 10.1227  0.156373 -0.0480156 10.1227  - - -  - - -  74.7044 72.9257 68.2336 65.386 - - - - - 73.4862 - 64.5245 - - - - 138 146 133 70 0 0 0 0
1699966385.583729000  1000.69 0 49.9929  -  nan  0.0748519 0.0596544 -0.0028867  0.0748519 0.0596544 -0.0028867  -0.0314262 0.0483877 9.1951  -0.0314262 0.0483877 9.1951  - - -  - - -  74.3824 72.8912 68.4387 65.2337 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.588746000  1000.68 0 49.9926  -  nan  0.132209 0.0461264 -0.00171675  0.132209 0.0461264 -0.00171675  0.0141177 -0.0449283 9.37648  0.0141177 -0.0449283 9.37648  - - -  - - -  74.9277 72.7501 67.9224 65.7664 - - - - 74.173 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.593728000  1000.69 0 49.9944  -  nan  0.104465 -0.0241758 -0.000210531  0.104465 -0.0241758 -0.000210531  0.105644 -0.0489662 10.3518  0.105644 -0.0489662 10.3518  - - -  - - -  74.9016 72.3258 68.0166 66.4895 - - - - - - 69.0131 - - - - - 138 146 133 70 0 0 0 0
