# logged on Wed Nov 29 16:59:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701273567.244979000  1000.28 0 50.0005  -  nan  0.135761 0.0167223 -0.00662002  0.135761 0.0167223 -0.00662002  0.147577 -0.101122 10.1416  0.147577 -0.101122 10.1416  - - -  - - -  79.7406 79.8095 82.8289 81.3907 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.249980000  1000.28 0 50.0031  -  nan  0.0776386 0.146724 0.0119947  0.0776386 0.146724 0.0119947  0.10326 -0.143516 9.46067  0.10326 -0.143516 9.46067  - - -  - - -  79.4094 79.5614 83.1664 81.5824 - - - - 78.8395 79.8977 - - - - - - 139 146 135 70 0 0 0 0
1701273567.254991000  1000.29 0 50.0008  -  nan  0.0770898 0.0458952 0.00192795  0.0770898 0.0458952 0.00192795  0.193365 -0.101737 10.1995  0.193365 -0.101737 10.1995  - - -  - - -  80.0771 80.1627 82.6845 81.4157 - - - - - - - 81.8197 - - - - 139 146 135 70 0 0 0 0
1701273567.260000000  1000.29 0 50.0017  -  nan  0.0928419 0.0883705 0.00150329  0.0928419 0.0883705 0.00150329  0.103354 -0.0508016 10.0802  0.103354 -0.0508016 10.0802  - - -  - - -  79.6177 80.3082 82.9465 81.2845 - - - - - - 83.2501 - - - - - 139 146 135 70 0 0 0 0
1701273567.264992000  1000.29 0 50.0017  -  nan  0.0486912 0.13166 0.0105459  0.0486912 0.13166 0.0105459  0.147114 -0.148397 9.91769  0.147114 -0.148397 9.91769  - - -  - - -  79.5833 80.6684 83.0466 81.0837 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.269988000  1000.3 0 50.0043  -  nan  0.107161 0.0741231 0.00298787  0.107161 0.0741231 0.00298787  0.149147 -0.0514064 10.1371  0.149147 -0.0514064 10.1371  - - -  - - -  79.9737 81.0794 82.9343 80.828 - - - - 79.6305 80.7103 - - - - - - 139 146 135 70 0 0 0 0
1701273567.275014000  1000.31 0 50.0046  -  nan  0.0343794 0.14692 0.00902595  0.0343794 0.14692 0.00902595  0.10455 -0.0944164 9.51378  0.10455 -0.0944164 9.51378  - - -  - - -  79.7722 81.0518 83.2581 80.8074 - - - - - - 82.672 81.8197 - - - - 139 146 135 70 0 0 0 0
1701273567.280006000  1000.31 0 50.0046  -  nan  0.0485904 0.117478 0.0110409  0.0485904 0.117478 0.0110409  0.195487 -0.0508016 10.0809  0.195487 -0.0508016 10.0809  - - -  - - -  80.084 81.8507 83.183 80.3787 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.285008000  1000.31 0 50.0061  -  nan  0.0633828 0.146247 -0.00256185  0.0633828 0.146247 -0.00256185  0.106276 0.000954829 9.78988  0.106276 0.000954829 9.78988  - - -  - - -  80.1073 82.1576 83.197 80.129 - - - - 79.6305 - - - - - - - 139 146 135 70 0 0 0 0
1701273567.290007000  1000.31 0 50.0065  -  nan  0.00461079 0.161238 0.00648109  0.00461079 0.161238 0.00648109  0.193365 -0.101737 10.1995  0.193365 -0.101737 10.1995  - - -  - - -  80.2538 82.5376 83.2487 80.0755 - - - - - 81.8197 - - - - - - 139 146 135 70 0 0 0 0
1701273567.295012000  1000.32 0 50.0065  -  nan  0.0489631 0.146312 -0.00355145  0.0489631 0.146312 -0.00355145  0.149578 -0.00514581 10.3611  0.149578 -0.00514581 10.3611  - - -  - - -  80.3893 83.1537 83.2915 79.4214 - - - - - - 84.1326 80.9848 - - - - 139 146 135 70 0 0 0 0
1701273567.299998000  1000.32 0 50.0065  -  nan  0.0348457 0.188923 -0.00602598  0.0348457 0.188923 -0.00602598  0.150063 -0.0956365 9.62829  0.150063 -0.0956365 9.62829  - - -  - - -  80.3761 83.3361 83.4747 79.1207 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.304996000  1000.33 0 50.0065  -  nan  0.0347449 0.174742 -0.005531  0.0347449 0.174742 -0.005531  0.19604 -0.0495815 9.96668  0.19604 -0.0495815 9.96668  - - -  - - -  80.6683 83.8681 83.6174 78.8785 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.309995000  1000.33 0 50.0061  -  nan  0.0780417 0.203451 0.0100148  0.0780417 0.203451 0.0100148  0.103354 -0.0508016 10.0802  0.103354 -0.0508016 10.0802  - - -  - - -  80.6362 84.1724 83.6952 78.7416 - - - - 79.8977 81.5395 - - - - - - 139 146 135 70 0 0 0 0
1701273567.315010000  1000.33 0 50.0045  -  nan  0.077777 0.189811 0.0240768  0.077777 0.189811 0.0240768  0.144713 -0.199948 10.0939  0.144713 -0.199948 10.0939  - - -  - - -  80.6491 84.4123 83.7799 78.7944 - - - - - - - 79.1014 - - - - 139 146 135 70 0 0 0 0
1701273567.320007000  1000.33 0 50.0061  -  nan  0.122394 0.188525 -1.77221e-05  0.122394 0.188525 -1.77221e-05  0.146008 -0.150837 10.146  0.146008 -0.150837 10.146  - - -  - - -  80.5502 84.8039 83.905 78.7537 - - - - - - 82.672 - - - - - 139 146 135 70 0 0 0 0
