# logged on Tue Dec  5 11:06:44 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770804.635245000  1001.27 0 49.9938  -  nan  -0.126096 0.176014 -0.00299093  -0.126096 0.176014 -0.00299093  0.107724 0.0957106 10.1236  0.107724 0.0957106 10.1236  - - -  - - -  69.9953 66.3298 71.7669 69.5888 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.640262000  1001.27 0 49.9939  -  nan  -0.183573 0.20464 -0.00793927  -0.183573 0.20464 -0.00793927  0.112421 0.106076 9.15359  0.112421 0.106076 9.15359  - - -  - - -  69.0607 65.2109 72.2944 70.0452 - - - - - 66.8807 - 69.8227 - - - - 138 146 133 70 0 0 0 0
1701770804.645251000  1001.27 0 49.9931  -  nan  -0.286116 0.292768 -0.0044814  -0.286116 0.292768 -0.0044814  0.113527 0.108517 8.92524  0.113527 0.108517 8.92524  - - -  - - -  69.2144 65.5828 72.0877 69.6782 - - - - 70.028 - 72.1501 - - - - - 138 146 133 70 0 0 0 0
1701770804.650266000  1001.27 0 49.9931  -  nan  -0.198915 0.219905 -0.00952989  -0.198915 0.219905 -0.00952989  0.109567 0.146031 10.0625  0.109567 0.146031 10.0625  - - -  - - -  69.1733 65.327 72 69.825 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.655245000  1001.27 0 49.9931  -  nan  -0.271804 0.277507 -0.00296147  -0.271804 0.277507 -0.00296147  0.158951 0.153352 9.3778  0.158951 0.153352 9.3778  - - -  - - -  68.5974 64.8726 72.1539 69.8846 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.660265000  1001.27 0 49.9962  -  nan  -0.344523 0.33558 -0.0099954  -0.344523 0.33558 -0.0099954  0.117308 0.163113 8.46409  0.117308 0.163113 8.46409  - - -  - - -  68.5844 65.2685 71.8264 69.5468 - - - - - 64.3501 71.9321 - - - - - 138 146 133 70 0 0 0 0
1701770804.665245000  1001.27 0 49.9942  -  nan  -0.285788 0.291683 -0.0316154  -0.285788 0.291683 -0.0316154  0.158034 0.197582 9.88662  0.158034 0.197582 9.88662  - - -  - - -  68.9303 65.1671 71.8824 69.5137 - - - - 67.8334 - - 70.4424 - - - - 138 146 133 70 0 0 0 0
1701770804.670248000  1001.27 0 49.9942  -  nan  -0.417241 0.393653 -0.0170293  -0.417241 0.393653 -0.0170293  0.204743 0.152747 9.43473  0.204743 0.152747 9.43473  - - -  - - -  68.4221 64.6954 72.2719 69.2862 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.675245000  1001.27 0 49.9942  -  nan  -0.445771 0.437342 -0.0205288  -0.445771 0.437342 -0.0205288  0.161527 0.112782 8.52648  0.161527 0.112782 8.52648  - - -  - - -  69.0022 65.4376 71.4849 68.5019 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.680260000  1001.27 0 49.9942  -  nan  -0.372825 0.364003 -0.0401339  -0.372825 0.364003 -0.0401339  0.16043 0.249122 9.71139  0.16043 0.249122 9.71139  - - -  - - -  69.0858 65.0164 71.4356 68.9682 - - - - - 64.1766 - 70.4424 - - - - 138 146 133 70 0 0 0 0
