# logged on Fri Dec  1 17:22:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447720.748526000  1000.88 0 49.9987  -  nan  -0.12638 0.0888253 -0.0271197  -0.12638 0.0888253 -0.0271197  0.0648854 0.149086 9.77624  0.0648854 0.149086 9.77624  - - -  - - -  72.398 64.4807 71.336 70.9029 - - - - 73.9426 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.753527000  1000.88 0 49.9987  -  nan  -0.213607 0.205318 0.00357785  -0.213607 0.205318 0.00357785  0.0221369 0.156407 9.09087  0.0221369 0.156407 9.09087  - - -  - - -  72.1161 63.9961 71.743 70.9549 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.758531000  1000.88 0 49.9989  -  nan  -0.199534 0.132788 -0.0064893  -0.199534 0.132788 -0.0064893  0.109104 0.0987557 9.83862  0.109104 0.0987557 9.83862  - - -  - - -  72.5671 64.676 71.0326 70.8391 - - - - - - - 70.4424 - - - - 139 146 0 70 0 0 0 0
1701447720.763535000  1000.88 0 49.9982  -  nan  -0.228165 0.162296 -0.00949381  -0.228165 0.162296 -0.00949381  0.0223212 0.203067 9.37233  0.0223212 0.203067 9.37233  - - -  - - -  72.0339 64.3474 71.3251 70.8374 - - - - - 64.0041 70.8617 - - - - - 139 146 0 70 0 0 0 0
1701447720.768542000  1000.88 0 49.9984  -  nan  -0.301009 0.249817 0.00961629  -0.301009 0.249817 0.00961629  0.0663552 0.106076 9.15325  0.0663552 0.106076 9.15325  - - -  - - -  72.3418 64.865 70.9873 70.5971 - - - - 72.3694 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.773542000  1000.88 0 49.9984  -  nan  -0.256702 0.204972 -0.0129579  -0.256702 0.204972 -0.0129579  0.11409 0.248517 9.76764  0.11409 0.248517 9.76764  - - -  - - -  72.4945 65.329 70.658 70.3234 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447720.778525000  1000.88 0 49.9995  -  nan  -0.344933 0.277839 -0.00798013  -0.344933 0.277839 -0.00798013  0.11694 0.208552 8.85972  0.11694 0.208552 8.85972  - - -  - - -  72.0462 64.6783 71.0584 70.4551 - - - - - - - 72.1501 - - - - 139 146 0 70 0 0 0 0
1701447720.783540000  1000.88 0 50.0006  -  nan  -0.387946 0.336319 0.000602806  -0.387946 0.336319 0.000602806  0.0676502 0.155187 9.20538  0.0676502 0.155187 9.20538  - - -  - - -  72.687 65.5951 70.5817 69.8711 - - - - - 64.3501 71.0732 - - - - - 139 146 0 70 0 0 0 0
1701447720.788530000  1000.88 0 50.0016  -  nan  -0.34487 0.263115 -0.0210521  -0.34487 0.263115 -0.0210521  0.156096 0.193306 10.2867  0.156096 0.193306 10.2867  - - -  - - -  72.7177 65.4959 70.633 69.8772 - - - - 70.4424 - - - - - - - 139 146 0 70 0 0 0 0
1701447720.793529000  1000.88 0 50.0016  -  nan  -0.431925 0.380079 -0.00395696  -0.431925 0.380079 -0.00395696  0.165497 0.214048 8.34579  0.165497 0.214048 8.34579  - - -  - - -  72.2242 65.26 70.8149 69.4752 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
