# logged on Wed Nov 29 17:20:55 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701274855.479176000  1001.17 0 100.003  -  nan  0.0193102 0.0319755 -0.00153546  0.0193102 0.0319755 -0.00153546  0.0573779 -0.0968566 9.74179  0.0573779 -0.0968566 9.74179  - - -  - - -  82.0859 84.7522 84.7147 78.4056 - - - - 83.5422 85.034 83.8364 76.3126 - - - - 138 146 134 71 0 0 0 0
1701274855.484170000  1001.16 0 100.005  -  nan  0.0487167 0.0880295 -0.0151032  0.0487167 0.0880295 -0.0151032  0.0102057 -0.0992969 9.9698  0.0102057 -0.0992969 9.9698  - - -  - - -  82.0952 85.1946 85.0273 78.1446 - - - - - 84.1326 - - - - - - 138 146 134 71 0 0 0 0
1701274855.489161000  1001.16 0 100.006  -  nan  0.0767427 -0.0265694 -0.0091288  0.0767427 -0.0265694 -0.0091288  0.189489 -0.249048 10.0411  0.189489 -0.249048 10.0411  - - -  - - -  82.002 85.0925 85.3993 78.1927 - - - - - - 84.1326 77.8089 - - - - 138 146 134 71 0 0 0 0
1701274855.494168000  1001.15 0 100.003  -  nan  0.0775938 0.116804 -0.000546947  0.0775938 0.116804 -0.000546947  0.00974257 -0.146572 9.74592  0.00974257 -0.146572 9.74592  - - -  - - -  81.321 84.9853 86.2145 78.3965 - - - - 82.3859 - - - - - - - 138 146 134 71 0 0 0 0
1701274855.499169000  1001.15 0 100.007  15.222  nan  0.136063 0.0592679 -0.00810496  0.136063 0.0592679 -0.00810496  0.189489 -0.249048 10.0411  0.189489 -0.249048 10.0411  - - -  - - -  81.7958 85.3668 86.0547 78.4474 - - - - - 85.3388 84.1326 78.8395 - - - - 138 146 134 71 0 0 0 0
1701274855.504169000  1001.14 0 100.003  -  nan  0.12148 0.0598758 0.00447244  0.12148 0.0598758 0.00447244  0.102981 -0.144132 9.51825  0.102981 -0.144132 9.51825  - - -  - - -  81.4279 85.1648 86.5491 78.7292 - - - - 82.3859 - - - - - - - 138 146 134 71 0 0 0 0
1701274855.509168000  1001.14 0 100.005  -  nan  0.121984 0.130785 0.00199755  0.121984 0.130785 0.00199755  0.0992899 -0.244783 9.64135  0.0992899 -0.244783 9.64135  - - -  - - -  81.3968 85.4566 86.8114 78.7802 - - - - 82.1018 85.3388 86.2664 79.3651 - - - - 138 146 134 71 0 0 0 0
1701274855.514164000  1001.14 0 100.005  -  nan  0.150382 0.0450205 -0.00662039  0.150382 0.0450205 -0.00662039  0.231477 -0.348479 10.0504  0.231477 -0.348479 10.0504  - - -  - - -  81.7527 85.6239 86.7851 78.9332 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.519178000  1001.14 0 100.007  -  nan  0.166273 0.130584 0.00503702  0.166273 0.130584 0.00503702  0.0994789 -0.198112 9.92182  0.0994789 -0.198112 9.92182  - - -  - - -  81.2614 85.6459 87.4136 79.1528 - - - - 82.1018 85.3388 87.858 79.3651 - - - - 138 146 134 71 0 0 0 0
1701274855.524164000  1001.14 0 100.007  -  nan  0.19522 0.145648 0.00648588  0.19522 0.145648 0.00648588  0.32267 -0.348479 10.0511  0.32267 -0.348479 10.0511  - - -  - - -  81.6955 85.9629 87.1818 79.4274 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
