# logged on Mon Jan  8 13:34:22 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704717262.491820000  1001.1 0 50.0002  -  nan  0.0756581 -0.0374973 0.0727681  0.0756581 -0.0374973 0.0727681  -0.446433 0.136885 10.9143  -0.446433 0.136885 10.9143  - - -  - - -  77.7729 66.7021 72.4346 63.7864 - - - - 77.8089 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.496746000  1001.1 0 50.0002  -  nan  0.206681 -0.270757 0.0220066  0.206681 -0.270757 0.0220066  -0.139596 -0.35824 10.9611  -0.139596 -0.35824 10.9611  - - -  - - -  76.9739 69.0773 70.4536 63.4844 - - - - - - - 62.9882 - - - - 138 0 134 70 0 0 0 0
1704717262.501769000  1001.09 0 50.0002  -  nan  0.282861 -0.104924 -0.13016  0.282861 -0.104924 -0.13016  0.482479 0.0673422 8.13319  0.482479 0.0673422 8.13319  - - -  - - -  75.8924 67.5829 72.2226 63.5736 - - - - - 68.0272 - - - - - - 138 0 134 70 0 0 0 0
1704717262.506764000  1001.1 0 50.0022  -  nan  0.0459872 -0.0346159 0.139593  0.0459872 -0.0346159 0.139593  -0.443205 0.190261 10.5673  -0.443205 0.190261 10.5673  - - -  - - -  78.0224 66.8997 72.5651 63.4767 - - - - - - 71.0732 - - - - - 138 0 134 70 0 0 0 0
1704717262.511822000  1001.09 0 50.0019  -  nan  0.221239 -0.227735 0.0350783  0.221239 -0.227735 0.0350783  -0.322656 -0.263074 11.3499  -0.322656 -0.263074 11.3499  - - -  - - -  76.6761 69.8011 70.2924 63.3414 - - - - 76.3126 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.516833000  1001.09 0 50.0007  -  nan  0.240187 -0.047568 -0.14968  0.240187 -0.047568 -0.14968  0.207229 0.158232 8.92145  0.207229 0.158232 8.92145  - - -  - - -  75.7565 68.522 71.4371 63.4929 - - - - - - - 63.8325 - - - - 138 0 134 70 0 0 0 0
1704717262.521771000  1001.08 0 49.9997  -  nan  0.0605077 -0.0204996 0.140088  0.0605077 -0.0204996 0.140088  -0.169029 0.0466 10.0694  -0.169029 0.0466 10.0694  - - -  - - -  77.7804 67.6621 72.0125 62.514 - - - - - 67.8334 - - - - - - 138 0 134 70 0 0 0 0
1704717262.526768000  1001.06 0 50.0007  -  nan  0.1787 -0.126239 0.0285739  0.1787 -0.126239 0.0285739  -0.177817 -0.109663 10.9384  -0.177817 -0.109663 10.9384  - - -  - - -  76.4536 70.2793 70.0875 63.035 - - - - - - 71.0732 - - - - - 138 0 134 70 0 0 0 0
1704717262.531822000  1001.05 0 49.9996  -  nan  0.195622 -0.0609675 -0.137689  0.195622 -0.0609675 -0.137689  0.0631272 0.0527006 9.50023  0.0631272 0.0527006 9.50023  - - -  - - -  76.0491 69.2949 70.8132 62.7387 - - - - 77.8089 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.536835000  1001.04 0 49.9997  -  nan  0.105263 -0.0512726 0.08888  0.105263 -0.0512726 0.08888  0.106119 -0.044701 9.50932  0.106119 -0.044701 9.50932  - - -  - - -  77.7222 67.7296 71.8938 61.5647 - - - - - - - 63.4921 - - - - 138 0 134 70 0 0 0 0
