# logged on Tue Dec  5 10:17:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767821.018659000  1000.53 0 49.997  -  nan  -0.199552 0.177431 0.0191244  -0.199552 0.177431 0.0191244  0.024259 0.207343 8.97223  0.024259 0.207343 8.97223  - - -  - - -  73.7763 68.305 69.9082 67.4494 - - - - - 69.6185 - 67.0691 - - - - 138 146 134 71 0 0 0 0
1701767821.023652000  1000.53 0 49.997  -  nan  -0.242464 0.250092 0.0272124  -0.242464 0.250092 0.0272124  -0.0257773 0.106076 9.15258  -0.0257773 0.106076 9.15258  - - -  - - -  73.6726 68.1539 69.9189 67.7343 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.028667000  1000.54 0 49.9986  -  nan  -0.169557 0.147847 -0.00496976  -0.169557 0.147847 -0.00496976  0.105049 0.043555 10.3564  0.105049 0.043555 10.3564  - - -  - - -  74.0612 68.3765 69.3121 67.7808 - - - - 73.9426 - 68.6153 - - - - - 138 146 134 71 0 0 0 0
1701767821.033659000  1000.54 0 49.9986  -  nan  -0.169254 0.190393 -0.0064547  -0.169254 0.190393 -0.0064547  0.0690303 0.158232 8.92044  0.0690303 0.158232 8.92044  - - -  - - -  73.395 67.1579 70.1088 68.2544 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.038660000  1000.54 0 49.9997  -  nan  -0.241625 0.32093 -0.00243188  -0.241625 0.32093 -0.00243188  0.015955 0.0502604 9.72824  0.015955 0.0502604 9.72824  - - -  - - -  73.599 66.9374 70.2665 68.5328 - - - - - 69.6185 - 67.2585 - - - - 138 146 134 71 0 0 0 0
1701767821.043643000  1000.54 0 49.9997  -  nan  -0.154771 0.175603 -0.0185371  -0.154771 0.175603 -0.0185371  0.150288 0.0417301 10.5275  0.150288 0.0417301 10.5275  - - -  - - -  73.9368 66.947 69.7915 68.4409 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.048676000  1000.53 0 50.0007  -  nan  -0.212824 0.291893 -0.0130297  -0.212824 0.291893 -0.0130297  0.024897 0.162497 8.521  0.024897 0.162497 8.521  - - -  - - -  73.1978 65.5853 70.6737 68.9238 - - - - 73.7137 - 70.2346 - - - - - 138 146 134 71 0 0 0 0
1701767821.053660000  1000.53 0 50.0007  -  nan  -0.270984 0.392988 -0.00699201  -0.270984 0.392988 -0.00699201  0.0620212 0.0502604 9.72858  0.0620212 0.0502604 9.72858  - - -  - - -  74.0557 66.0981 70.1962 69.0226 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.058658000  1000.53 0 50.0034  -  nan  -0.183264 0.248199 -0.00945956  -0.183264 0.248199 -0.00945956  0.199303 0.0944905 10.2384  0.199303 0.0944905 10.2384  - - -  - - -  74.3345 66.1599 69.4779 68.9131 - - - - - 67.0691 - 67.6407 - - - - 138 146 134 71 0 0 0 0
1701767821.063653000  1000.52 0 50.0034  -  nan  -0.299785 0.422025 0.00360584  -0.299785 0.422025 0.00360584  -0.0197844 0.165553 8.23474  -0.0197844 0.165553 8.23474  - - -  - - -  73.4519 65.2395 70.0843 69.4652 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.068668000  1000.52 0 50.0037  -  nan  -0.358286 0.451669 -0.00144854  -0.358286 0.451669 -0.00144854  0.108277 0.0969308 10.0094  0.108277 0.0969308 10.0094  - - -  - - -  74.3654 66.3411 69.2655 69.3758 - - - - 72.59 - 70.028 - - - - - 138 146 134 71 0 0 0 0
1701767821.073650000  1000.52 0 50.0037  -  nan  -0.271495 0.321066 -0.00448176  -0.271495 0.321066 -0.00448176  0.201335 0.191481 10.4578  0.201335 0.191481 10.4578  - - -  - - -  74.3726 66.3945 68.8767 68.9568 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.078658000  1000.51 0 50.0039  -  nan  -0.445487 0.524531 0.00359995  -0.445487 0.524531 0.00359995  0.029231 0.218313 7.94568  0.029231 0.218313 7.94568  - - -  - - -  73.7157 65.7234 69.2427 69.214 - - - - - 66.1376 - 68.2221 - - - - 138 146 134 71 0 0 0 0
1701767821.083652000  1000.5 0 50.0039  -  nan  -0.445632 0.48043 -0.00844676  -0.445632 0.48043 -0.00844676  0.154253 0.142986 10.3478  0.154253 0.142986 10.3478  - - -  - - -  75.0361 67.1333 68.483 68.6535 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767821.088669000  1000.49 0 50.0041  -  nan  -0.40159 0.421946 -0.016959  -0.40159 0.421946 -0.016959  0.158218 0.244241 10.1681  0.158218 0.244241 10.1681  - - -  - - -  74.6627 66.9644 68.5115 68.2144 - - - - 74.4048 - 70.028 - - - - - 138 146 134 71 0 0 0 0
1701767821.093660000  1000.49 0 50.0041  -  nan  -0.562393 0.596987 -0.00696844  -0.562393 0.596987 -0.00696844  0.0747443 0.217093 8.06018  0.0747443 0.217093 8.06018  - - -  - - -  74.3247 66.5937 68.8232 68.115 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
