# logged on Tue Nov 14 13:32:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965126.130536000  1001.01 0 50.0076  -  nan  -0.0108572 0.0870507 0.00893543  -0.0108572 0.0870507 0.00893543  -0.0373833 -0.000287183 9.88763  -0.0373833 -0.000287183 9.88763  - - -  - - -  72.5164 72.8658 67.6443 67.7268 - - - - 72.59 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.135539000  1001.01 0 50.0076  -  nan  0.0902947 0.0180507 -0.0153121  0.0902947 0.0180507 -0.0153121  0.0153287 0.0469619 9.53963  0.0153287 0.0469619 9.53963  - - -  - - -  72.871 73.1662 67.1443 67.4192 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.140486000  1001 0 50.0088  -  nan  0.0608606 0.0457466 -0.00270808  0.0608606 0.0457466 -0.00270808  0.109635 -0.000526891 9.94654  0.109635 -0.000526891 9.94654  - - -  - - -  72.989 72.4492 67.5257 67.9929 - - - - - 73.2601 - - - - - - 139 146 0 70 0 0 0 0
1699965126.145453000  1001 0 50.011  -  nan  0.00328902 0.0732927 0.00950499  0.00328902 0.0732927 0.00950499  -0.0377856 0.0445855 10.1129  -0.0377856 0.0445855 10.1129  - - -  - - -  73.2253 72.4935 67.2232 67.8233 - - - - - - 66.6933 67.4491 - - - - 139 146 0 70 0 0 0 0
1699965126.150487000  1000.99 0 50.0119  -  nan  0.0902409 0.00341507 -0.00115418  0.0902409 0.00341507 -0.00115418  0.0137388 0.0460113 9.76908  0.0137388 0.0460113 9.76908  - - -  - - -  73.1663 72.6897 66.9875 67.5744 - - - - 73.7137 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.155478000  1000.99 0 50.0119  -  nan  -0.0105473 0.0317192 0.0104318  -0.0105473 0.0317192 0.0104318  0.0588888 -0.0475403 10.0073  0.0588888 -0.0475403 10.0073  - - -  - - -  72.8856 72.2891 67.4232 68.0749 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.160486000  1000.99 0 50.0119  -  nan  -0.0389172 0.073068 0.00891857  -0.0389172 0.073068 0.00891857  -0.0377856 0.0445855 10.1129  -0.0377856 0.0445855 10.1129  - - -  - - -  72.9527 72.799 67.1404 67.589 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.165483000  1000.98 0 50.0114  -  nan  0.047244 -0.0108331 -0.0151376  0.047244 -0.0108331 -0.0151376  0.0157213 0.0923098 9.65018  0.0157213 0.0923098 9.65018  - - -  - - -  72.9599 73.2004 66.9195 67.1505 - - - - - 73.2601 67.4491 68.2221 - - - - 139 146 0 70 0 0 0 0
1699965126.170606000  1000.98 0 50.0112  -  nan  -0.0668223 0.0314196 0.0096499  -0.0668223 0.0314196 0.0096499  0.0604786 -0.0465898 9.77787  0.0604786 -0.0465898 9.77787  - - -  - - -  72.8454 72.8411 67.4335 67.3434 - - - - 73.4862 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.175537000  1000.98 0 50.0112  -  nan  -0.0385243 0.0029156 0.0108157  -0.0385243 0.0029156 0.0108157  -0.0377938 0.0896937 10.2813  -0.0377938 0.0896937 10.2813  - - -  - - -  72.6814 73.7246 67.3459 66.5174 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.180588000  1000.98 0 50.0112  -  nan  0.0189879 -0.0382781 0.0127339  0.0189879 -0.0382781 0.0127339  0.0169102 0.0930206 9.47859  0.0169102 0.0930206 9.47859  - - -  - - -  72.3187 73.5216 67.5222 66.6143 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.185464000  1000.97 0 50.0082  -  nan  -0.0807899 -0.0109567 0.0243605  -0.0807899 -0.0109567 0.0243605  -0.0382016 -0.0468295 9.83503  -0.0382016 -0.0468295 9.83503  - - -  - - -  72.1484 73.5545 67.712 66.6561 - - - - - 73.2601 66.8807 67.4491 - - - - 139 146 0 70 0 0 0 0
1699965126.190602000  1000.97 0 50.0094  -  nan  -0.0379409 -0.0527864 -0.0152021  -0.0379409 -0.0527864 -0.0152021  -0.0401703 0.0431596 10.4571  -0.0401703 0.0431596 10.4571  - - -  - - -  72.0059 74.3235 67.5549 66.0655 - - - - 73.7137 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.195523000  1000.97 0 50.0094  -  nan  0.0331934 -0.0383885 -0.000827771  0.0331934 -0.0383885 -0.000827771  -0.0282548 0.0953971 8.90461  -0.0282548 0.0953971 8.90461  - - -  - - -  71.7743 73.7427 68.1389 66.1581 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.200477000  1000.98 0 50.0094  -  nan  -0.0666437 -0.0247147 0.0249301  -0.0666437 -0.0247147 0.0249301  0.00933178 -0.0938429 9.89651  0.00933178 -0.0938429 9.89651  - - -  - - -  71.97 73.9373 68.2637 66.4835 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965126.205545000  1000.98 0 50.0059  -  nan  0.00415221 -0.080845 0.0136734  0.00415221 -0.080845 0.0136734  -0.0389828 0.0889828 10.4529  -0.0389828 0.0889828 10.4529  - - -  - - -  71.8867 74.3897 68.0511 66.1406 - - - - - 73.7137 67.8334 66.8807 - - - - 139 146 0 70 0 0 0 0
1699965126.210534000  1000.98 0 50.0063  -  nan  0.033116 -0.0245556 -0.00120186  0.033116 -0.0245556 -0.00120186  -0.0278512 0.00541207 8.51192  -0.0278512 0.00541207 8.51192  - - -  - - -  71.2751 74.2766 68.2543 65.9566 - - - - 72.1501 - - - - - - - 139 146 0 70 0 0 0 0
1699965126.215544000  1000.99 0 50.0063  -  nan  -0.0101726 -0.0109528 -0.00217633  -0.0101726 -0.0109528 -0.00217633  0.0572756 -0.0945579 10.0694  0.0572756 -0.0945579 10.0694  - - -  - - -  72.0919 74.1251 68.2164 66.6833 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
