# logged on Tue Jan  2 11:15:03 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190503.456863000  1000.29 0 50.0051  -  nan  -0.0249489 -0.0125052 -0.0311577  -0.0249489 -0.0125052 -0.0311577  -0.185927 -0.220064 11.9739  -0.185927 -0.220064 11.9739  - - -  - - -  77.1038 68.3604 70.4814 65.431 - - - - 76.558 - - 62.6566 - - - - 138 146 134 70 0 0 0 0
1704190503.461841000  1000.29 0 50.0051  -  nan  -0.00907823 0.144371 -0.0628176  -0.00907823 0.144371 -0.0628176  0.392932 0.165553 8.23776  0.392932 0.165553 8.23776  - - -  - - -  76.4051 66.696 71.4838 65.3046 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.466862000  1000.29 0 50.0056  -  nan  -0.12718 0.165086 0.078906  -0.12718 0.165086 0.078906  -0.485477 0.150307 9.65803  -0.485477 0.150307 9.65803  - - -  - - -  77.9409 66.6281 71.3182 65.5718 - - - - - - 70.8617 - - - - - 138 146 134 70 0 0 0 0
1704190503.471868000  1000.29 0 50.005  -  nan  -0.0102389 -0.0425614 -0.0698791  -0.0102389 -0.0425614 -0.0698791  -0.136822 -0.213359 11.3468  -0.136822 -0.213359 11.3468  - - -  - - -  77.4268 67.948 70.7427 65.7038 - - - - - 67.0691 - - - - - - 138 146 134 70 0 0 0 0
1704190503.476868000  1000.3 0 50.0043  -  nan  -0.0527101 0.115733 -0.051194  -0.0527101 0.115733 -0.051194  0.119804 0.307378 8.90738  0.119804 0.307378 8.90738  - - -  - - -  76.8939 66.1172 72.1733 65.5829 - - - - 77.0535 - - 65.0533 - - - - 138 146 134 70 0 0 0 0
1704190503.481863000  1000.3 0 50.0043  -  nan  -0.170522 0.106458 0.0508185  -0.170522 0.106458 0.0508185  -0.355658 -0.00392568 10.2432  -0.355658 -0.00392568 10.2432  - - -  - - -  77.9498 66.4773 71.8906 65.3958 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.486872000  1000.29 0 50.0038  -  nan  -0.0392423 -0.041888 -0.0582913  -0.0392423 -0.041888 -0.0582913  -0.0408325 -0.110267 10.996  -0.0408325 -0.110267 10.996  - - -  - - -  77.2575 67.7154 71.1923 65.5407 - - - - - - 71.9321 - - - - - 138 146 134 70 0 0 0 0
1704190503.491856000  1000.29 0 50.0044  -  nan  -0.126607 0.104092 -0.000480683  -0.126607 0.104092 -0.000480683  0.0722677 0.350388 9.53003  0.0722677 0.350388 9.53003  - - -  - - -  76.8561 66.1928 72.2384 65.6467 - - - - - 66.8807 - - - - - - 138 146 134 70 0 0 0 0
1704190503.496871000  1000.29 0 50.0037  -  nan  -0.170724 0.078094 0.0518085  -0.170724 0.078094 0.0518085  -0.174225 -0.101737 10.1968  -0.174225 -0.101737 10.1968  - - -  - - -  77.2522 67.4552 71.437 65.3475 - - - - 78.064 - - 65.9544 - - - - 138 146 134 70 0 0 0 0
1704190503.501864000  1000.29 0 50.0037  -  nan  -0.0969843 -0.0269017 -0.0491777  -0.0969843 -0.0269017 -0.0491777  -0.213063 0.143591 10.2885  -0.213063 0.143591 10.2885  - - -  - - -  76.8663 67.9613 70.9077 65.8349 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.506870000  1000.29 0 50.0043  -  nan  -0.200303 0.048239 0.0100476  -0.200303 0.048239 0.0100476  -0.0282539 0.239372 10.6224  -0.0282539 0.239372 10.6224  - - -  - - -  76.7044 67.0449 71.9334 65.607 - - - - - - 71.9321 - - - - - 138 146 134 70 0 0 0 0
1704190503.511870000  1000.29 0 50.0039  -  nan  -0.155913 0.0622196 0.0125921  -0.155913 0.0622196 0.0125921  0.0577467 -0.142296 9.34616  0.0577467 -0.142296 9.34616  - - -  - - -  76.6603 67.9982 71.2351 65.0831 - - - - - 66.6933 - - - - - - 138 146 134 70 0 0 0 0
1704190503.516853000  1000.29 0 50.0014  -  nan  -0.155786 0.0327712 -0.013552  -0.155786 0.0327712 -0.013552  -0.481965 0.343068 10.211  -0.481965 0.343068 10.211  - - -  - - -  77.1034 67.9857 71.0631 65.5609 - - - - 78.5793 - - 66.1376 - - - - 138 146 134 70 0 0 0 0
1704190503.521866000  1000.3 0 50.0014  -  nan  -0.21476 0.0193985 -0.00351907  -0.21476 0.0193985 -0.00351907  0.0106143 0.0847295 11.1504  0.0106143 0.0847295 11.1504  - - -  - - -  76.8308 67.7351 71.6187 65.2982 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.526871000  1000.3 0 50.0012  -  nan  -0.169941 0.0464763 -0.0286035  -0.169941 0.0464763 -0.0286035  0.107041 -0.0889205 8.99951  0.107041 -0.0889205 8.99951  - - -  - - -  76.7307 67.7626 71.4846 64.8143 - - - - - - 70.4424 - - - - - 138 146 134 70 0 0 0 0
1704190503.531870000  1000.31 0 50.0001  -  nan  -0.214886 0.0488469 0.022625  -0.214886 0.0488469 0.022625  -0.486483 0.240592 10.5049  -0.486483 0.240592 10.5049  - - -  - - -  77.4442 67.6903 71.4826 65.2447 - - - - - 66.8807 - - - - - - 138 146 134 70 0 0 0 0
1704190503.536869000  1000.32 0 50.0002  -  nan  -0.170352 -0.0112641 -0.0265883  -0.170352 -0.0112641 -0.0265883  0.0531432 -0.0599472 10.9356  0.0531432 -0.0599472 10.9356  - - -  - - -  76.9197 67.9733 71.5164 65.0786 - - - - 77.0535 - - 66.1376 - - - - 138 146 134 70 0 0 0 0
1704190503.541862000  1000.32 0 50.0002  -  nan  -0.199534 0.0602129 -0.0456845  -0.199534 0.0602129 -0.0456845  0.158578 0.0600214 8.81588  0.158578 0.0600214 8.81588  - - -  - - -  76.8639 67.2099 71.6819 65.0416 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.546867000  1000.33 0 49.9992  -  nan  -0.229452 0.00481154 0.00958866  -0.229452 0.00481154 0.00958866  -0.444864 0.186601 10.9098  -0.444864 0.186601 10.9098  - - -  - - -  77.6429 67.4651 71.6262 65.1619 - - - - - - 71.5001 - - - - - 138 146 134 70 0 0 0 0
1704190503.551867000  1000.34 0 49.9992  -  nan  -0.170277 -0.026027 -0.0406294  -0.170277 -0.026027 -0.0406294  0.0548021 -0.0562869 10.5931  0.0548021 -0.0562869 10.5931  - - -  - - -  76.8142 67.8436 71.5879 65.0538 - - - - - 67.8334 - - - - - - 138 146 134 70 0 0 0 0
1704190503.556869000  1000.35 0 49.9994  -  nan  -0.214495 0.0330381 -0.017581  -0.214495 0.0330381 -0.017581  0.019736 0.104856 9.26709  0.019736 0.104856 9.26709  - - -  - - -  76.8857 66.8965 71.9548 65.1695 - - - - 77.8089 - - 65.2316 - - - - 138 146 134 70 0 0 0 0
1704190503.561860000  1000.36 0 49.9994  -  nan  -0.243972 -0.00930479 0.00909404  -0.243972 -0.00930479 0.00909404  -0.350794 0.190876 10.5104  -0.350794 0.190876 10.5104  - - -  - - -  77.3361 67.2847 71.6655 65.4203 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
