# logged on Tue Jan  2 11:52:21 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704192741.198608000  1001.38 0 50.0043  -  nan  0.0203432 0.0575888 -0.0713295  0.0203432 0.0575888 -0.0713295  0.198008 0.0453799 10.1863  0.198008 0.0453799 10.1863  - - -  - - -  82.8237 67.0653 70.7233 64.5879 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.203612000  1001.38 0 50.0006  -  nan  -0.0667195 0.173539 -0.0541989  -0.0667195 0.173539 -0.0541989  -0.202826 0.304938 9.13337  -0.202826 0.304938 9.13337  - - -  - - -  83.2966 66.1456 71.377 64.0147 - - - - 81.8197 - 70.8617 - - - - - 138 145 0 71 0 0 0 0
1704192741.208657000  1001.38 0 50.0006  -  nan  -0.0830306 0.0036045 0.00605899  -0.0830306 0.0036045 0.00605899  -0.12388 0.0908301 10.5786  -0.12388 0.0908301 10.5786  - - -  - - -  82.943 67.7515 70.6075 64.1447 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.213623000  1001.38 0 50.0007  -  nan  -0.0241475 0.0294264 -0.073379  -0.0241475 0.0294264 -0.073379  0.154527 0.143591 10.2912  0.154527 0.143591 10.2912  - - -  - - -  82.3962 67.1199 71.166 64.4017 - - - - - 67.0691 - 64.5245 - - - - 138 145 0 71 0 0 0 0
1704192741.218606000  1001.38 0 50.0007  -  nan  -0.156531 0.093295 0.0794371  -0.156531 0.093295 0.0794371  -0.393547 0.198186 9.82599  -0.393547 0.198186 9.82599  - - -  - - -  82.7351 67.9414 70.8714 63.8667 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.223611000  1001.38 0 49.9976  -  nan  -0.069178 -0.0526461 0.0225955  -0.069178 -0.0526461 0.0225955  -0.211678 0.146646 10.0026  -0.211678 0.146646 10.0026  - - -  - - -  82.0369 69.0097 70.3189 64.3935 - - - - 82.96 - 70.8617 - - - - - 138 145 0 71 0 0 0 0
1704192741.228708000  1001.38 0 49.9976  -  nan  -0.170799 0.0202819 0.0266544  -0.170799 0.0202819 0.0266544  -0.119182 0.101196 9.6086  -0.119182 0.101196 9.6086  - - -  - - -  81.9424 67.8439 71.6783 64.2799 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.233609000  1001.38 0 49.9981  -  nan  -0.142332 -0.00868356 0.0432259  -0.142332 -0.00868356 0.0432259  -0.166997 0.143591 10.2888  -0.166997 0.143591 10.2888  - - -  - - -  81.9781 68.5876 71.6086 63.9328 - - - - - 65.7722 - 63.6618 - - - - 138 145 0 71 0 0 0 0
1704192741.238613000  1001.38 0 49.9981  -  nan  -0.0827286 -0.0264249 -0.0346211  -0.0827286 -0.0264249 -0.0346211  -0.301599 0.151527 9.5452  -0.301599 0.151527 9.5452  - - -  - - -  81.627 68.1328 72.4567 64.2151 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.243612000  1001.38 0 49.9974  -  nan  -0.112172 -0.03881 0.00556474  -0.112172 -0.03881 0.00556474  -0.16875 0.0472154 10.0118  -0.16875 0.0472154 10.0118  - - -  - - -  81.6457 67.9998 72.6686 64.3365 - - - - 81.5395 - 71.0732 - - - - - 138 145 0 71 0 0 0 0
