# logged on Tue Dec  5 12:55:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777327.621141000  1000.51 0 49.9891  -  nan  -0.0386932 0.131515 -0.00902938  -0.0386932 0.131515 -0.00902938  -0.0247612 0.154572 9.26228  -0.0247612 0.154572 9.26228  - - -  - - -  74.9819 66.8771 69.5933 69.8099 - - - - - - 70.028 - - - - - 138 0 133 71 0 0 0 0
1701777327.626137000  1000.51 0 49.9875  -  nan  -0.126197 0.161832 -0.00249595  -0.126197 0.161832 -0.00249595  0.15508 0.144811 10.177  0.15508 0.144811 10.177  - - -  - - -  75.0963 66.4835 69.5462 70.1785 - - - - 75.1089 - - 71.0732 - - - - 138 0 133 71 0 0 0 0
1701777327.631217000  1000.51 0 49.9875  -  nan  -0.155081 0.132044 -0.0170168  -0.155081 0.132044 -0.0170168  0.104339 -0.00332092 10.19  0.104339 -0.00332092 10.19  - - -  - - -  75.0998 66.8296 69.082 69.6459 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.636138000  1000.51 0 49.9897  -  nan  -0.081542 0.189452 -0.0140134  -0.081542 0.189452 -0.0140134  0.022411 0.157012 9.03428  0.022411 0.157012 9.03428  - - -  - - -  75.0376 66.6967 69.2672 69.5861 - - - - - 65.7722 - - - - - - 138 0 133 71 0 0 0 0
1701777327.641128000  1000.51 0 49.9907  -  nan  -0.199187 0.205252 0.00456744  -0.199187 0.205252 0.00456744  0.106892 0.0938752 10.2953  0.106892 0.0938752 10.2953  - - -  - - -  75.3044 66.6062 69.0253 69.8566 - - - - - - 69.0131 - - - - - 138 0 133 71 0 0 0 0
1701777327.646136000  1000.51 0 49.9907  -  nan  -0.155036 0.161963 -0.00447514  -0.155036 0.161963 -0.00447514  0.0205678 0.106692 9.09533  0.0205678 0.106692 9.09533  - - -  - - -  74.9765 66.8035 68.821 69.4342 - - - - 76.558 - - 69.4155 - - - - 138 0 133 71 0 0 0 0
1701777327.651135000  1000.51 0 49.9907  -  nan  -0.154734 0.204509 -0.00596008  -0.154734 0.204509 -0.00596008  0.0689405 0.204287 9.25849  0.0689405 0.204287 9.25849  - - -  - - -  74.9297 66.7039 69.1507 69.6446 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.656136000  1000.51 0 49.9916  -  nan  -0.242446 0.205449 0.00159866  -0.242446 0.205449 0.00159866  0.105876 0.0453799 10.1856  0.105876 0.0453799 10.1856  - - -  - - -  74.8459 66.7054 69.1441 69.6595 - - - - - 66.507 - - - - - - 138 0 133 71 0 0 0 0
1701777327.661146000  1000.51 0 49.9931  -  nan  -0.183674 0.190458 -0.00744429  -0.183674 0.190458 -0.00744429  0.0218581 0.155792 9.14845  0.0218581 0.155792 9.14845  - - -  - - -  74.4503 66.9849 69.0289 69.0876 - - - - 75.1089 - 69.6185 - - - - - 138 0 133 71 0 0 0 0
1701777327.666133000  1000.51 0 49.9928  -  nan  -0.256657 0.234891 -0.000416252  -0.256657 0.234891 -0.000416252  0.01863 0.102416 9.49543  0.01863 0.102416 9.49543  - - -  - - -  74.321 66.6341 69.3179 69.3537 - - - - - - - 70.6514 - - - - 138 0 133 71 0 0 0 0
1701777327.671135000  1000.51 0 49.9928  -  nan  -0.272151 0.205043 -0.0140182  -0.272151 0.205043 -0.0140182  0.105876 0.0453799 10.1856  0.105876 0.0453799 10.1856  - - -  - - -  74.3401 67.1288 69.0072 68.7003 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.676143000  1000.51 0 49.9925  -  nan  -0.198915 0.219905 -0.00952989  -0.198915 0.219905 -0.00952989  0.0253602 0.209772 8.74488  0.0253602 0.209772 8.74488  - - -  - - -  73.8578 66.7569 69.2046 68.4229 - - - - - 65.9544 - - - - - - 138 0 133 71 0 0 0 0
1701777327.681154000  1000.51 0 49.9933  -  nan  -0.300908 0.263999 0.00912131  -0.300908 0.263999 0.00912131  0.0194619 0.104252 9.32368  0.0194619 0.104252 9.32368  - - -  - - -  73.8205 66.3114 69.3526 69.0479 - - - - 72.59 - - - - - - - 138 0 133 71 0 0 0 0
1701777327.686155000  1000.51 0 49.9946  -  nan  -0.242547 0.191267 0.00209363  -0.242547 0.191267 0.00209363  0.109383 0.099371 9.78104  0.109383 0.099371 9.78104  - - -  - - -  73.3926 66.5069 69.1218 68.5755 - - - - - - 69.0131 68.6153 - - - - 138 0 133 71 0 0 0 0
1701777327.691145000  1000.51 0 49.9946  -  nan  -0.242237 0.234826 0.000573344  -0.242237 0.234826 0.000573344  0.0237911 0.160057 8.74934  0.0237911 0.160057 8.74934  - - -  - - -  72.669 65.6157 69.6237 69.0491 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.696145000  1000.51 0 49.9951  -  nan  -0.315164 0.263522 -0.00543528  -0.315164 0.263522 -0.00543528  0.104339 -0.00332092 10.19  0.104339 -0.00332092 10.19  - - -  - - -  72.6455 65.4263 69.727 69.4731 - - - - - 68.2221 - - - - - - 138 0 133 71 0 0 0 0
1701777327.701152000  1000.51 0 49.9966  -  nan  -0.213279 0.204233 -0.0235561  -0.213279 0.204233 -0.0235561  0.10883 0.0981509 9.89521  0.10883 0.0981509 9.89521  - - -  - - -  72.3398 65.0676 69.6085 69.2061 - - - - - - 69.4155 - - - - - 138 0 133 71 0 0 0 0
