# logged on Fri Dec  1 17:55:47 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701449747.510750000  1000.27 0 49.9985  -  nan  -0.373917 0.352062 0.0417984  -0.373917 0.352062 0.0417984  0.242307 0.043555 10.3574  0.242307 0.043555 10.3574  - - -  - - -  63.3033 70.6831 65.7185 76.5774 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701449747.515733000  1000.27 0 49.9966  -  nan  -0.461421 0.382379 0.0483318  -0.461421 0.382379 0.0483318  0.2917 0.00766022 9.16376  0.2917 0.00766022 9.16376  - - -  - - -  62.9172 70.6889 65.5717 76.0215 - - - - - 70.028 - - - - - - 139 146 134 71 0 0 0 0
1701449747.520743000  1000.27 0 49.997  -  nan  -0.344914 0.351389 0.0302106  -0.344914 0.351389 0.0302106  0.25115 0.0630664 8.53161  0.25115 0.0630664 8.53161  - - -  - - -  62.6693 71.2322 65.7149 75.5987 - - - - - - - 75.3466 - - - - 139 146 134 71 0 0 0 0
1701449747.525752000  1000.27 0 49.9973  -  nan  -0.446698 0.424859 0.0478365  -0.446698 0.424859 0.0478365  0.20013 0.0963154 10.0676  0.20013 0.0963154 10.0676  - - -  - - -  62.635 70.6121 66.4115 76.1788 - - - - - - 65.7722 - - - - - 139 146 134 71 0 0 0 0
1701449747.530750000  1000.27 0 49.9976  -  nan  -0.49088 0.440255 0.0442667  -0.49088 0.440255 0.0442667  0.335833 0.00339508 9.5632  0.335833 0.00339508 9.5632  - - -  - - -  62.3456 70.8555 66.2376 75.8955 - - - - 63.1552 - - - - - - - 139 146 134 71 0 0 0 0
1701449747.535748000  1000.27 0 49.9968  -  nan  -0.417632 0.409462 0.0231767  -0.417632 0.409462 0.0231767  0.251272 0.018026 8.19347  0.251272 0.018026 8.19347  - - -  - - -  62.3424 71.4324 66.0414 75.55 - - - - - 70.6514 - - - - - - 139 146 134 71 0 0 0 0
1701449747.540744000  1000.27 0 49.9981  -  nan  -0.445979 0.526158 0.0443009  -0.445979 0.526158 0.0443009  0.160246 0.202462 9.42993  0.160246 0.202462 9.42993  - - -  - - -  62.3855 71.1438 66.424 75.9988 - - - - - - - 75.8265 - - - - 139 146 134 71 0 0 0 0
1701449747.545745000  1000.28 0 49.9986  -  nan  -0.519182 0.541253 0.0533234  -0.519182 0.541253 0.0533234  0.336107 0.00399984 9.50661  0.336107 0.00399984 9.50661  - - -  - - -  62.9629 71.4416 65.4366 76.003 - - - - 62.3286 - 67.4491 - - - - - 139 146 134 71 0 0 0 0
1701449747.550752000  1000.29 0 49.9986  -  nan  -0.48994 0.525275 0.0141275  -0.48994 0.525275 0.0141275  0.201844 -0.0367754 8.76837  0.201844 -0.0367754 8.76837  - - -  - - -  62.8321 71.7942 65.3296 75.7515 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701449747.555746000  1000.31 0 49.9987  -  nan  -0.430682 0.625836 0.0282233  -0.430682 0.625836 0.0282233  0.254751 0.209772 8.74656  0.254751 0.209772 8.74656  - - -  - - -  63.2896 71.6176 65.6259 75.9321 - - - - - 70.6514 - - - - - - 139 146 134 71 0 0 0 0
