# logged on Tue Nov 14 13:51:32 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966292.987066000  1000.87 0 49.9997  -  nan  -0.0244793 0.031459 -0.0035208  -0.0244793 0.031459 -0.0035208  0.00817441 0.0426843 10.5722  0.00817441 0.0426843 10.5722  - - -  - - -  73.1048 72.9012 68.8851 65.8038 - - - - - - 69.0131 66.507 - - - - 138 146 134 70 0 0 0 0
1699966292.992074000  1000.88 0 49.9987  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  -0.0809668 0.048148 9.25261  -0.0809668 0.048148 9.25261  - - -  - - -  73.2702 73.156 68.3277 65.3192 - - - - 72.1501 - - - - - - - 138 146 134 70 0 0 0 0
1699966292.997064000  1000.88 0 49.9978  -  nan  0.0613128 -0.0107582 -0.0149421  0.0613128 -0.0107582 -0.0149421  0.110413 -0.0461145 9.6635  0.110413 -0.0461145 9.6635  - - -  - - -  73.5213 72.7255 68.3543 66.1337 - - - - - 73.2601 - - - - - - 138 146 134 70 0 0 0 0
1699966293.002070000  1000.88 0 49.9978  -  nan  -0.010488 0.0453668 -0.00369941  -0.010488 0.0453668 -0.00369941  0.00896933 0.0431596 10.4574  0.00896933 0.0431596 10.4574  - - -  - - -  73.4238 72.6862 68.4091 66.1996 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.007067000  1000.87 0 49.9973  -  nan  0.104209 0.0457914 -0.0158648  0.104209 0.0457914 -0.0158648  -0.0330147 0.0023248 9.25714  -0.0330147 0.0023248 9.25714  - - -  - - -  73.643 72.8877 67.6899 65.7586 - - - - - - 68.2221 66.3218 - - - - 138 146 134 70 0 0 0 0
1699966293.012062000  1000.88 0 49.9976  -  nan  0.104387 -0.0103429 -0.00058462  0.104387 -0.0103429 -0.00058462  0.155956 -0.0943182 10.0123  0.155956 -0.0943182 10.0123  - - -  - - -  73.9943 72.3736 67.7869 66.5901 - - - - 71.9321 - - - - - - - 138 146 134 70 0 0 0 0
1699966293.017065000  1000.88 0 49.9978  -  nan  0.0325089 0.059615 0.010284  0.0325089 0.059615 0.010284  -0.0389814 0.0438705 10.2855  -0.0389814 0.0438705 10.2855  - - -  - - -  73.524 72.4248 67.9417 66.6829 - - - - - 73.0353 - - - - - - 138 146 134 70 0 0 0 0
1699966293.022072000  1000.88 0 49.9978  -  nan  0.11814 0.0460515 -0.00191223  0.11814 0.0460515 -0.00191223  0.0169199 0.00280009 9.14277  0.0169199 0.00280009 9.14277  - - -  - - -  73.5343 72.8141 67.3755 66.2866 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.027066000  1000.88 0 49.9992  -  nan  0.104387 -0.0103429 -0.00058462  0.104387 -0.0103429 -0.00058462  0.104849 -0.0494414 10.4666  0.104849 -0.0494414 10.4666  - - -  - - -  73.8828 72.2709 67.3707 67.1051 - - - - - - 67.6407 67.4491 - - - - 138 146 134 70 0 0 0 0
1699966293.032063000  1000.88 0 50.0002  -  nan  0.0466369 0.0733374 -0.00365174  0.0466369 0.0733374 -0.00365174  0.0113541 0.0445855 10.1133  0.0113541 0.0445855 10.1133  - - -  - - -  73.5632 72.3037 67.6386 66.7659 - - - - 73.4862 - - - - - - - 138 146 134 70 0 0 0 0
1699966293.037063000  1000.87 0 49.9992  -  nan  0.118122 0.073532 -0.0164175  0.118122 0.073532 -0.0164175  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  74.0896 72.3624 67.0094 66.3024 - - - - - 71.5001 - - - - - - 138 146 134 70 0 0 0 0
1699966293.042074000  1000.87 0 49.9992  -  nan  0.0906017 -0.0108016 -0.029277  0.0906017 -0.0108016 -0.029277  0.155177 -0.0487306 10.2953  0.155177 -0.0487306 10.2953  - - -  - - -  74.421 71.8906 67.2302 66.8481 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966293.047066000  1000.88 0 50.0003  -  nan  0.0184994 0.0731877 -0.00404268  0.0184994 0.0731877 -0.00404268  -0.0373929 0.0899334 10.2235  -0.0373929 0.0899334 10.2235  - - -  - - -  74.0165 71.8801 67.7245 66.513 - - - - - - 68.0272 68.2221 - - - - 138 146 134 70 0 0 0 0
1699966293.052062000  1000.89 0 50.0002  -  nan  0.118277 0.0458663 -0.0156693  0.118277 0.0458663 -0.0156693  -0.0809668 0.048148 9.25261  -0.0809668 0.048148 9.25261  - - -  - - -  74.2807 72.1699 67.0176 66.184 - - - - 73.7137 - - - - - - - 138 146 134 70 0 0 0 0
