# logged on Fri Jan  5 15:41:41 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704465701.385535000  1000.13 0 49.9962  -  nan  -0.0974247 -0.0399602 -0.0205797  -0.0974247 -0.0399602 -0.0205797  -0.269671 -0.109047 10.8802  -0.269671 -0.109047 10.8802  - - -  - - -  76.8521 70.2616 69.5664 64.2136 - - - - - 66.507 - - - - - - 138 146 134 70 0 0 0 0
1704465701.390534000  1000.14 0 49.9976  -  nan  -0.0807181 0.113114 -0.121977  -0.0807181 0.113114 -0.121977  0.528919 0.160672 8.69545  0.528919 0.160672 8.69545  - - -  - - -  76.8535 68.0216 71.897 63.6802 - - - - - - - 64.8761 - - - - 138 146 134 70 0 0 0 0
1704465701.395535000  1000.15 0 49.9971  -  nan  -0.303183 0.183395 0.149735  -0.303183 0.183395 0.149735  -0.530617 0.244857 10.1055  -0.530617 0.244857 10.1055  - - -  - - -  78.6035 68.0796 71.5342 63.4614 - - - - 77.3036 - 69.6185 - - - - - 138 146 134 70 0 0 0 0
1704465701.400543000  1000.15 0 49.9971  -  nan  -0.0977975 -0.0687946 -0.00598735  -0.0977975 -0.0687946 -0.00598735  -0.177907 -0.0636076 11.2765  -0.177907 -0.0636076 11.2765  - - -  - - -  76.6612 71.3626 69.5375 64.0484 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704465701.405535000  1000.16 0 49.9984  -  nan  -0.0949922 0.15728 -0.11092  -0.0949922 0.15728 -0.11092  0.432385 0.0131455 8.6515  0.432385 0.0131455 8.6515  - - -  - - -  76.7983 68.7196 71.7807 63.7474 - - - - - 68.4182 - - - - - - 138 146 134 70 0 0 0 0
1704465701.410534000  1000.16 0 49.9985  -  nan  -0.274754 0.125524 0.153729  -0.274754 0.125524 0.153729  -0.486398 0.194526 10.1678  -0.486398 0.194526 10.1678  - - -  - - -  78.8179 69.1471 70.9244 63.4769 - - - - - - - 63.3232 - - - - 138 146 134 70 0 0 0 0
1704465701.415535000  1000.16 0 49.9959  -  nan  -0.0827027 0.00251985 -0.021075  -0.0827027 0.00251985 -0.021075  -0.0382793 -0.0130713 11.1013  -0.0382793 -0.0130713 11.1013  - - -  - - -  76.6997 71.2748 69.7951 64.1181 - - - - 76.0688 - 71.9321 - - - - - 138 146 134 70 0 0 0 0
1704465701.420536000  1000.16 0 49.9959  -  nan  -0.0805466 0.18616 -0.0963845  -0.0805466 0.18616 -0.0963845  0.110974 0.0113206 8.81991  0.110974 0.0113206 8.81991  - - -  - - -  77.7161 68.6889 71.349 63.5799 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704465701.425534000  1000.16 0 49.9963  -  nan  -0.215579 0.0946852 0.103511  -0.215579 0.0946852 0.103511  -0.210662 0.195141 10.1123  -0.210662 0.195141 10.1123  - - -  - - -  79.275 68.7859 70.9251 63.5036 - - - - - 69.6185 - - - - - - 138 146 134 70 0 0 0 0
1704465701.430533000  1000.16 0 49.9977  -  nan  -0.0820908 0.088624 -0.0240802  -0.0820908 0.088624 -0.0240802  0.00680285 -0.060552 10.9919  0.00680285 -0.060552 10.9919  - - -  - - -  77.5409 70.3788 70.099 64.3164 - - - - - - - 62.822 - - - - 138 146 134 70 0 0 0 0
