# logged on Wed Nov  8 13:33:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699446783.420547000  1000.55 0 50.0089  -  nan  0.00436645 -0.0948631 0.000290399  0.00436645 -0.0948631 0.000290399  0.00459246 0.0856558 11.2563  0.00459246 0.0856558 11.2563  - - -  - - -  71.0042 71.5362 68.339 65.3818 - - - - - - 68.8137 - - - - - 138 146 134 70 0 0 0 0
1699446783.425557000  1000.55 0 50.0072  -  nan  0.0186962 -0.0104271 0.0257428  0.0186962 -0.0104271 0.0257428  -0.0797792 0.0939712 9.24844  -0.0797792 0.0939712 9.24844  - - -  - - -  69.6618 70.6857 69.0615 65.404 - - - - 70.4424 70.028 - - - - - - 138 146 134 70 0 0 0 0
1699446783.430550000  1000.55 0 50.0072  -  nan  -0.109243 0.0452131 0.0224465  -0.109243 0.0452131 0.0224465  0.0707892 -0.0864781 8.11911  0.0707892 -0.0864781 8.11911  - - -  - - -  70.355 71.1245 68.4162 65.6813 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699446783.435550000  1000.54 0 50.0055  -  nan  0.0479523 -0.137305 -0.0117173  0.0479523 -0.137305 -0.0117173  0.0022077 0.08423 11.6005  0.0022077 0.08423 11.6005  - - -  - - -  70.6292 72.127 68.4313 65.2836 - - - - - - - 66.1376 - - - - 138 146 134 70 0 0 0 0
1699446783.440544000  1000.55 0 50.007  -  nan  0.0188093 0.0178562 -0.00254632  0.0188093 0.0178562 -0.00254632  -0.0825566 0.0471974 9.48207  -0.0825566 0.0471974 9.48207  - - -  - - -  69.4606 70.9855 69.3786 65.1344 - - - - - - 68.8137 - - - - - 138 146 134 70 0 0 0 0
1699446783.445555000  1000.54 0 50.0057  -  nan  -0.0665844 -0.0110671 0.0107989  -0.0665844 -0.0110671 0.0107989  0.114325 -0.181935 8.58689  0.114325 -0.181935 8.58689  - - -  - - -  70.2848 71.2376 68.7674 65.3184 - - - - 70.8617 71.286 - - - - - - 138 146 134 70 0 0 0 0
1699446783.450549000  1000.55 0 50.0057  -  nan  0.0760068 -0.122334 -0.0117272  0.0760068 -0.122334 -0.0117272  0.100094 0.0388821 11.4907  0.100094 0.0388821 11.4907  - - -  - - -  70.0225 71.611 69.2184 65.2154 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699446783.455548000  1000.54 0 50.0052  -  nan  0.0604914 0.0874305 0.00992676  0.0604914 0.0874305 0.00992676  -0.129095 0.00303979 9.08386  -0.129095 0.00303979 9.08386  - - -  - - -  69.3923 70.3936 69.4426 65.6113 - - - - - - - 65.7722 - - - - 138 146 134 70 0 0 0 0
1699446783.460546000  1000.55 0 50.0056  -  nan  0.0189879 -0.0382781 0.0127339  0.0189879 -0.0382781 0.0127339  0.110728 -0.230139 8.93533  0.110728 -0.230139 8.93533  - - -  - - -  70.5035 70.6775 68.5863 65.8072 - - - - - - 69.6185 - - - - - 138 146 134 70 0 0 0 0
1699446783.465553000  1000.54 0 50.0046  -  nan  0.147046 -0.066623 -0.0122322  0.147046 -0.066623 -0.0122322  0.100497 -0.00599057 11.2654  0.100497 -0.00599057 11.2654  - - -  - - -  69.964 70.5982 69.2932 66.1556 - - - - 70.2346 71.0732 - - - - - - 138 146 134 70 0 0 0 0
1699446783.470549000  1000.55 0 50.0046  -  nan  0.117343 0.115772 0.0374887  0.117343 0.115772 0.0374887  -0.080187 -0.0425519 8.80215  -0.080187 -0.0425519 8.80215  - - -  - - -  69.556 69.9632 69.4148 66.2663 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699446783.475545000  1000.54 0 50.0051  -  nan  0.118474 -0.0377485 0.0141161  0.118474 -0.0377485 0.0141161  0.160662 -0.229663 8.82096  0.160662 -0.229663 8.82096  - - -  - - -  70.8061 70.1835 68.1327 67.2366 - - - - - - - 63.4921 - - - - 138 146 134 70 0 0 0 0
1699446783.480545000  1000.55 0 50.0046  -  nan  0.176105 -0.051647 -0.0122281  0.176105 -0.051647 -0.0122281  0.0541344 0.0407832 11.0314  0.0541344 0.0407832 11.0314  - - -  - - -  70.2961 69.8174 68.9353 67.6785 - - - - - - 68.8137 - - - - - 138 146 134 70 0 0 0 0
1699446783.485553000  1000.54 0 50.0036  -  nan  0.117301 0.171721 0.00845136  0.117301 0.171721 0.00845136  0.0188873 -0.0420766 8.68813  0.0188873 -0.0420766 8.68813  - - -  - - -  69.9723 69.118 68.9981 67.7158 - - - - 71.5001 71.9321 - - - - - - 138 146 134 70 0 0 0 0
1699446783.490547000  1000.55 0 50.0036  -  nan  0.161959 -0.037889 -0.0127977  0.161959 -0.037889 -0.0127977  0.108366 -0.185497 9.44684  0.108366 -0.185497 9.44684  - - -  - - -  71.6366 69.5481 67.6787 68.0687 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
