# logged on Tue Nov 14 14:15:11 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967711.945732000  1000.16 0 50.0111  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  -0.0342133 0.0918345 9.76455  -0.0342133 0.0918345 9.76455  - - -  - - -  76.1527 75.7644 67.2499 63.6855 - - - - - 74.173 - - - - - - 138 146 134 71 0 0 0 0
1699967711.950729000  1000.15 0 50.012  -  nan  0.00411037 -0.024896 -0.0153639  0.00411037 -0.024896 -0.0153639  0.0133462 0.000663381 9.65853  0.0133462 0.000663381 9.65853  - - -  - - -  76.4421 75.348 67.2115 63.9129 - - - - - - 67.0691 - - - - - 138 146 134 71 0 0 0 0
1699967711.955734000  1000.14 0 50.0108  -  nan  -0.0241639 -0.0248605 -0.00199772  -0.0241639 -0.0248605 -0.00199772  0.0584714 -0.0938429 9.89686  0.0584714 -0.0938429 9.89686  - - -  - - -  76.4546 75.3667 67.4808 63.7727 - - - - 76.8049 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.960731000  1000.14 0 50.0097  -  nan  0.0612353 0.00307466 -0.0153162  0.0612353 0.00307466 -0.0153162  -0.128294 0.139798 9.47328  -0.128294 0.139798 9.47328  - - -  - - -  76.3439 75.4371 67.4281 63.7608 - - - - - - - 64.8761 - - - - 138 146 134 71 0 0 0 0
1699967711.965731000  1000.13 0 50.0088  -  nan  0.0470298 0.00318504 -0.00175457  0.0470298 0.00318504 -0.00175457  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  76.5505 75.0733 67.4742 64.2205 - - - - - 75.5858 - - - - - - 138 146 134 71 0 0 0 0
1699967711.970730000  1000.14 0 50.0089  -  nan  0.00405106 -0.0385436 -0.00123268  0.00405106 -0.0385436 -0.00123268  0.102448 -0.0969302 10.6424  0.102448 -0.0969302 10.6424  - - -  - - -  76.6211 75.04 67.3806 64.4652 - - - - - - 66.507 - - - - - 138 146 134 71 0 0 0 0
1699967711.975716000  1000.13 0 50.009  -  nan  0.0900623 0.0595493 -0.0164344  0.0900623 0.0595493 -0.0164344  -0.0765762 0.141939 8.95686  -0.0765762 0.141939 8.95686  - - -  - - -  76.3301 75.1022 67.3841 64.1207 - - - - 76.8049 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.980734000  1000.12 0 50.0071  -  nan  0.0610748 0.0317285 -0.0160911  0.0610748 0.0317285 -0.0160911  0.0117165 -0.092417 9.55233  0.0117165 -0.092417 9.55233  - - -  - - -  77.0624 74.713 67.0435 64.6713 - - - - - - - 63.4921 - - - - 138 146 134 71 0 0 0 0
1699967711.985730000  1000.12 0 50.0054  -  nan  0.019339 -0.0524815 -0.0144063  0.019339 -0.0524815 -0.0144063  0.149974 -0.143948 10.7049  0.149974 -0.143948 10.7049  - - -  - - -  77.2095 74.6017 67.0354 64.7544 - - - - - 74.173 - - - - - - 138 146 134 71 0 0 0 0
1699967711.990730000  1000.11 0 50.0048  -  nan  0.118122 0.073532 -0.0164175  0.118122 0.073532 -0.0164175  -0.0266252 0.188477 9.01081  -0.0266252 0.188477 9.01081  - - -  - - -  76.7463 74.6403 67.2716 64.3484 - - - - - - 67.8334 - - - - - 138 146 134 71 0 0 0 0
1699967711.995730000  1000.1 0 50.0044  -  nan  0.0749112 0.073302 -0.0170179  0.0749112 0.073302 -0.0170179  0.0129054 -0.0917062 9.38074  0.0129054 -0.0917062 9.38074  - - -  - - -  77.4049 74.4547 66.7485 65.0047 - - - - 76.8049 - - - - - - - 138 146 134 71 0 0 0 0
1699967712.000731000  1000.11 0 50.0039  -  nan  0.0756139 -0.0521819 -0.0136244  0.0756139 -0.0521819 -0.0136244  0.0525295 -0.0513426 10.9251  0.0525295 -0.0513426 10.9251  - - -  - - -  77.4399 74.3791 66.6695 65.1055 - - - - - - - 65.0533 - - - - 138 146 134 71 0 0 0 0
1699967712.005731000  1000.11 0 50.0035  -  nan  0.1182 0.0596991 -0.0160434  0.1182 0.0596991 -0.0160434  0.0688355 0.0946862 9.0769  0.0688355 0.0946862 9.0769  - - -  - - -  76.7124 74.3045 67.1929 64.7231 - - - - - 73.9426 - - - - - - 138 146 134 71 0 0 0 0
1699967712.010727000  1000.1 0 50.0042  -  nan  0.0898481 0.0735675 -0.00305135  0.0898481 0.0735675 -0.00305135  -0.0361944 0.000423674 9.71604  -0.0361944 0.000423674 9.71604  - - -  - - -  77.3887 74.0073 66.8227 65.2129 - - - - - - 65.591 - - - - - 138 146 134 71 0 0 0 0
1699967712.015732000  1000.1 0 50.0028  -  nan  0.0907706 -0.0669226 -0.0130141  0.0907706 -0.0669226 -0.0130141  0.104431 -0.095744 10.3561  0.104431 -0.095744 10.3561  - - -  - - -  77.5857 74.1377 66.4891 65.1612 - - - - 77.0535 - - - - - - - 138 146 134 71 0 0 0 0
1699967712.020731000  1000.09 0 50.0035  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  0.0208848 0.0953971 8.90496  0.0208848 0.0953971 8.90496  - - -  - - -  76.7792 74.0865 67.1765 64.9221 - - - - - - - 64.1766 - - - - 138 146 134 71 0 0 0 0
1699967712.025718000  1000.08 0 50.0021  -  nan  0.0747744 0.0734872 -0.00326079  0.0747744 0.0734872 -0.00326079  -0.0365966 0.0452963 9.94132  -0.0365966 0.0452963 9.94132  - - -  - - -  77.0891 74.4862 66.9161 64.8801 - - - - - 73.7137 - - - - - - 138 146 134 71 0 0 0 0
1699967712.030716000  1000.07 0 50.0019  -  nan  0.0474227 -0.0669674 0.000142603  0.0474227 -0.0669674 0.000142603  0.106038 -0.0487306 10.295  0.106038 -0.0487306 10.295  - - -  - - -  77.3174 74.6546 66.4504 64.7638 - - - - - - 66.6933 - - - - - 138 146 134 71 0 0 0 0
1699967712.035731000  1000.05 0 50.0017  -  nan  0.061176 -0.0105729 -0.001185  0.061176 -0.0105729 -0.001185  -0.0793619 0.140274 9.3589  -0.0793619 0.140274 9.3589  - - -  - - -  76.5385 74.7552 67.0872 64.4426 - - - - 78.3208 - - - - - - - 138 146 134 71 0 0 0 0
1699967712.040734000  1000.03 0 50.0016  -  nan  0.0470061 0.0316536 -0.0162866  0.0470061 0.0316536 -0.0162866  -0.0833515 0.0467222 9.59679  -0.0833515 0.0467222 9.59679  - - -  - - -  76.6132 74.8217 67.3005 64.3848 - - - - - - - 65.9544 - - - - 138 146 134 71 0 0 0 0
1699967712.045730000  1000.02 0 50.0014  -  nan  0.047623 -0.0525302 -0.0287551  0.047623 -0.0525302 -0.0287551  0.0561031 -0.0492059 10.4094  0.0561031 -0.0492059 10.4094  - - -  - - -  76.9645 74.8293 67.0761 64.2672 - - - - - 75.5858 - - - - - - 138 146 134 71 0 0 0 0
1699967712.050729000  1000.01 0 50.0023  -  nan  0.0475594 -0.0671526 -0.0136145  0.0475594 -0.0671526 -0.0136145  0.012543 0.0452963 9.94167  0.012543 0.0452963 9.94167  - - -  - - -  76.378 74.661 67.7119 63.9197 - - - - - - 66.507 - - - - - 138 146 134 71 0 0 0 0
1699967712.055733000  999.993 0 50.003  -  nan  0.0467919 0.0456717 -0.00290356  0.0467919 0.0456717 -0.00290356  -0.124296 0.188242 9.06698  -0.124296 0.188242 9.06698  - - -  - - -  76.1487 74.7725 67.9366 63.8308 - - - - 77.3036 - - - - - - - 138 146 134 71 0 0 0 0
1699967712.060731000  999.981 0 50.0017  -  nan  0.0332709 -0.0522213 -0.000453681  0.0332709 -0.0522213 -0.000453681  0.104014 -0.142047 10.2457  0.104014 -0.142047 10.2457  - - -  - - -  76.6484 75.045 67.191 64.1455 - - - - - - - 64.0041 - - - - 138 146 134 71 0 0 0 0
1699967712.065715000  999.972 0 50.0026  -  nan  0.0617238 -0.108391 0.00146035  0.0617238 -0.108391 0.00146035  0.0117467 0.0899334 10.2238  0.0117467 0.0899334 10.2238  - - -  - - -  76.0204 75.1558 67.5173 63.927 - - - - - 74.8727 - - - - - - 138 146 134 71 0 0 0 0
1699967712.070730000  999.968 0 50.0023  -  nan  0.0602772 0.101449 0.0233098  0.0602772 0.101449 0.0233098  -0.125137 0.0956326 8.84705  -0.125137 0.0956326 8.84705  - - -  - - -  75.7641 74.9845 67.5168 64.1394 - - - - - - 66.3218 - - - - - 138 146 134 71 0 0 0 0
1699967712.075724000  999.965 0 50.0021  -  nan  0.0473397 -0.0521464 -0.000258208  0.0473397 -0.0521464 -0.000258208  0.102047 -0.0971699 10.7003  0.102047 -0.0971699 10.7003  - - -  - - -  76.7195 75.1129 66.5451 64.6168 - - - - 75.8265 - - - - - - - 138 146 134 71 0 0 0 0
1699967712.080719000  999.957 0 50.0019  -  nan  0.0909946 -0.080954 -0.0273798  0.0909946 -0.080954 -0.0273798  0.0129439 0.045536 9.88381  0.0129439 0.045536 9.88381  - - -  - - -  76.0279 74.8691 67.1167 64.3002 - - - - - - - 63.6618 - - - - 138 146 134 71 0 0 0 0
1699967712.085717000  999.952 0 50.0043  -  nan  0.0896931 0.101233 -0.00379953  0.0896931 0.101233 -0.00379953  -0.078582 0.0495739 8.90844  -0.078582 0.0495739 8.90844  - - -  - - -  75.8479 74.4307 67.6195 64.3758 - - - - - 74.638 67.0691 - - - - - 138 146 134 71 0 0 0 0
1699967712.090716000  999.949 0 50.0043  -  nan  0.132894 -0.051877 -0.0128285  0.132894 -0.051877 -0.0128285  0.0996619 -0.0985957 11.0445  0.0996619 -0.0985957 11.0445  - - -  - - -  76.8609 74.5005 66.8076 64.8954 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699967712.095724000  999.945 0 50.0029  -  nan  0.104756 -0.0520268 -0.0132195  0.104756 -0.0520268 -0.0132195  0.0133379 0.0457716 9.82694  0.0133379 0.0457716 9.82694  - - -  - - -  76.1532 73.7824 67.1916 65.0676 - - - - 76.0688 - - - - - - - 138 146 134 71 0 0 0 0
1699967712.100720000  999.944 0 50.0036  -  nan  0.0898299 0.101048 -0.0175566  0.0898299 0.101048 -0.0175566  -0.0266636 0.0512353 8.50775  -0.0266636 0.0512353 8.50775  - - -  - - -  76.1326 73.5812 67.2785 65.1455 - - - - - - - 64.1766 - - - - 138 146 134 71 0 0 0 0
