# logged on Tue Nov 14 10:40:17 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699954817.494816000  1001.11 0 50.0006  -  nan  0.0609974 0.0455613 -0.0164652  0.0609974 0.0455613 -0.0164652  0.0137388 0.0460113 9.76908  0.0137388 0.0460113 9.76908  - - -  - - -  73.6216 72.5616 67.8334 64.8279 - - - - 74.173 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.499826000  1001.12 0 50.0015  -  nan  -0.0523014 -0.0250103 -0.00238866  -0.0523014 -0.0250103 -0.00238866  0.0133228 -0.0454036 9.49121  0.0133228 -0.0454036 9.49121  - - -  - - -  73.774 72.5837 67.9918 64.9158 - - - - - 72.1501 68.4182 - - - - - 138 146 134 71 0 0 0 0
1699954817.504824000  1001.13 0 50.0024  -  nan  0.00397359 -0.0247107 -0.00160677  0.00397359 -0.0247107 -0.00160677  -0.0385888 0.0892184 10.396  -0.0385888 0.0892184 10.396  - - -  - - -  73.2258 73.2371 68.5016 64.3058 - - - - - - - 65.591 - - - - 138 146 134 71 0 0 0 0
1699954817.509818000  1001.14 0 50.0024  -  nan  0.0186544 0.0455219 -0.0032945  0.0186544 0.0455219 -0.0032945  -0.0805645 0.00327537 9.02734  -0.0805645 0.00327537 9.02734  - - -  - - -  73.2032 72.8432 68.1913 64.6346 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.514817000  1001.15 0 50.0021  -  nan  -0.00995837 -0.0249709 -0.0155594  -0.00995837 -0.0249709 -0.0155594  0.0137237 -0.0451639 9.43334  0.0137237 -0.0451639 9.43334  - - -  - - -  73.5226 73.0319 68.1713 64.7089 - - - - 73.4862 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.519821000  1001.17 0 50.0009  -  nan  0.0332528 -0.0247409 -0.014959  0.0332528 -0.0247409 -0.014959  0.00936196 0.0885075 10.568  0.00936196 0.0885075 10.568  - - -  - - -  73.145 73.0047 68.8296 64.5978 - - - - - - 68.6153 - - - - - 138 146 134 71 0 0 0 0
1699954817.524827000  1001.17 0 50.0027  -  nan  0.0466369 0.0733374 -0.00365174  0.0466369 0.0733374 -0.00365174  -0.0801636 0.00351508 8.96948  -0.0801636 0.00351508 8.96948  - - -  - - -  73.1059 72.8315 68.7333 64.4068 - - - - - 72.3694 - 65.0533 - - - - 138 146 134 71 0 0 0 0
1699954817.529820000  1001.18 0 50.0027  -  nan  0.0473397 -0.0521464 -0.000258208  0.0473397 -0.0521464 -0.000258208  0.0620685 -0.0456392 9.54842  0.0620685 -0.0456392 9.54842  - - -  - - -  73.6835 72.8148 68.2135 64.8839 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.534817000  1001.19 0 50.0015  -  nan  0.0614914 -0.0668925 0.000338076  0.0614914 -0.0668925 0.000338076  0.0573127 0.0877967 10.7399  0.0573127 0.0877967 10.7399  - - -  - - -  72.9922 72.641 68.8813 65.2088 - - - - 73.2601 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.539822000  1001.19 0 49.9993  -  nan  0.0604914 0.0874305 0.00992676  0.0604914 0.0874305 0.00992676  -0.128701 0.00327537 9.027  -0.128701 0.00327537 9.027  - - -  - - -  73.0258 72.6978 68.4312 65.0043 - - - - - - 68.4182 - - - - - 138 146 134 71 0 0 0 0
1699954817.544823000  1001.2 0 50.0015  -  nan  0.104986 -0.0670462 -0.0275584  0.104986 -0.0670462 -0.0275584  0.0596603 -0.093132 9.72527  0.0596603 -0.093132 9.72527  - - -  - - -  73.7743 72.7346 67.7172 65.4479 - - - - - 73.4862 - 65.2316 - - - - 138 146 134 71 0 0 0 0
1699954817.549808000  1001.19 0 50.0015  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  0.0109532 0.0443457 10.1711  0.0109532 0.0443457 10.1711  - - -  - - -  73.1625 72.1106 68.7417 65.6086 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.554817000  1001.18 0 50.0014  -  nan  0.0895563 0.101418 0.00995758  0.0895563 0.101418 0.00995758  -0.0837606 -0.0446886 9.31792  -0.0837606 -0.0446886 9.31792  - - -  - - -  73.4411 72.2538 67.9882 65.6588 - - - - 73.4862 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.559830000  1001.17 0 50.0002  -  nan  0.176105 -0.051647 -0.0122281  0.176105 -0.051647 -0.0122281  0.110807 -0.0458789 9.60663  0.110807 -0.0458789 9.60663  - - -  - - -  73.7487 72.2251 67.7455 65.9401 - - - - - 72.1501 68.8137 - - - - - 138 146 134 71 0 0 0 0
1699954817.564825000  1001.17 0 50.0022  -  nan  0.0608606 0.0457466 -0.00270808  0.0608606 0.0457466 -0.00270808  -0.0361944 0.000423674 9.71604  -0.0361944 0.000423674 9.71604  - - -  - - -  73.255 71.4846 68.3596 66.3682 - - - - - - - 65.9544 - - - - 138 146 134 71 0 0 0 0
1699954817.569818000  1001.16 0 50.0022  -  nan  0.132346 0.0459411 -0.0154739  0.132346 0.0459411 -0.0154739  -0.0378007 -0.0465898 9.77717  -0.0378007 -0.0465898 9.77717  - - -  - - -  73.8663 71.9344 67.6794 66.0931 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.574821000  1001.16 0 50.001  -  nan  0.176251 -0.0518455 -0.0269679  0.176251 -0.0518455 -0.0269679  0.0596837 -0.047065 9.8926  0.0596837 -0.047065 9.8926  - - -  - - -  73.9944 71.3333 67.8661 66.5602 - - - - 73.9426 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.579821000  1001.15 0 50.0018  -  nan  0.0328006 0.0317639 -0.00272494  0.0328006 0.0317639 -0.00272494  -0.0369893 -5.16086e-05 9.83077  -0.0369893 -5.16086e-05 9.83077  - - -  - - -  73.507 70.9733 68.4465 66.3903 - - - - - 71.0732 68.4182 - - - - - 138 146 134 71 0 0 0 0
1699954817.584823000  1001.14 0 50.0026  -  nan  0.132423 0.0321083 -0.0150998  0.132423 0.0321083 -0.0150998  -0.0373833 -0.000287183 9.88763  -0.0373833 -0.000287183 9.88763  - - -  - - -  73.7765 71.3506 67.9459 66.1262 - - - - - - - 66.1376 - - - - 138 146 134 71 0 0 0 0
1699954817.589814000  1001.14 0 50.0026  -  nan  0.162036 -0.0517219 -0.0124236  0.162036 -0.0517219 -0.0124236  0.0125513 0.000188099 9.77326  0.0125513 0.000188099 9.77326  - - -  - - -  73.6993 70.8752 68.1055 66.7091 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
