# logged on Tue Dec  5 10:10:19 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767419.340672000  1000.35 0 50.0081  -  nan  -0.474151 0.405889 -0.0767197  -0.474151 0.405889 -0.0767197  0.200409 0.0969308 10.0101  0.200409 0.0969308 10.0101  - - -  - - -  71.9088 67.001 71.9849 66.3276 - - - - 70.4424 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.345681000  1000.35 0 50.0053  -  nan  -0.473987 0.405346 -0.0902867  -0.473987 0.405346 -0.0902867  0.204464 0.152131 9.49231  0.204464 0.152131 9.49231  - - -  - - -  71.7406 66.5212 72.0163 66.2325 - - - - - 66.1376 - - - - - - 139 146 0 70 0 0 0 0
1701767419.350670000  1000.35 0 50.0047  -  nan  -0.590748 0.521903 -0.0888084  -0.590748 0.521903 -0.0888084  0.209162 0.162497 8.52235  0.209162 0.162497 8.52235  - - -  - - -  72.377 66.7805 72.0221 65.7776 - - - - - - - 66.507 - - - - 139 146 0 70 0 0 0 0
1701767419.355668000  1000.35 0 50.0067  -  nan  -0.561846 0.507048 -0.0999012  -0.561846 0.507048 -0.0999012  0.203358 0.149691 9.72066  0.203358 0.149691 9.72066  - - -  - - -  73.3662 67.307 71.4504 65.0514 - - - - 71.5001 - 72.3694 - - - - - 139 146 0 70 0 0 0 0
1701767419.360690000  1000.35 0 50.0067  -  nan  -0.546396 0.506978 -0.098841  -0.546396 0.506978 -0.098841  0.249316 0.151527 9.54923  0.249316 0.151527 9.54923  - - -  - - -  73.2536 66.7111 71.6629 65.165 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701767419.365671000  1000.35 0 50.0031  -  nan  -0.663914 0.565904 -0.067209  -0.663914 0.565904 -0.067209  0.207229 0.158232 8.92145  0.207229 0.158232 8.92145  - - -  - - -  73.603 67.287 71.3954 64.8832 - - - - - 67.6407 - - - - - - 139 146 0 70 0 0 0 0
1701767419.370672000  1000.35 0 50.0038  -  nan  -0.605243 0.536732 -0.0757569  -0.605243 0.536732 -0.0757569  0.157481 0.196362 10.0008  0.157481 0.196362 10.0008  - - -  - - -  73.9898 68.1424 70.7932 64.4889 - - - - - - - 65.7722 - - - - 139 146 0 70 0 0 0 0
1701767419.375667000  1000.35 0 50.004  -  nan  -0.649595 0.551657 -0.0657244  -0.649595 0.551657 -0.0657244  0.202252 0.147251 9.949  0.202252 0.147251 9.949  - - -  - - -  73.6054 67.8966 70.8195 64.3853 - - - - 74.4048 - 71.9321 - - - - - 139 146 0 70 0 0 0 0
1701767419.380672000  1000.35 0 50.004  -  nan  -0.692754 0.566036 -0.0691881  -0.692754 0.566036 -0.0691881  0.207503 0.158837 8.86486  0.207503 0.158837 8.86486  - - -  - - -  73.7159 68.4655 70.8801 64.0526 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701767419.385679000  1000.35 0 49.9996  -  nan  -0.663914 0.565904 -0.067209  -0.663914 0.565904 -0.067209  0.111689 0.196966 9.94386  0.111689 0.196966 9.94386  - - -  - - -  74.0838 68.9556 70.6683 64.0053 - - - - - 66.8807 - - - - - - 139 146 0 70 0 0 0 0
