# logged on Tue Dec  5 11:42:46 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772967.165965000  999.905 0 49.9991  -  nan  -0.24261 0.205991 0.0151656  -0.24261 0.205991 0.0151656  0.0691201 0.112177 8.58239  0.0691201 0.112177 8.58239  - - -  - - -  72.4362 67.3607 69.5764 70.1098 - - - - - 68.0272 70.028 70.6514 - - - - 139 146 134 71 0 0 0 0
1701772967.170948000  999.905 0 49.9992  -  nan  -0.18445 0.104896 0.00912793  -0.18445 0.104896 0.00912793  0.101853 -0.00880619 10.7033  0.101853 -0.00880619 10.7033  - - -  - - -  73.4121 68.5059 68.5399 69.5008 - - - - 71.5001 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.175944000  999.905 0 49.9992  -  nan  -0.141027 0.104157 -0.00147028  -0.141027 0.104157 -0.00147028  0.110673 0.148471 9.83415  0.110673 0.148471 9.83415  - - -  - - -  72.5341 67.7944 68.8606 69.5476 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.180951000  999.905 0 49.9992  -  nan  -0.315757 0.250967 0.0357607  -0.315757 0.250967 0.0357607  0.0672721 0.0618463 8.64444  0.0672721 0.0618463 8.64444  - - -  - - -  72.4211 67.7554 68.9397 69.6444 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.185958000  999.905 0 50.0005  -  nan  -0.214483 0.105574 0.020645  -0.214483 0.105574 0.020645  0.103668 0.04051 10.6413  0.103668 0.04051 10.6413  - - -  - - -  72.8723 68.6519 68.2841 69.1511 - - - - - 67.8334 68.8137 70.6514 - - - - 139 146 134 71 0 0 0 0
1701772967.190960000  999.905 0 49.9995  -  nan  -0.228493 0.16338 0.0176402  -0.228493 0.16338 0.0176402  0.0670973 0.153967 9.31955  0.0670973 0.153967 9.31955  - - -  - - -  71.8232 67.7361 68.8916 69.5599 - - - - 71.7154 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.195953000  999.905 0 49.9995  -  nan  -0.374365 0.265416 0.0312366  -0.374365 0.265416 0.0312366  0.0661661 0.059406 8.87278  0.0661661 0.059406 8.87278  - - -  - - -  72.0439 68.1053 68.653 69.3363 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.200962000  999.903 0 49.9995  -  nan  -0.214319 0.105032 0.00707805  -0.214319 0.105032 0.00707805  0.103943 0.0411147 10.5847  0.103943 0.0411147 10.5847  - - -  - - -  72.1793 68.6302 68.2267 68.9165 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.205962000  999.904 0 50.0016  -  nan  -0.272371 0.221322 0.0125854  -0.272371 0.221322 0.0125854  0.0684773 0.157012 9.03461  0.0684773 0.157012 9.03461  - - -  - - -  71.1375 67.287 68.9887 69.4311 - - - - - 68.4182 67.8334 - - - - - 139 146 134 71 0 0 0 0
1701772967.210953000  999.904 0 50.0013  -  nan  -0.359681 0.27899 0.0181643  -0.359681 0.27899 0.0181643  0.109868 0.00888035 9.04826  0.109868 0.00888035 9.04826  - - -  - - -  71.5367 67.8252 68.5834 69.2626 - - - - 71.7154 - - 69.6185 - - - - 139 146 134 71 0 0 0 0
