# logged on Tue Jan  2 11:20:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190825.180901000  1000.81 0 49.9941  -  nan  -0.111906 0.165597 0.0945024  -0.111906 0.165597 0.0945024  -0.0854384 -0.292058 9.41613  -0.0854384 -0.292058 9.41613  - - -  - - -  78.3135 66.5615 73.6477 68.5353 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.185882000  1000.81 0 49.9927  -  nan  0.121763 -0.0437029 -0.0743984  0.121763 -0.0437029 -0.0743984  -0.392994 0.199407 9.71182  -0.392994 0.199407 9.71182  - - -  - - -  78.1208 67.3815 73.2082 69.3071 - - - - 78.8395 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.190887000  1000.81 0 49.9934  -  nan  -0.111724 0.0478365 0.0161265  -0.111724 0.0478365 0.0161265  0.151398 0.18294 11.2567  0.151398 0.18294 11.2567  - - -  - - -  77.707 65.818 75.131 69.077 - - - - - - 75.8265 - - - - - 139 146 134 70 0 0 0 0
1704190825.195884000  1000.82 0 49.9909  -  nan  -0.0974942 0.0919435 0.0563321  -0.0974942 0.0919435 0.0563321  -0.0328262 -0.231361 8.38445  -0.0328262 -0.231361 8.38445  - - -  - - -  77.7599 67.3273 73.6701 68.1961 - - - - - 65.591 - 69.2137 - - - - 139 146 134 70 0 0 0 0
1704190825.200883000  1000.82 0 49.9909  -  nan  0.0196681 -0.0137911 -0.0552522  0.0196681 -0.0137911 -0.0552522  -0.528958 0.248517 9.76294  -0.528958 0.248517 9.76294  - - -  - - -  78.096 67.4906 73.9968 69.0465 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.205886000  1000.83 0 49.9908  -  nan  -0.127111 0.0331825 0.00199421  -0.127111 0.0331825 0.00199421  0.236777 0.0313537 11.4991  0.236777 0.0313537 11.4991  - - -  - - -  77.7581 66.6378 75.0635 68.6312 - - - - 79.1014 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.210885000  1000.82 0 49.9907  -  nan  -0.0965736 0.103414 -0.0119978  -0.0965736 0.103414 -0.0119978  0.155503 -0.0373802 8.82462  0.155503 -0.0373802 8.82462  - - -  - - -  77.8818 67.1731 74.1146 68.0035 - - - - - - 74.4048 - - - - - 139 146 134 70 0 0 0 0
1704190825.215880000  1000.82 0 49.9906  -  nan  -0.0680742 0.031831 -0.0211107  -0.0680742 0.031831 -0.0211107  -0.534861 0.142986 10.3427  -0.534861 0.142986 10.3427  - - -  - - -  78.7434 67.4484 74.2265 68.2531 - - - - - 66.6933 - - - - - - 139 146 134 70 0 0 0 0
1704190825.220878000  1000.81 0 49.9886  -  nan  -0.111202 0.00152753 -0.0511572  -0.111202 0.00152753 -0.0511572  0.374158 -0.0136867 11.1619  0.374158 -0.0136867 11.1619  - - -  - - -  77.9433 66.9325 74.8358 68.0483 - - - - - - - 68.2221 - - - - 139 146 134 70 0 0 0 0
1704190825.225900000  1000.81 0 49.9877  -  nan  -0.169355 0.176211 -0.00595972  -0.169355 0.176211 -0.00595972  -0.0675096 0.161892 8.57692  -0.0675096 0.161892 8.57692  - - -  - - -  78.4329 67.0095 74.4888 67.4593 - - - - 79.1014 - - - - - - - 139 146 134 70 0 0 0 0
