# logged on Tue Nov 14 13:36:35 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965395.906539000  999.661 0 49.9924  -  nan  0.131977 0.087625 -0.00283902  0.131977 0.087625 -0.00283902  0.0181157 0.00351508 8.97018  0.0181157 0.00351508 8.97018  - - -  - - -  73.539 72.2705 67.8141 66.0183 - - - - - 73.0353 - - - - - - 138 145 0 71 0 0 0 0
1699965395.911548000  999.66 0 49.9922  -  nan  0.0607831 0.0595795 -0.00308217  0.0607831 0.0595795 -0.00308217  0.11198 -0.0912309 9.26672  0.11198 -0.0912309 9.26672  - - -  - - -  74.1881 71.8456 67.5808 67.0163 - - - - - - - 66.1376 - - - - 138 145 0 71 0 0 0 0
1699965395.916538000  999.663 0 49.9922  -  nan  0.0468512 0.0593193 -0.0170348  0.0468512 0.0593193 -0.0170348  0.00976425 0.0436349 10.3427  0.00976425 0.0436349 10.3427  - - -  - - -  74.2999 72.0385 67.5538 66.9679 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.921550000  999.66 0 49.9927  -  nan  0.103899 0.101123 -0.0173612  0.103899 0.101123 -0.0173612  -0.0318285 0.0932603 9.42038  -0.0318285 0.0932603 9.42038  - - -  - - -  74.3138 71.8497 67.2662 66.3467 - - - - 73.0353 - 68.2221 - - - - - 138 145 0 71 0 0 0 0
1699965395.926555000  999.661 0 49.9934  -  nan  0.0608606 0.0457466 -0.00270808  0.0608606 0.0457466 -0.00270808  0.104849 -0.0494414 10.4666  0.104849 -0.0494414 10.4666  - - -  - - -  74.5184 71.8697 67.1591 66.5025 - - - - - 71.286 - - - - - - 138 145 0 71 0 0 0 0
1699965395.931555000  999.655 0 49.992  -  nan  0.0187912 0.0453366 -0.0170516  0.0187912 0.0453366 -0.0170516  0.00896933 0.0431596 10.4574  0.00896933 0.0431596 10.4574  - - -  - - -  74.5008 71.8167 67.3038 66.5472 - - - - - - - 67.6407 - - - - 138 145 0 71 0 0 0 0
1699965395.936539000  999.651 0 49.992  -  nan  0.0606282 0.0872452 -0.00383035  0.0606282 0.0872452 -0.00383035  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  74.1607 72.0736 67.1634 65.9965 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.941544000  999.645 0 49.9945  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  0.110413 -0.0461145 9.6635  0.110413 -0.0461145 9.6635  - - -  - - -  74.5342 72.0816 66.9612 66.3636 - - - - 74.638 - 66.8807 - - - - - 138 145 0 71 0 0 0 0
1699965395.946537000  999.644 0 49.996  -  nan  -0.010488 0.0453668 -0.00369941  -0.010488 0.0453668 -0.00369941  -0.0381879 0.0894581 10.3382  -0.0381879 0.0894581 10.3382  - - -  - - -  74.4631 72.167 67.127 66.2025 - - - - - 71.5001 - - - - - - 138 145 0 71 0 0 0 0
1699965395.951559000  999.642 0 49.9954  -  nan  0.0185769 0.0593548 -0.00366859  0.0185769 0.0593548 -0.00366859  -0.0809668 0.048148 9.25261  -0.0809668 0.048148 9.25261  - - -  - - -  73.9565 72.6249 67.0361 65.2394 - - - - - - - 66.8807 - - - - 138 145 0 71 0 0 0 0
