# logged on Fri Jan  5 15:25:07 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704464707.975131000  1000.08 0 49.9917  -  nan  -0.0535236 0.00126539 -0.0471989  -0.0535236 0.00126539 -0.0471989  0.150405 -0.00332092 10.1903  0.150405 -0.00332092 10.1903  - - -  - - -  77.1678 66.6985 69.9782 62.3647 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.980126000  1000.08 0 49.9917  -  nan  -0.112821 0.0369473 0.0989925  -0.112821 0.0369473 0.0989925  -0.0661296 0.164937 8.29198  -0.0661296 0.164937 8.29198  - - -  - - -  77.3279 67.1051 69.2557 62.5594 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.985131000  1000.08 0 49.9935  -  nan  -0.0244754 0.030511 -0.046245  -0.0244754 0.030511 -0.046245  -0.492023 0.08961 10.69  -0.492023 0.08961 10.69  - - -  - - -  77.17 67.6527 69.1206 62.9731 - - - - - 67.8334 - - - - - - 139 146 0 71 0 0 0 0
1704464707.990130000  1000.09 0 49.9936  -  nan  -0.0248674 -0.0718726 -0.0698434  -0.0248674 -0.0718726 -0.0698434  0.101147 -0.0556715 10.5359  0.101147 -0.0556715 10.5359  - - -  - - -  76.8384 65.3227 70.2309 62.208 - - - - 77.0535 - - 62.822 - - - - 139 146 0 71 0 0 0 0
1704464707.995120000  1000.09 0 49.9923  -  nan  -0.111952 0.063103 0.0427655  -0.111952 0.063103 0.0427655  0.258348 0.217708 8.00394  0.258348 0.217708 8.00394  - - -  - - -  77.0117 65.0876 70.3791 62.3263 - - - - - - 69.6185 - - - - - 139 146 0 71 0 0 0 0
1704464708.000129000  1000.1 0 49.9923  -  nan  -0.0695059 -0.0515615 0.0497295  -0.0695059 -0.0515615 0.0497295  -0.58892 -0.0124666 11.0407  -0.58892 -0.0124666 11.0407  - - -  - - -  77.1269 66.7226 69.1421 63.0883 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464708.005140000  1000.1 0 49.9931  -  nan  -0.0108132 -0.0997595 -0.0542969  -0.0108132 -0.0997595 -0.0542969  0.00901476 -0.0556715 10.5352  0.00901476 -0.0556715 10.5352  - - -  - - -  76.1565 65.9743 69.7107 62.9402 - - - - - 66.6933 - - - - - - 138 145 0 70 0 0 0 0
1704464708.010138000  1000.11 0 49.9912  -  nan  -0.1273 0.0773551 0.0412103  -0.1273 0.0773551 0.0412103  0.168446 0.266809 8.05639  0.168446 0.266809 8.05639  - - -  - - -  77.1261 64.7015 70.2898 62.5739 - - - - 78.064 - 70.6514 62.9882 - - - - 138 145 0 70 0 0 0 0
1704464708.015131000  1000.11 0 49.9912  -  nan  -0.171693 0.0377564 0.10853  -0.171693 0.0377564 0.10853  -0.448623 -0.00576117 10.4143  -0.448623 -0.00576117 10.4143  - - -  - - -  77.6635 66.689 69.1351 63.0363 - - - - - - - - - - - - 138 145 0 70 0 0 0 0
1704464708.020125000  1000.12 0 49.9912  -  nan  -0.0389775 -0.0282485 -0.0723533  -0.0389775 -0.0282485 -0.0723533  0.0591041 -0.00148542 10.0179  0.0591041 -0.00148542 10.0179  - - -  - - -  76.8534 66.9641 68.8676 63.1701 - - - - - - - - - - - - 138 145 0 70 0 0 0 0
