# logged on Wed Nov 29 16:48:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701272931.407690000  1000.06 0 49.9998  -  nan  0.195075 0.101547 -0.00556083  0.195075 0.101547 -0.00556083  0.0128808 -0.0471412 9.73699  0.0128808 -0.0471412 9.73699  - - -  - - -  81.8553 81.7334 82.7622 78.0262 - - - - 81.5395 81.8197 - 78.5793 - - - - 138 146 134 71 0 0 0 0
1701272931.412700000  1000.07 0 49.9998  -  nan  0.194646 0.0158744 -0.017127  0.194646 0.0158744 -0.017127  0.187088 -0.300599 10.2174  0.187088 -0.300599 10.2174  - - -  - - -  82.3485 81.6233 82.3184 78.131 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.417701000  1000.07 0 49.9998  -  nan  0.223888 0.0724708 -0.0171277  0.223888 0.0724708 -0.0171277  -0.0348444 -0.0508016 10.0792  -0.0348444 -0.0508016 10.0792  - - -  - - -  81.9775 81.6866 82.4834 77.8627 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.422697000  1000.07 0 49.9998  -  nan  0.223787 0.0582889 -0.0166328  0.223787 0.0582889 -0.0166328  0.187641 -0.299379 10.1032  0.187641 -0.299379 10.1032  - - -  - - -  82.2169 81.7697 82.2199 77.6825 - - - - - - 82.672 - - - - - 138 146 134 71 0 0 0 0
1701272931.427691000  1000.07 0 49.9972  -  nan  0.194362 0.00126064 -0.00206062  0.194362 0.00126064 -0.00206062  0.143697 -0.248443 9.98421  0.143697 -0.248443 9.98421  - - -  - - -  82.1935 81.7222 82.0845 77.5127 - - - - 82.96 81.8197 - 76.8049 - - - - 138 146 134 71 0 0 0 0
1701272931.432697000  1000.08 0 49.9972  -  nan  0.268002 0.0728506 0.000447794  0.268002 0.0728506 0.000447794  0.0115906 -0.0962412 9.68387  0.0115906 -0.0962412 9.68387  - - -  - - -  82.0241 81.9024 82.0281 77.4046 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.437699000  1000.08 0 49.9972  -  nan  0.238726 -0.0137036 -0.0130622  0.238726 -0.0137036 -0.0130622  0.187088 -0.300599 10.2174  0.187088 -0.300599 10.2174  - - -  - - -  82.2471 81.5923 81.7511 77.7963 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.442700000  1000.09 0 49.9965  -  nan  0.253481 0.0587342 -4.68237e-05  0.253481 0.0587342 -4.68237e-05  -0.0824798 -0.100517 10.0833  -0.0824798 -0.100517 10.0833  - - -  - - -  81.7561 81.9157 82.106 77.2694 - - - - - - 82.1018 - - - - - 138 146 134 71 0 0 0 0
1701272931.447702000  1000.09 0 49.9938  -  nan  0.326274 -0.0141015 -0.00705398  0.326274 -0.0141015 -0.00705398  0.141854 -0.298763 10.0453  0.141854 -0.298763 10.0453  - - -  - - -  81.8718 82.0008 81.7482 77.2154 - - - - 81.8197 81.5395 - 76.558 - - - - 138 146 134 71 0 0 0 0
1701272931.452702000  1000.09 0 49.9938  -  nan  0.23845 -0.0273044 0.00196881  0.23845 -0.0273044 0.00196881  0.101412 -0.193847 9.52272  0.101412 -0.193847 9.52272  - - -  - - -  81.3448 81.767 82.1473 77.4083 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.457692000  1000.09 0 49.9938  -  nan  0.29674 0.0585376 0.00292196  0.29674 0.0585376 0.00292196  -0.0344757 -0.0962412 9.68353  -0.0344757 -0.0962412 9.68353  - - -  - - -  81.1063 82.3662 82.2382 77.0004 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701272931.462678000  1000.08 0 49.9925  15.06  nan  0.311343 -0.0859582 -0.00553333  0.311343 -0.0859582 -0.00553333  0.140006 -0.349094 10.1073  0.140006 -0.349094 10.1073  - - -  - - -  81.3154 82.3454 81.9154 77.1493 - - - - - - 81.5395 - - - - - 138 146 134 71 0 0 0 0
1701272931.467695000  1000.07 0 49.9936  -  nan  0.296375 0.0307162 0.0174789  0.296375 0.0307162 0.0174789  -0.128343 -0.148397 9.91568  -0.128343 -0.148397 9.91568  - - -  - - -  80.5076 82.4375 82.5486 76.9524 - - - - 80.9848 82.672 - 77.5555 - - - - 138 146 134 71 0 0 0 0
