# logged on Thu Dec 21 17:04:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174643.617786000  1000.2 0 50.0029  -  nan  -0.0107756 -0.0708535 -0.0417198  -0.0107756 -0.0708535 -0.0417198  -0.27503 -0.352139 10.3892  -0.27503 -0.352139 10.3892  - - -  - - -  77.8857 70.2685 69.9103 65.3355 - - - - - 67.2585 - - - - - - 139 0 133 70 0 0 0 0
1703174643.622795000  1000.2 0 50.0027  -  nan  0.0504173 0.111435 -0.140134  0.0504173 0.111435 -0.140134  0.437982 0.117058 8.12839  0.437982 0.117058 8.12839  - - -  - - -  76.8761 68.5373 71.4582 65.9349 - - - - - - - 66.1376 - - - - 139 0 133 70 0 0 0 0
1703174643.627789000  1000.2 0 50.0024  -  nan  -0.184285 0.222546 0.0593654  -0.184285 0.222546 0.0593654  -0.201743 0.445144 9.86169  -0.201743 0.445144 9.86169  - - -  - - -  79.3374 67.3324 71.7418 66.3692 - - - - 78.064 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.632787000  1000.2 0 50.0011  -  nan  0.0341887 0.000325176 -0.0547576  0.0341887 0.000325176 -0.0547576  -0.184557 -0.355799 10.7324  -0.184557 -0.355799 10.7324  - - -  - - -  78.6368 69.1846 70.1696 66.1692 - - - - - - 70.6514 - - - - - 139 0 133 70 0 0 0 0
1703174643.637796000  1000.2 0 50  -  nan  0.0361432 0.155601 -0.129077  0.0361432 0.155601 -0.129077  0.343912 0.112782 8.52781  0.343912 0.112782 8.52781  - - -  - - -  78.4685 66.9113 71.8011 66.6411 - - - - - 69.4155 - - - - - - 139 0 133 70 0 0 0 0
1703174643.642792000  1000.2 0 49.999  -  nan  -0.126386 0.206005 0.0367201  -0.126386 0.206005 0.0367201  -0.256629 0.287867 10.7305  -0.256629 0.287867 10.7305  - - -  - - -  80.1334 66.367 71.8804 66.8616 - - - - - - - 65.0533 - - - - 139 0 133 70 0 0 0 0
1703174643.647788000  1000.2 0 49.999  -  nan  0.0200785 0.0439493 -0.0572675  0.0200785 0.0439493 -0.0572675  -0.225637 -0.206038 10.6611  -0.225637 -0.206038 10.6611  - - -  - - -  79.2965 67.9279 70.4101 66.8632 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.652789000  1000.2 0 49.9983  -  nan  0.0210111 0.127956 -0.0873713  0.0210111 0.127956 -0.0873713  0.338751 0.0551409 9.2739  0.338751 0.0551409 9.2739  - - -  - - -  78.8496 66.2869 71.5812 67.1988 - - - - 78.8395 - 70.8617 - - - - - 139 0 133 70 0 0 0 0
1703174643.657795000  1000.21 0 49.9985  -  nan  -0.1111 0.206477 0.0513474  -0.1111 0.206477 0.0513474  -0.118619 0.241196 10.451  -0.118619 0.241196 10.451  - - -  - - -  79.7974 66.1728 71.5705 67.1468 - - - - - 69.2137 - - - - - - 139 0 133 70 0 0 0 0
1703174643.662788000  1000.22 0 49.9966  -  nan  -0.0532772 0.0595481 -0.0356471  -0.0532772 0.0595481 -0.0356471  -0.496113 -0.0562869 10.5891  -0.496113 -0.0562869 10.5891  - - -  - - -  79.4616 67.5961 70.3208 67.1693 - - - - - - - 66.8807 - - - - 139 0 133 70 0 0 0 0
1703174643.667788000  1000.22 0 49.997  -  nan  -0.00908578 0.070783 -0.101977  -0.00908578 0.070783 -0.101977  0.329499 -0.148397 9.91903  0.329499 -0.148397 9.91903  - - -  - - -  78.5865 66.9321 71.2525 67.2478 - - - - 79.3651 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.672790000  1000.22 0 49.9963  -  nan  -0.184166 0.192085 0.0332567  -0.184166 0.192085 0.0332567  -0.161547 0.340627 10.4417  -0.161547 0.340627 10.4417  - - -  - - -  79.2453 66.3353 71.6794 66.9776 - - - - - - 70.6514 - - - - - 139 0 133 70 0 0 0 0
1703174643.677790000  1000.22 0 49.9976  -  nan  -0.0828666 0.00306218 -0.007508  -0.0828666 0.00306218 -0.007508  -0.449607 -0.0532418 10.3045  -0.449607 -0.0532418 10.3045  - - -  - - -  78.858 68.0618 70.3853 66.8286 - - - - - 65.2316 - - - - - - 139 0 133 70 0 0 0 0
1703174643.682789000  1000.22 0 49.9949  -  nan  -0.0522818 0.0562555 -0.118018  -0.0522818 0.0562555 -0.118018  0.382174 0.00399984 9.50695  0.382174 0.00399984 9.50695  - - -  - - -  77.8427 67.1779 71.8994 66.9671 - - - - - - - 66.6933 - - - - 139 0 133 70 0 0 0 0
1703174643.687789000  1000.22 0 49.9944  -  nan  -0.2279 0.175935 -0.0235558  -0.2279 0.175935 -0.0235558  -0.156139 0.397869 9.63815  -0.156139 0.397869 9.63815  - - -  - - -  78.5069 65.8667 72.8029 66.8265 - - - - 79.6305 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.692788000  1000.22 0 49.9957  -  nan  -0.184651 0.0765325 0.0101179  -0.184651 0.0765325 0.0101179  -0.44874 0.0392899 10.7514  -0.44874 0.0392899 10.7514  - - -  - - -  78.6172 68.1025 71.4434 66.1264 - - - - - 67.2585 71.5001 - - - - - 139 0 133 70 0 0 0 0
1703174643.697788000  1000.22 0 49.9957  -  nan  -0.139692 0.0997413 -0.111944  -0.139692 0.0997413 -0.111944  0.379962 -0.000880666 9.96364  0.379962 -0.000880666 9.96364  - - -  - - -  77.6637 67.4304 72.3102 66.2202 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.702817000  1000.22 0 49.9941  -  nan  -0.301949 0.164797 0.0397555  -0.301949 0.164797 0.0397555  -0.297813 0.344892 10.0416  -0.297813 0.344892 10.0416  - - -  - - -  78.694 66.6761 72.5641 65.7707 - - - - - - - 66.1376 - - - - 139 0 133 70 0 0 0 0
1703174643.707821000  1000.22 0 49.9947  -  nan  -0.184331 0.00185989 -0.0561759  -0.184331 0.00185989 -0.0561759  -0.172225 -0.00576117 10.4163  -0.172225 -0.00576117 10.4163  - - -  - - -  78.3145 68.717 71.4854 65.1967 - - - - 79.6305 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.712789000  1000.23 0 49.9958  -  nan  -0.183089 0.129425 -0.0878001  -0.183089 0.129425 -0.0878001  0.0603623 0.0466 10.0711  0.0603623 0.0466 10.0711  - - -  - - -  77.6229 67.9529 72.4634 65.3273 - - - - - 68.6153 71.9321 - - - - - 139 0 133 70 0 0 0 0
1703174643.717804000  1000.23 0 49.9958  -  nan  -0.330397 0.14912 -0.00242969  -0.330397 0.14912 -0.00242969  -0.163027 0.244857 10.1081  -0.163027 0.244857 10.1081  - - -  - - -  78.3567 67.7454 72.2528 64.7237 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.722789000  1000.22 0 49.9952  -  nan  -0.242327 0.102413 -0.0637052  -0.242327 0.102413 -0.0637052  -0.123516 0.0453799 10.1839  -0.123516 0.0453799 10.1839  - - -  - - -  78.1498 69.0109 71.4413 64.4107 - - - - - - - 66.6933 - - - - 139 0 133 70 0 0 0 0
1703174643.727789000  1000.22 0 49.9947  -  nan  -0.213178 0.14584 -0.0632463  -0.213178 0.14584 -0.0632463  -0.0781106 0.0459952 10.1267  -0.0781106 0.0459952 10.1267  - - -  - - -  77.999 68.1937 72.1903 64.4006 - - - - 78.8395 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.732786000  1000.22 0 49.9977  -  nan  -0.301066 0.147362 -0.0411515  -0.301066 0.147362 -0.0411515  0.202342 0.101196 9.61095  0.202342 0.101196 9.61095  - - -  - - -  78.1844 68.0109 72.099 64.3265 - - - - - 68.2221 71.5001 - - - - - 139 0 133 70 0 0 0 0
1703174643.737797000  1000.22 0 49.9977  -  nan  -0.272454 0.162497 -0.0125333  -0.272454 0.162497 -0.0125333  -0.395116 0.148471 9.83046  -0.395116 0.148471 9.83046  - - -  - - -  78.4312 68.4818 71.6417 64.2885 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.742788000  1000.22 0 49.9979  -  nan  -0.198703 0.130038 -0.0752933  -0.198703 0.130038 -0.0752933  0.236369 -0.152673 10.3185  0.236369 -0.152673 10.3185  - - -  - - -  78.1486 68.489 71.7834 64.5808 - - - - - - - 65.0533 - - - - 139 0 133 70 0 0 0 0
1703174643.747787000  1000.22 0 49.9981  -  nan  -0.22715 0.232552 -0.0536741  -0.22715 0.232552 -0.0536741  0.295638 0.107912 8.98317  0.295638 0.107912 8.98317  - - -  - - -  78.3507 67.5985 71.9888 64.6681 - - - - 77.0535 - - - - - - - 139 0 133 70 0 0 0 0
