# logged on Thu Dec 21 15:55:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170553.725872000  1000.74 0 50.0051  -  nan  0.0773094 -0.0429593 -0.0638709  0.0773094 -0.0429593 -0.0638709  -0.257655 0.100591 9.66418  -0.257655 0.100591 9.66418  - - -  - - -  74.0469 67.9803 68.4098 64.3393 - - - - - - - 62.6566 - - - - 139 146 134 71 0 0 0 0
1703170553.730866000  1000.74 0 50.0056  -  nan  0.0340247 0.000867501 -0.0411906  0.0340247 0.000867501 -0.0411906  0.106429 0.0466 10.0714  0.106429 0.0466 10.0714  - - -  - - -  74.1487 67.3263 69.0161 64.2684 - - - - - 68.6153 - - - - - - 139 146 134 71 0 0 0 0
1703170553.735868000  1000.75 0 50.005  -  nan  0.00426326 0.0161981 -0.0437708  0.00426326 0.0161981 -0.0437708  0.107778 -0.0410406 9.1668  0.107778 -0.0410406 9.1668  - - -  - - -  74.4932 67.4375 68.6468 64.1878 - - - - - - 67.8334 - - - - - 139 146 134 71 0 0 0 0
1703170553.740873000  1000.76 0 50.0065  -  nan  0.03376 -0.012772 -0.0271286  0.03376 -0.012772 -0.0271286  -0.484739 0.198186 9.82532  -0.484739 0.198186 9.82532  - - -  - - -  74.9405 67.5316 68.553 64.5132 - - - - 74.173 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.745873000  1000.76 0 50.0069  -  nan  0.0342891 -0.058068 -0.0944477  0.0342891 -0.058068 -0.0944477  0.233883 -0.158158 10.8317  0.233883 -0.158158 10.8317  - - -  - - -  74.2783 67.3877 69.1563 64.0863 - - - - - - - 65.2316 - - - - 139 146 134 71 0 0 0 0
1703170553.750867000  1000.76 0 50.0062  -  nan  -0.0241099 0.0583324 -0.0608019  -0.0241099 0.0583324 -0.0608019  0.251982 0.0649019 8.35985  0.251982 0.0649019 8.35985  - - -  - - -  74.8381 66.6704 69.3742 63.8115 - - - - - 67.6407 - - - - - - 139 146 134 71 0 0 0 0
1703170553.755873000  1000.75 0 50.0066  -  nan  -0.0398274 0.0191451 0.0220644  -0.0398274 0.0191451 0.0220644  -0.711865 0.389328 10.4333  -0.711865 0.389328 10.4333  - - -  - - -  75.4913 67.636 68.7974 64.0898 - - - - - - 68.8137 - - - - - 139 146 134 71 0 0 0 0
1703170553.760871000  1000.74 0 50.0082  -  nan  0.0342443 -0.087987 -0.106989  0.0342443 -0.087987 -0.106989  0.318988 -0.310349 11.1307  0.318988 -0.310349 11.1307  - - -  - - -  74.4063 68.1831 68.7815 64.0382 - - - - 75.3466 - - 64.5245 - - - - 139 146 134 71 0 0 0 0
1703170553.765876000  1000.74 0 50.0084  -  nan  -0.067533 0.0590714 -0.0502037  -0.067533 0.0590714 -0.0502037  0.260102 0.314084 8.28094  0.260102 0.314084 8.28094  - - -  - - -  74.7081 66.5622 69.5665 63.9666 - - - - - 65.9544 - - - - - - 139 146 134 71 0 0 0 0
1703170553.770868000  1000.74 0 50.0084  -  nan  -0.128139 0.00651741 0.0708545  -0.128139 0.00651741 0.0708545  -0.668163 0.338802 10.6088  -0.668163 0.338802 10.6088  - - -  - - -  75.2237 68.3932 68.7041 63.9117 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
