# logged on Fri Dec  1 17:38:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701448681.866263000  1000.09 0 49.9925  -  nan  -0.199325 0.162165 -0.00751462  -0.199325 0.162165 -0.00751462  0.156739 0.148471 9.83449  0.156739 0.148471 9.83449  - - -  - - -  71.8874 66.0877 73.1525 72.0822 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.871251000  1000.09 0 49.9922  -  nan  -0.256903 0.176609 -0.011968  -0.256903 0.176609 -0.011968  0.112058 0.151527 9.54823  0.112058 0.151527 9.54823  - - -  - - -  71.7267 65.9928 73.0791 71.9392 - - - - - - 73.0353 - - - - - 138 146 0 70 0 0 0 0
1701448681.876250000  1000.08 0 49.9936  -  nan  -0.227754 0.220036 -0.0115091  -0.227754 0.220036 -0.0115091  0.021031 0.153967 9.31921  0.021031 0.153967 9.31921  - - -  - - -  71.8884 66.2809 72.9768 71.5679 - - - - 71.0732 66.507 - 72.3694 - - - - 138 146 0 70 0 0 0 0
1701448681.881263000  1000.08 0 49.9936  -  nan  -0.213543 0.190594 -0.00949417  -0.213543 0.190594 -0.00949417  0.202252 0.147251 9.949  0.202252 0.147251 9.949  - - -  - - -  71.996 66.1569 72.8825 71.6667 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.886263000  1000.08 0 49.9936  -  nan  -0.272006 0.249143 -0.00197151  -0.272006 0.249143 -0.00197151  0.111869 0.104856 9.26776  0.111869 0.104856 9.26776  - - -  - - -  71.6228 65.6444 73.0184 71.7605 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.891250000  1000.08 0 49.9923  -  nan  -0.256355 0.277437 -0.00190119  -0.256355 0.277437 -0.00190119  0.021031 0.153967 9.31921  0.021031 0.153967 9.31921  - - -  - - -  71.7362 65.9786 72.7536 71.7287 - - - - - - 73.4862 - - - - - 138 146 0 70 0 0 0 0
1701448681.896288000  1000.08 0 49.9909  -  nan  -0.242073 0.234283 -0.0129937  -0.242073 0.234283 -0.0129937  0.200409 0.0969308 10.0101  0.200409 0.0969308 10.0101  - - -  - - -  71.925 65.8937 72.5684 71.9013 - - - - 71.0732 65.7722 - 72.1501 - - - - 138 146 0 70 0 0 0 0
1701448681.901286000  1000.08 0 49.9909  -  nan  -0.286224 0.277573 -0.00395106  -0.286224 0.277573 -0.00395106  0.114269 0.156407 9.09154  0.114269 0.156407 9.09154  - - -  - - -  71.4134 65.3762 72.6166 72.094 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.906250000  1000.08 0 49.9909  -  nan  -0.25578 0.334635 -0.0174835  -0.25578 0.334635 -0.0174835  0.0666341 0.106692 9.09567  0.0666341 0.106692 9.09567  - - -  - - -  71.7619 65.5895 72.3818 72.0307 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.911253000  1000.08 0 49.9909  -  nan  -0.256191 0.276895 -0.0154682  -0.256191 0.276895 -0.0154682  0.200409 0.0969308 10.0101  0.200409 0.0969308 10.0101  - - -  - - -  71.923 65.2302 72.285 72.3543 - - - - - - 72.812 - - - - - 138 146 0 70 0 0 0 0
