# logged on Tue Jan  9 15:09:42 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704809382.676147000  1000.94 0 49.9984  -  nan  -0.00819077 0.125884 -0.144658  -0.00819077 0.125884 -0.144658  0.443795 0.268644 7.88665  0.443795 0.268644 7.88665  - - -  - - -  74.2814 62.123 72.7611 66.6464 - - - - - - - 65.0533 - - - - 139 146 134 70 0 0 0 0
1704809382.681153000  1000.95 0 49.9978  -  nan  -0.200939 0.196533 0.141701  -0.200939 0.196533 0.141701  -0.585261 0.0871698 10.9177  -0.585261 0.0871698 10.9177  - - -  - - -  77.1216 60.3654 73.2875 66.171 - - - - 74.8727 63.3232 - - - - - - 139 146 134 70 0 0 0 0
1704809382.686146000  1000.94 0 49.998  -  nan  -0.0546574 -0.0385298 0.0230901  -0.0546574 -0.0385298 0.0230901  -0.0376045 -0.0568916 10.649  -0.0376045 -0.0568916 10.649  - - -  - - -  75.315 62.4122 71.6486 66.3813 - - - - - - 72.3694 - - - - - 139 146 134 70 0 0 0 0
1704809382.691157000  1000.95 0 49.998  -  nan  -0.0652129 0.242169 -0.13908  -0.0652129 0.242169 -0.13908  0.303838 0.172258 7.60963  0.303838 0.172258 7.60963  - - -  - - -  74.3171 60.57 72.7784 67.1105 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.696148000  1000.94 0 49.9972  -  nan  -0.156587 0.181607 0.131669  -0.156587 0.181607 0.131669  -0.449846 0.0368496 10.9798  -0.449846 0.0368496 10.9798  - - -  - - -  76.842 59.514 73.1437 66.3396 - - - - - - - 65.4108 - - - - 139 146 134 70 0 0 0 0
1704809382.701151000  1000.95 0 49.9967  -  nan  -0.0819151 0.0880429 -0.0386163  -0.0819151 0.0880429 -0.0386163  0.0615675 0.141766 10.4613  0.0615675 0.141766 10.4613  - - -  - - -  75.19 61.2251 71.3728 67.0475 - - - - 75.1089 60.584 - - - - - - 139 146 134 70 0 0 0 0
1704809382.706144000  1000.94 0 49.9961  -  nan  -0.124015 0.301842 -0.103454  -0.124015 0.301842 -0.103454  0.164107 0.0722227 7.67416  0.164107 0.0722227 7.67416  - - -  - - -  75.4496 59.3036 72.4103 66.6478 - - - - - - 72.812 - - - - - 139 146 134 70 0 0 0 0
1704809382.711155000  1000.95 0 49.9961  -  nan  -0.185489 0.196462 0.142762  -0.185489 0.196462 0.142762  -0.215823 0.137501 10.8584  -0.215823 0.137501 10.8584  - - -  - - -  77.363 59.366 72.2189 66.3456 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.716149000  1000.94 0 49.9965  -  nan  -0.154331 0.188661 -0.0471352  -0.154331 0.188661 -0.0471352  -0.0280696 0.286031 10.9039  -0.0280696 0.286031 10.9039  - - -  - - -  75.3157 60.5544 70.9503 67.3894 - - - - - - - 67.6407 - - - - 139 146 134 70 0 0 0 0
1704809382.721152000  1000.95 0 49.9962  -  nan  -0.198184 0.275548 -0.0386438  -0.198184 0.275548 -0.0386438  0.158821 -0.0300594 8.13959  0.158821 -0.0300594 8.13959  - - -  - - -  75.081 59.3309 71.6078 66.5885 - - - - 76.8049 60.2773 - - - - - - 139 146 134 70 0 0 0 0
1704809382.726145000  1000.94 0 49.9966  -  nan  -0.243296 0.252843 0.0960164  -0.243296 0.252843 0.0960164  -0.0676893 0.254002 9.25302  -0.0676893 0.254002 9.25302  - - -  - - -  76.1376 59.7752 71.5337 66.6616 - - - - - - 73.4862 - - - - - 139 146 134 70 0 0 0 0
1704809382.731154000  1000.95 0 49.9966  -  nan  -0.256493 0.234349 -0.0139832  -0.256493 0.234349 -0.0139832  -0.212037 0.330866 11.3548  -0.212037 0.330866 11.3548  - - -  - - -  75.1862 60.9048 70.9702 67.3494 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.736150000  1000.94 0 49.9959  -  nan  -0.271678 0.248059 -0.0291055  -0.271678 0.248059 -0.0291055  0.248629 -0.0331151 8.42619  0.248629 -0.0331151 8.42619  - - -  - - -  74.769 59.9691 71.2698 66.073 - - - - - - - 67.0691 - - - - 139 146 134 70 0 0 0 0
1704809382.741151000  1000.95 0 49.9959  -  nan  -0.345216 0.308843 0.0316955  -0.345216 0.308843 0.0316955  0.0352013 0.415555 7.98449  0.0352013 0.415555 7.98449  - - -  - - -  75.562 59.9039 71.5864 66.2041 - - - - 75.5858 60.7386 - - - - - - 139 146 134 70 0 0 0 0
1704809382.746145000  1000.94 0 49.9953  -  nan  -0.345563 0.236379 0.0206388  -0.345563 0.236379 0.0206388  -0.403397 0.26896 12.4986  -0.403397 0.26896 12.4986  - - -  - - -  75.5826 61.215 71.4448 66.3856 - - - - - - 71.9321 - - - - - 139 146 134 70 0 0 0 0
1704809382.751157000  1000.95 0 49.9953  -  nan  -0.329118 0.233016 -0.060672  -0.329118 0.233016 -0.060672  0.387546 -0.0294547 8.08467  0.387546 -0.0294547 8.08467  - - -  - - -  74.1747 60.4976 71.5961 65.336 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.756150000  1000.94 0 49.9958  -  nan  -0.417934 0.366916 0.0246616  -0.417934 0.366916 0.0246616  -0.00579372 0.519251 7.57612  -0.00579372 0.519251 7.57612  - - -  - - -  75.1487 60.2677 72.4232 65.2395 - - - - - - - 66.507 - - - - 139 146 134 70 0 0 0 0
