# logged on Tue Nov 14 14:33:39 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699968819.512793000  1000.36 0 50.0026  -  nan  0.00356258 0.0729221 -0.0180092  0.00356258 0.0729221 -0.0180092  -0.0809668 0.048148 9.25261  -0.0809668 0.048148 9.25261  - - -  - - -  76.7133 75.1259 67.4543 63.5061 - - - - - - - 65.591 - - - - 139 146 0 71 0 0 0 0
1699968819.517781000  1000.36 0 50.0023  -  nan  0.0906017 -0.0108016 -0.029277  0.0906017 -0.0108016 -0.029277  0.012543 0.0452963 9.94167  0.012543 0.0452963 9.94167  - - -  - - -  77.1566 74.9708 67.2533 63.8079 - - - - - - 67.2585 - - - - - 139 146 0 71 0 0 0 0
1699968819.522775000  1000.36 0 50.0021  -  nan  -0.0383101 -0.0111025 -0.00256728  -0.0383101 -0.0111025 -0.00256728  0.107234 -0.0480156 10.1224  0.107234 -0.0480156 10.1224  - - -  - - -  76.7433 74.0957 67.9375 64.2541 - - - - 76.0688 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.527783000  1000.36 0 50.0019  -  nan  0.0184994 0.0731877 -0.00404268  0.0184994 0.0731877 -0.00404268  0.0181061 0.0937356 9.306  0.0181061 0.0937356 9.306  - - -  - - -  76.7117 74.8528 67.5033 63.7003 - - - - - 75.5858 - - - - - - 139 146 0 71 0 0 0 0
1699968819.532775000  1000.36 0 50.0007  -  nan  0.0901579 0.018236 -0.00155499  0.0901579 0.018236 -0.00155499  -0.0361957 0.045536 9.88346  -0.0361957 0.045536 9.88346  - - -  - - -  77.0116 74.8582 67.0992 64.0984 - - - - - - - 64.8761 - - - - 139 146 0 71 0 0 0 0
1699968819.537781000  1000.36 0 49.9996  -  nan  -0.0243007 -0.0246752 0.0117594  -0.0243007 -0.0246752 0.0117594  0.106439 -0.0484909 10.2371  0.106439 -0.0484909 10.2371  - - -  - - -  76.9078 74.5336 67.1147 64.6328 - - - - - - 66.6933 - - - - - 139 146 0 71 0 0 0 0
1699968819.542777000  1000.36 0 50.0007  -  nan  0.0181484 0.0873911 0.0230975  0.0181484 0.0873911 0.0230975  0.0656559 0.0927851 9.5358  0.0656559 0.0927851 9.5358  - - -  - - -  76.4339 74.9782 67.1663 64.1708 - - - - 76.558 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.547779000  1000.36 0 50.0014  -  nan  0.0747151 0.0598396 0.0108704  0.0747151 0.0598396 0.0108704  -0.0817534 0.00256451 9.19893  -0.0817534 0.00256451 9.19893  - - -  - - -  77.0582 75.1913 66.4897 64.3031 - - - - - 74.173 - 63.6618 - - - - 139 146 0 71 0 0 0 0
1699968819.552782000  1000.37 0 50.0014  -  nan  0.00407474 -0.0670121 0.0132993  0.00407474 -0.0670121 0.0132993  0.106833 -0.0482553 10.1803  0.106833 -0.0482553 10.1803  - - -  - - -  77.1532 74.861 66.5289 64.8975 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1699968819.557795000  1000.39 0 50.0013  -  nan  0.0184401 0.0595401 0.0100885  0.0184401 0.0595401 0.0100885  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  76.3898 74.9722 67.154 64.5452 - - - - - - 66.8807 - - - - - 139 146 0 71 0 0 0 0
1699968819.562801000  1000.4 0 50.0032  -  nan  0.0900623 0.0595493 -0.0164344  0.0900623 0.0595493 -0.0164344  -0.0813594 0.00280009 9.14207  -0.0813594 0.00280009 9.14207  - - -  - - -  76.946 75.1373 66.5678 64.3756 - - - - 77.8089 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.567797000  1000.41 0 50.0049  -  nan  0.0337147 -0.0812589 -0.0281757  0.0337147 -0.0812589 -0.0281757  0.107234 -0.0480156 10.1224  0.107234 -0.0480156 10.1224  - - -  - - -  77.2795 74.5847 66.8093 64.849 - - - - - 74.638 - - - - - - 139 146 0 71 0 0 0 0
