# logged on Tue Dec  5 10:59:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770382.599015000  1000.36 0 50.0012  -  nan  -0.0118911 -0.155292 0.00295545  -0.0118911 -0.155292 0.00295545  0.113438 0.154572 9.26329  0.113438 0.154572 9.26329  - - -  - - -  69.6407 67.9788 73.23 70.628 - - - - 70.028 68.8137 71.7154 70.8617 - - - - 139 146 0 70 0 0 0 0
1701770382.604068000  1000.37 0 50.0012  -  nan  -0.0550494 -0.140913 -0.000508314  -0.0550494 -0.140913 -0.000508314  0.106339 0.092655 10.4095  0.106339 0.092655 10.4095  - - -  - - -  69.812 68.4366 73.1177 70.5091 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.609035000  1000.37 0 50.0012  -  nan  -0.0406673 -0.169885 -0.0120958  -0.0406673 -0.169885 -0.0120958  0.199667 0.0490403 9.84376  0.199667 0.0490403 9.84376  - - -  - - -  69.7471 68.6843 72.7313 69.7136 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.614049000  1000.36 0 50.0012  -  nan  -0.0978983 -0.0829764 -0.00549237  -0.0978983 -0.0829764 -0.00549237  0.115007 0.204287 9.25883  0.115007 0.204287 9.25883  - - -  - - -  69.5668 68.3489 72.9562 69.6962 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.619045000  1000.36 0 49.9972  -  nan  -0.142515 -0.0816905 0.0186021  -0.142515 -0.0816905 0.0186021  0.154064 0.0963154 10.0673  0.154064 0.0963154 10.0673  - - -  - - -  69.7559 68.6149 72.7932 69.5833 - - - - 70.6514 67.6407 73.0353 69.4155 - - - - 139 146 0 70 0 0 0 0
1701770382.624052000  1000.36 0 49.9972  -  nan  -0.127868 -0.0970225 -0.00704727  -0.127868 -0.0970225 -0.00704727  0.156002 0.100591 9.6672  0.156002 0.100591 9.6672  - - -  - - -  69.7451 69.0117 72.2416 69.3676 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.629054000  1000.36 0 49.9972  -  nan  -0.156033 -0.0255115 -0.0251037  -0.156033 -0.0255115 -0.0251037  0.118235 0.257663 8.91185  0.118235 0.257663 8.91185  - - -  - - -  69.4472 68.7388 72.3412 68.8522 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.633984000  1000.36 0 49.9972  -  nan  -0.200486 -0.0247679 -0.0145762  -0.200486 -0.0247679 -0.0145762  0.201425 0.145426 10.1198  0.201425 0.145426 10.1198  - - -  - - -  69.6908 68.731 72.2961 68.8278 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.639049000  1000.36 0 49.993  -  nan  -0.185346 -0.0683967 -0.0119956  -0.185346 -0.0683967 -0.0119956  0.200683 0.0975355 9.95347  0.200683 0.0975355 9.95347  - - -  - - -  69.8225 68.6633 72.1367 68.3607 - - - - 68.2221 68.2221 72.812 - - - - - 139 146 0 70 0 0 0 0
1701770382.643976000  1000.35 0 49.993  -  nan  -0.184563 0.0181781 -0.0286032  -0.184563 0.0181781 -0.0286032  0.211194 0.259488 8.74176  0.211194 0.259488 8.74176  - - -  - - -  69.3993 68.4168 72.2717 67.9373 - - - - - - - 68.8137 - - - - 139 146 0 70 0 0 0 0
