# logged on Tue Nov 14 13:17:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699964228.998941000  1000.1 0 50.0115  -  nan  0.0190472 -0.0246305 -0.00139733  0.0190472 -0.0246305 -0.00139733  0.0640359 -0.0905159 9.09378  0.0640359 -0.0905159 9.09378  - - -  - - -  70.7131 71.1908 69.1219 66.1562 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964229.003932000  1000.11 0 50.0115  -  nan  0.0328243 0.00329542 0.0118071  0.0328243 0.00329542 0.0118071  0.00221735 -0.00599057 11.2647  0.00221735 -0.00599057 11.2647  - - -  - - -  70.6066 71.6828 69.167 65.9401 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964229.008937000  1000.1 0 50.0113  -  nan  0.146457 -0.00993295 0.0137589  0.146457 -0.00993295 0.0137589  -0.125531 0.0953971 8.90392  -0.125531 0.0953971 8.90392  - - -  - - -  70.2895 71.08 68.7575 66.1811 - - - - - - 69.2137 - - - - - 139 145 134 71 0 0 0 0
1699964229.013932000  1000.11 0 50.0115  -  nan  0.0472029 -0.0519612 0.0134989  0.0472029 -0.0519612 0.0134989  0.0620451 -0.0917062 9.38109  0.0620451 -0.0917062 9.38109  - - -  - - -  70.4162 70.6868 69.1332 66.9282 - - - - 70.4424 71.9321 - 66.507 - - - - 139 145 134 71 0 0 0 0
1699964229.018943000  1000.1 0 50.0115  -  nan  0.0609617 0.00344521 0.012198  0.0609617 0.00344521 0.012198  0.00380718 -0.00504001 11.0352  0.00380718 -0.00504001 11.0352  - - -  - - -  70.1728 71.0996 69.0473 66.7297 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964229.023932000  1000.11 0 50.0115  -  nan  0.17595 -0.0239812 -0.0129763  0.17595 -0.0239812 -0.0129763  -0.079377 0.0490986 9.02316  -0.079377 0.0490986 9.02316  - - -  - - -  70.1636 70.6267 68.6853 66.8119 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964229.028938000  1000.1 0 50.0123  -  nan  0.0754771 -0.0519966 0.000132739  0.0754771 -0.0519966 0.000132739  0.0624625 -0.0454036 9.49156  0.0624625 -0.0454036 9.49156  - - -  - - -  70.3059 70.0204 69.3045 67.4342 - - - - - - 68.4182 - - - - - 139 145 134 71 0 0 0 0
1699964229.033931000  1000.11 0 50.0133  -  nan  0.0610155 0.0180809 -0.0019599  0.0610155 0.0180809 -0.0019599  -0.0433417 -0.00384973 10.7476  -0.0433417 -0.00384973 10.7476  - - -  - - -  70.245 70.3254 69.2109 66.9042 - - - - 70.4424 69.6185 - 67.0691 - - - - 139 145 134 71 0 0 0 0
1699964229.038941000  1000.1 0 50.0133  -  nan  0.161804 -0.0102232 -0.0135459  0.161804 -0.0102232 -0.0135459  -0.0290498 0.0949218 9.01934  -0.0290498 0.0949218 9.01934  - - -  - - -  70.4664 70.1669 68.8878 66.7411 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964229.043932000  1000.11 0 50.0133  -  nan  0.0753997 -0.0381638 -0.00024135  0.0753997 -0.0381638 -0.00024135  0.0612502 -0.0921815 9.49582  0.0612502 -0.0921815 9.49582  - - -  - - -  70.6411 69.7586 69.3757 67.1918 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
