# logged on Fri Dec  1 17:29:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701448161.861043000  999.137 0 49.9996  -  nan  -0.359207 0.322006 0.00307698  -0.359207 0.322006 0.00307698  0.156739 0.148471 9.83449  0.156739 0.148471 9.83449  - - -  - - -  71.9386 64.352 71.1704 71.5354 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.866026000  999.136 0 50.0006  -  nan  -0.344686 0.336122 0.00357159  -0.344686 0.336122 0.00357159  0.113991 0.155792 9.14912  0.113991 0.155792 9.14912  - - -  - - -  71.7388 64.5779 70.823 71.1352 - - - - - 63.8325 - - - - - - 139 0 0 70 0 0 0 0
1701448161.871028000  999.138 0 49.9997  16.189  nan  -0.388046 0.322137 0.00109778  -0.388046 0.322137 0.00109778  0.113438 0.154572 9.26329  0.113438 0.154572 9.26329  - - -  - - -  71.5705 64.5715 70.7261 71.5805 - - - - - - 71.5001 70.6514 - - - - 139 0 0 70 0 0 0 0
1701448161.876008000  999.136 0 49.9997  -  nan  -0.432134 0.350702 -0.00293164  -0.432134 0.350702 -0.00293164  0.15508 0.144811 10.177  0.15508 0.144811 10.177  - - -  - - -  71.1992 64.8541 70.9767 71.4072 - - - - 72.812 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.881028000  999.136 0 49.9997  -  nan  -0.401892 0.379401 -0.0154741  -0.401892 0.379401 -0.0154741  0.115924 0.160057 8.75002  0.115924 0.160057 8.75002  - - -  - - -  70.9079 64.9691 70.8406 71.1139 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.886032000  999.137 0 50.0018  -  nan  -0.431862 0.365355 -0.017029  -0.431862 0.365355 -0.017029  0.114733 0.203682 9.31542  0.114733 0.203682 9.31542  - - -  - - -  71.2179 64.7567 70.9903 71.4398 - - - - - 64.5245 - - - - - - 139 0 0 70 0 0 0 0
1701448161.891032000  999.137 0 50.0005  -  nan  -0.47492 0.393915 -0.0209877  -0.47492 0.393915 -0.0209877  0.154806 0.144206 10.2336  0.154806 0.144206 10.2336  - - -  - - -  71.042 64.7475 71.3168 71.1825 - - - - - - 69.8227 70.2346 - - - - 139 0 0 70 0 0 0 0
1701448161.896023000  999.136 0 49.9995  -  nan  -0.417241 0.393653 -0.0170293  -0.417241 0.393653 -0.0170293  0.116203 0.160672 8.69244  0.116203 0.160672 8.69244  - - -  - - -  70.8975 64.7139 71.239 70.9177 - - - - 72.1501 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.901028000  999.136 0 49.9995  -  nan  -0.474856 0.379191 -0.0340597  -0.474856 0.379191 -0.0340597  0.113627 0.201242 9.54376  0.113627 0.201242 9.54376  - - -  - - -  70.8767 64.4497 71.5738 71.4706 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.906026000  999.137 0 50.0005  -  nan  -0.490105 0.407625 -0.03611  -0.490105 0.407625 -0.03611  0.109014 0.144811 10.1767  0.109014 0.144811 10.1767  - - -  - - -  70.6382 64.4388 71.9141 71.1484 - - - - - 64.5245 - - - - - - 139 0 0 70 0 0 0 0
