# logged on Thu Dec 21 15:43:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703169832.934999000  1001.21 0 49.9993  -  nan  -0.0821991 0.000854139 -0.062745  -0.0821991 0.000854139 -0.062745  -0.118993 0.147866 9.88907  -0.118993 0.147866 9.88907  - - -  - - -  77.4173 69.4476 71.9707 62.0345 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.939992000  1001.22 0 49.9984  -  nan  -0.185055 0.0198051 0.0120978  -0.185055 0.0198051 0.0120978  -0.255712 0.243637 10.2216  -0.255712 0.243637 10.2216  - - -  - - -  77.3853 69.4794 72.081 61.7621 - - - - - - - 61.6827 - - - - 139 0 134 71 0 0 0 0
1703169832.945000000  1001.22 0 49.9997  -  nan  -0.111303 -0.0126543 -0.0506623  -0.111303 -0.0126543 -0.0506623  0.279921 -0.341158 9.36569  0.279921 -0.341158 9.36569  - - -  - - -  76.9304 70.2032 71.5905 61.6866 - - - - - 68.2221 71.0732 - - - - - 139 0 134 71 0 0 0 0
1703169832.950001000  1001.22 0 50.0007  -  nan  -0.110729 0.0445438 -0.0662445  -0.110729 0.0445438 -0.0662445  -0.157587 0.303113 9.30447  -0.157587 0.303113 9.30447  - - -  - - -  77.7128 69.3077 72.3549 62.2056 - - - - 77.0535 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.955002000  1001.22 0 50.0007  -  nan  -0.215196 0.00528833 0.0241452  -0.215196 0.00528833 0.0241452  -0.401473 0.134445 11.1429  -0.401473 0.134445 11.1429  - - -  - - -  77.4621 70.226 71.8242 61.938 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.960002000  1001.22 0 50.0007  -  nan  -0.096216 -0.0149279 -0.10491  -0.096216 -0.0149279 -0.10491  0.509421 -0.342993 9.53913  0.509421 -0.342993 9.53913  - - -  - - -  76.5094 70.2541 71.9483 61.529 - - - - - - - 62.004 - - - - 139 0 134 71 0 0 0 0
1703169832.964986000  1001.22 0 50.0034  -  nan  -0.199131 0.11694 -0.0476644  -0.199131 0.11694 -0.0476644  -0.338624 0.356489 8.95614  -0.338624 0.356489 8.95614  - - -  - - -  77.6791 69.1271 72.4698 62.0098 - - - - - 69.2137 71.7154 - - - - - 139 0 134 71 0 0 0 0
1703169832.970005000  1001.23 0 50.0031  -  nan  -0.243543 0.00379242 -0.0185349  -0.243543 0.00379242 -0.0185349  -0.364937 -0.0697083 11.846  -0.364937 -0.0697083 11.846  - - -  - - -  77.5693 70.8288 71.537 61.4133 - - - - 78.3208 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.975005000  1001.24 0 50.0031  -  nan  -0.0666383 0.0415968 -0.13208  -0.0666383 0.0415968 -0.13208  0.650739 -0.287782 9.0214  0.650739 -0.287782 9.0214  - - -  - - -  76.8109 69.5567 72.5873 60.8781 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.980001000  1001.25 0 50.0018  -  nan  -0.256903 0.176609 -0.011968  -0.256903 0.176609 -0.011968  -0.518932 0.50096 9.28401  -0.518932 0.50096 9.28401  - - -  - - -  78.4024 68.2674 72.8529 61.4592 - - - - - - - 61.6827 - - - - 139 0 134 71 0 0 0 0
1703169832.985000000  1001.25 0 50.0024  -  nan  -0.258246 0.0348616 0.0201512  -0.258246 0.0348616 0.0201512  -0.503023 -0.0715331 12.0157  -0.503023 -0.0715331 12.0157  - - -  - - -  78.2463 70.3109 71.8058 61.0661 - - - - - 70.028 73.0353 - - - - - 139 0 134 71 0 0 0 0
1703169832.990000000  1001.26 0 50.0032  -  nan  -0.0949107 0.097913 -0.149606  -0.0949107 0.097913 -0.149606  0.70234 -0.136811 8.83758  0.70234 -0.136811 8.83758  - - -  - - -  76.9641 68.7153 72.8751 61.193 - - - - 77.3036 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.995004000  1001.27 0 50.0032  -  nan  -0.301911 0.193703 0.0523325  -0.301911 0.193703 0.0523325  -0.338008 0.449409 9.46157  -0.338008 0.449409 9.46157  - - -  - - -  78.7016 68.1325 72.774 61.4154 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169833.000003000  1001.27 0 50.0029  -  nan  -0.228822 -0.0263025 -0.0582254  -0.228822 -0.0263025 -0.0582254  -0.0501527 -0.315845 11.6423  -0.0501527 -0.315845 11.6423  - - -  - - -  77.8805 71.0113 70.9566 60.9867 - - - - - - - 61.3648 - - - - 139 0 134 71 0 0 0 0
1703169833.005001000  1001.27 0 50.0032  -  nan  -0.16846 0.158736 -0.0878358  -0.16846 0.158736 -0.0878358  0.387856 0.0618463 8.64678  0.387856 0.0618463 8.64678  - - -  - - -  77.5208 69.4049 72.0775 60.7017 - - - - - 69.2137 72.3694 - - - - - 139 0 134 71 0 0 0 0
1703169833.010004000  1001.27 0 50.0029  -  nan  -0.316533 0.165405 0.0523329  -0.316533 0.165405 0.0523329  -0.294617 0.397254 9.69472  -0.294617 0.397254 9.69472  - - -  - - -  79.0015 70.0897 71.549 60.5742 - - - - 78.064 - - - - - - - 139 0 134 71 0 0 0 0
1703169833.015005000  1001.27 0 50.0029  -  nan  -0.214331 0.0324957 -0.031148  -0.214331 0.0324957 -0.031148  0.0924699 -0.306084 10.73  0.0924699 -0.306084 10.73  - - -  - - -  77.8579 71.4232 70.808 60.709 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169833.020005000  1001.27 0 50.0016  -  nan  -0.227598 0.145906 -0.0642359  -0.227598 0.145906 -0.0642359  0.113717 0.155187 9.20571  0.113717 0.155187 9.20571  - - -  - - -  77.6934 70.1749 71.6965 60.8967 - - - - - - - 61.0501 - - - - 139 0 134 71 0 0 0 0
1703169833.024992000  1001.28 0 50.0023  -  nan  -0.272827 0.133663 0.00205903  -0.272827 0.133663 0.00205903  -0.115207 0.341232 10.3855  -0.115207 0.341232 10.3855  - - -  - - -  78.4967 70.1437 71.6527 60.4377 - - - - - 71.7154 71.286 - - - - - 139 0 134 71 0 0 0 0
1703169833.029999000  1001.28 0 50.0011  -  nan  -0.228008 0.0881653 -0.0622206  -0.228008 0.0881653 -0.0622206  -0.0356809 -0.191407 9.29336  -0.0356809 -0.191407 9.29336  - - -  - - -  77.8887 70.7225 71.2887 60.613 - - - - 78.8395 - - - - - - - 139 0 134 71 0 0 0 0
1703169833.035006000  1001.29 0 50.0011  -  nan  -0.19927 0.0738524 -0.0597464  -0.19927 0.0738524 -0.0597464  0.0152271 0.141161 10.5175  0.0152271 0.141161 10.5175  - - -  - - -  78.2239 69.7954 72.0113 60.8647 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169833.040000000  1001.28 0 49.999  -  nan  -0.243159 0.105163 0.00509886  -0.243159 0.105163 0.00509886  0.0135908 -0.000265298 9.90338  0.0135908 -0.000265298 9.90338  - - -  - - -  77.9026 69.6326 72.0195 60.5496 - - - - - - - 61.0501 - - - - 139 0 134 71 0 0 0 0
1703169833.044999000  1001.27 0 50.0021  -  nan  -0.199508 0.0891576 -0.0321384  -0.199508 0.0891576 -0.0321384  -0.121523 -0.0870956 8.82708  -0.121523 -0.0870956 8.82708  - - -  - - -  77.7053 70.1344 71.8361 60.7602 - - - - - 70.028 71.5001 - - - - - 139 0 134 71 0 0 0 0
1703169833.049999000  1001.26 0 50.0019  -  nan  -0.213992 0.0313724 -0.0592511  -0.213992 0.0313724 -0.0592511  -0.033051 0.13628 10.9739  -0.033051 0.13628 10.9739  - - -  - - -  77.5664 69.76 72.4379 61.3524 - - - - 78.064 - - - - - - - 139 0 134 71 0 0 0 0
1703169833.055008000  1001.25 0 50.0019  -  nan  -0.273028 0.105299 0.00304898  -0.273028 0.105299 0.00304898  -0.0774358 0.00217496 9.67436  -0.0774358 0.00217496 9.67436  - - -  - - -  77.0655 69.6416 72.4048 60.9385 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169833.060013000  1001.24 0 50.0007  -  nan  -0.155245 0.0600116 -0.042645  -0.155245 0.0600116 -0.042645  0.0618018 -0.0870956 8.82842  0.0618018 -0.0870956 8.82842  - - -  - - -  76.9173 70.2205 72.3221 61.2243 - - - - - - - 60.2773 - - - - 139 0 134 71 0 0 0 0
1703169833.065000000  1001.23 0 50.0015  -  nan  -0.242667 0.103536 -0.0356021  -0.242667 0.103536 -0.0356021  -0.122032 0.141161 10.5165  -0.122032 0.141161 10.5165  - - -  - - -  77.1619 69.4451 73.0034 61.6286 - - - - - 69.8227 71.9321 - - - - - 139 0 134 71 0 0 0 0
1703169833.070003000  1001.23 0 50.0024  -  nan  -0.273129 0.091117 0.00354396  -0.273129 0.091117 0.00354396  -0.218996 -0.0526265 10.2486  -0.218996 -0.0526265 10.2486  - - -  - - -  77.0002 69.5504 72.943 61.4526 - - - - 77.0535 - - - - - - - 139 0 134 71 0 0 0 0
1703169833.075001000  1001.23 0 50.0024  -  nan  -0.154212 0.0856249 -0.112439  -0.154212 0.0856249 -0.112439  0.331711 -0.143516 9.46234  0.331711 -0.143516 9.46234  - - -  - - -  76.4863 69.5941 73.1373 61.5087 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169833.080017000  1001.23 0 50.0002  -  nan  -0.300827 0.204631 -0.0295644  -0.300827 0.204631 -0.0295644  -0.25221 0.297617 9.81807  -0.25221 0.297617 9.81807  - - -  - - -  77.6986 68.8537 73.5511 61.4394 - - - - - - - 61.8429 - - - - 139 0 134 71 0 0 0 0
1703169833.085006000  1001.23 0 50.003  -  nan  -0.301476 0.0896211 -0.0391362  -0.301476 0.0896211 -0.0391362  -0.224436 -0.110883 11.0523  -0.224436 -0.110883 11.0523  - - -  - - -  77.4733 69.5493 73.1321 61.3541 - - - - - 69.6185 72.812 - - - - - 139 0 134 71 0 0 0 0
1703169833.090010000  1001.22 0 50.0027  -  nan  -0.168196 0.172376 -0.101898  -0.168196 0.172376 -0.101898  0.565081 -0.136811 8.83657  0.565081 -0.136811 8.83657  - - -  - - -  77.0514 68.6803 73.9101 61.1401 - - - - 77.0535 - - - - - - - 139 0 134 71 0 0 0 0
1703169833.095018000  1001.22 0 50.0027  -  nan  -0.345052 0.308301 0.0181285  -0.345052 0.308301 0.0181285  -0.249104 0.396033 9.80923  -0.249104 0.396033 9.80923  - - -  - - -  78.0352 68.5569 73.6699 61.5095 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
