# logged on Tue Jan  2 13:17:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704197871.648983000  1001.24 0 50.0084  -  nan  -0.18433 0.192627 0.0468237  -0.18433 0.192627 0.0468237  -0.161467 0.155792 9.14711  -0.161467 0.155792 9.14711  - - -  - - -  80.6323 68.3866 70.1517 63.1889 - - - - - 68.2221 - - - - - - 139 0 134 71 0 0 0 0
1704197871.653987000  1001.25 0 50.0106  -  nan  -0.0827027 0.00251985 -0.021075  -0.0827027 0.00251985 -0.021075  -0.455231 -0.158158 10.8267  -0.455231 -0.158158 10.8267  - - -  - - -  80.9898 69.3897 69.3192 63.6056 - - - - 79.8977 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.658988000  1001.24 0 50.0106  -  nan  -0.0526214 0.0573788 -0.0899151  -0.0526214 0.0573788 -0.0899151  0.298507 0.345508 9.98839  0.298507 0.345508 9.98839  - - -  - - -  80.2503 68.1 70.7282 63.4869 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.663986000  1001.25 0 50.0097  -  nan  -0.257917 0.224544 0.0960168  -0.257917 0.224544 0.0960168  -0.299387 0.156407 9.08852  -0.299387 0.156407 9.08852  - - -  - - -  80.9405 67.5283 71.1079 63.0068 - - - - - - 70.4424 65.0533 - - - - 139 0 134 71 0 0 0 0
1704197871.668982000  1001.24 0 50.0097  -  nan  -0.0251953 -0.070788 -0.0427094  -0.0251953 -0.070788 -0.0427094  -0.413409 -0.260029 11.0643  -0.413409 -0.260029 11.0643  - - -  - - -  81.0789 69.9925 69.2786 63.2293 - - - - - 68.8137 - - - - - - 139 0 134 71 0 0 0 0
1704197871.673988000  1001.25 0 50.0107  -  nan  -0.0668023 0.0421391 -0.118513  -0.0668023 0.0421391 -0.118513  0.211451 0.397869 9.64084  0.211451 0.397869 9.64084  - - -  - - -  79.9785 67.778 71.331 63.845 - - - - 81.2612 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.678987000  1001.24 0 50.0107  -  nan  -0.33162 0.167679 0.10658  -0.33162 0.167679 0.10658  -0.0736822 0.194526 10.1709  -0.0736822 0.194526 10.1709  - - -  - - -  80.9322 67.499 71.7469 63.1537 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.683986000  1001.25 0 50.0097  -  nan  0.0192202 -0.100438 -0.065814  0.0192202 -0.100438 -0.065814  -0.315009 -0.199948 10.0905  -0.315009 -0.199948 10.0905  - - -  - - -  80.4708 70.3785 69.6478 63.0532 - - - - - - 70.2346 62.6566 - - - - 139 0 134 71 0 0 0 0
1704197871.688982000  1001.24 0 50.0087  -  nan  -0.140561 0.0735856 -0.0557174  -0.140561 0.0735856 -0.0557174  -0.108967 0.400309 9.41014  -0.108967 0.400309 9.41014  - - -  - - -  79.8472 67.886 71.8309 64.0874 - - - - - 67.6407 - - - - - - 139 0 134 71 0 0 0 0
1704197871.693987000  1001.25 0 50.0088  -  nan  -0.24462 0.0664525 0.102522  -0.24462 0.0664525 0.102522  0.0139321 0.0920503 10.4654  0.0139321 0.0920503 10.4654  - - -  - - -  80.4516 68.4761 71.5437 63.5983 - - - - 81.5395 - - - - - - - 139 0 134 71 0 0 0 0
