# logged on Mon Nov 20 15:45:31 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700491531.526125000  1000.43 0 50.01  -  nan  -0.254523 0.408801 0.0656591  -0.254523 0.408801 0.0656591  0.101172 -0.281905 10.1437  0.101172 -0.281905 10.1437  - - -  - - -  74.3863 73.7151 77.7416 70.6264 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.531130000  1000.43 0 50.009  -  nan  0.519199 -0.0503918 -0.0497209  0.519199 -0.0503918 -0.0497209  0.263676 0.278471 9.86432  0.263676 0.278471 9.86432  - - -  - - -  74.6856 75.2 76.5051 69.3433 - - - - - - 77.3036 71.286 - - - - 139 145 134 71 0 0 0 0
1700491531.536141000  1000.42 0 50.0093  -  nan  0.0017594 0.297953 0.0309536  0.0017594 0.297953 0.0309536  0.0514983 -0.694822 8.69113  0.0514983 -0.694822 8.69113  - - -  - - -  72.9779 72.3851 78.5875 71.2226 - - - - 73.4862 73.2601 - - - - - - 139 145 134 71 0 0 0 0
1700491531.541151000  1000.41 0 50.0093  -  nan  0.00181872 0.311601 0.0168224  0.00181872 0.311601 0.0168224  0.158774 -0.000526891 9.94689  0.158774 -0.000526891 9.94689  - - -  - - -  74.477 75.1702 76.4302 69.5779 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.546138000  1000.41 0 50.0093  -  nan  0.561149 0.0198 -0.0647888  0.561149 0.0198 -0.0647888  0.356507 0.00137424 9.48938  0.356507 0.00137424 9.48938  - - -  - - -  73.9631 73.8614 76.9692 70.091 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.551141000  1000.42 0 50.0083  -  nan  -0.140933 0.451522 0.0385736  -0.140933 0.451522 0.0385736  -0.0459861 -0.694346 8.57571  -0.0459861 -0.694346 8.57571  - - -  - - -  73.4213 72.1756 77.8696 71.034 - - - - - - 76.8049 70.6514 - - - - 139 145 134 71 0 0 0 0
1700491531.556145000  1000.42 0 50.0106  -  nan  0.317707 0.144749 -0.0155362  0.317707 0.144749 -0.0155362  0.268462 0.327385 9.34429  0.268462 0.327385 9.34429  - - -  - - -  74.5904 75.0769 75.8706 68.843 - - - - 73.9426 73.2601 - - - - - - 139 145 134 71 0 0 0 0
1700491531.561135000  1000.42 0 50.0106  -  nan  0.532565 0.075167 -0.052919  0.532565 0.075167 -0.052919  0.20142 -0.371894 9.52237  0.20142 -0.371894 9.52237  - - -  - - -  73.1447 72.6771 77.7679 70.1761 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.566131000  1000.42 0 50.0106  -  nan  -0.0840815 0.479863 0.0661355  -0.0840815 0.479863 0.0661355  0.057141 -0.462123 8.72676  0.057141 -0.462123 8.72676  - - -  - - -  72.7426 71.6653 77.9031 71.2591 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.571131000  1000.4 0 50.0095  -  nan  0.560644 0.0616692 -0.0383969  0.560644 0.0616692 -0.0383969  0.264431 0.186816 9.41394  0.264431 0.186816 9.41394  - - -  - - -  73.2795 73.7302 76.5383 69.7066 - - - - - - 78.8395 70.028 - - - - 139 145 134 71 0 0 0 0
1700491531.576132000  1000.4 0 50.0117  -  nan  0.20154 0.382633 0.00394665  0.20154 0.382633 0.00394665  0.0483172 -0.65161 9.31745  0.0483172 -0.65161 9.31745  - - -  - - -  71.7683 70.298 78.7388 71.8902 - - - - 73.4862 73.4862 - - - - - - 139 145 134 71 0 0 0 0
1700491531.581139000  1000.39 0 50.0117  -  nan  0.129584 0.466423 0.0144412  0.129584 0.466423 0.0144412  0.254782 -0.185497 9.44788  0.254782 -0.185497 9.44788  - - -  - - -  72.8255 72.2065 77.0742 70.7375 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.586146000  1000.39 0 50.0117  -  nan  0.675244 0.103407 -0.0654416  0.675244 0.103407 -0.0654416  0.364109 0.234305 9.23878  0.364109 0.234305 9.23878  - - -  - - -  72.3726 71.7777 77.4739 70.6492 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.591147000  1000.38 0 50.0103  -  nan  0.100994 0.522778 0.0262843  0.100994 0.522778 0.0262843  -0.0447986 -0.648523 8.57153  -0.0447986 -0.648523 8.57153  - - -  - - -  71.6638 69.3146 78.6082 72.0142 - - - - - - 77.3036 72.812 - - - - 139 145 134 71 0 0 0 0
1700491531.596152000  1000.38 0 50.0122  -  nan  0.388507 0.242947 -0.0171902  0.388507 0.242947 -0.0171902  0.358087 0.0925454 9.59575  0.358087 0.0925454 9.59575  - - -  - - -  73.0926 72.5091 76.4544 69.8309 - - - - 72.59 71.0732 - - - - - - 139 145 134 71 0 0 0 0
1700491531.601135000  1000.38 0 50.0122  -  nan  0.616983 0.229945 -0.0421435  0.616983 0.229945 -0.0421435  0.213084 0.00256451 9.20103  0.213084 0.00256451 9.20103  - - -  - - -  71.944 70.4958 77.8587 70.7067 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.606124000  1000.38 0 50.0122  -  nan  -0.000537787 0.635438 0.0631132  -0.000537787 0.635438 0.0631132  0.206544 -0.460936 8.4415  0.206544 -0.460936 8.4415  - - -  - - -  72.166 69.2733 77.6813 71.6896 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.611135000  1000.38 0 50.0088  -  nan  0.545511 0.201295 -0.0138631  0.545511 0.201295 -0.0138631  0.410887 0.278946 9.75063  0.410887 0.278946 9.75063  - - -  - - -  73.1074 72.0475 75.584 70.1083 - - - - - - 78.3208 71.286 - - - - 139 145 134 71 0 0 0 0
1700491531.616139000  1000.38 0 50.0091  -  nan  0.401046 0.467682 0.00445391  0.401046 0.467682 0.00445391  0.0564093 -0.324401 9.34446  0.0564093 -0.324401 9.34446  - - -  - - -  71.505 69.0975 77.5573 72.0343 - - - - 71.0732 69.4155 - - - - - - 139 145 134 71 0 0 0 0
1700491531.621139000  1000.38 0 50.0091  -  nan  0.0427563 0.620847 0.0641144  0.0427563 0.620847 0.0641144  0.356821 -0.18265 8.76122  0.356821 -0.18265 8.76122  - - -  - - -  72.7542 70.8744 75.5755 70.951 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.626126000  1000.38 0 50.0091  -  nan  0.588768 0.243628 -0.0429086  0.588768 0.243628 -0.0429086  0.367729 0.328575 9.05767  0.367729 0.328575 9.05767  - - -  - - -  72.9253 71.887 75.3193 69.6922 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.631146000  1000.38 0 50.0062  -  nan  0.171402 0.691129 0.0227331  0.171402 0.691129 0.0227331  0.0092301 -0.369282 8.89047  0.0092301 -0.369282 8.89047  - - -  - - -  72.7463 69.4643 76.2144 71.1168 - - - - - - 74.8727 71.5001 - - - - 139 145 134 71 0 0 0 0
1700491531.636145000  1000.38 0 50.0051  -  nan  0.244888 0.382677 -0.00921008  0.244888 0.382677 -0.00921008  0.453975 -0.0451639 9.43648  0.453975 -0.0451639 9.43648  - - -  - - -  74.0044 72.2295 74.1576 69.3569 - - - - 71.7154 71.5001 - - - - - - 139 145 134 71 0 0 0 0
1700491531.641160000  1000.38 0 50.0051  -  nan  0.531196 0.271174 -0.0306955  0.531196 0.271174 -0.0306955  0.123179 0.189903 8.66768  0.123179 0.189903 8.66768  - - -  - - -  72.3043 70.4662 76.397 69.8697 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.646123000  1000.39 0 50.0051  -  nan  0.0561761 0.761042 0.0467584  0.0561761 0.761042 0.0467584  0.0583533 -0.415345 8.7225  0.0583533 -0.415345 8.7225  - - -  - - -  72.9864 69.9165 75.5937 70.5095 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.651135000  1000.39 0 50.003  -  nan  0.387877 0.355586 -0.0202364  0.387877 0.355586 -0.0202364  0.506718 0.139323 9.59254  0.506718 0.139323 9.59254  - - -  - - -  74.08 72.6324 73.4851 68.9461 - - - - - - 74.173 70.2346 - - - - 139 145 134 71 0 0 0 0
