# logged on Tue Jan  9 13:33:49 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704803629.493998000  999.598 0 50.002  -  nan  -0.0681901 -0.129527 -0.0989353  -0.0681901 -0.129527 -0.0989353  0.285267 -0.236857 8.90107  0.285267 -0.236857 8.90107  - - -  - - -  75.3659 68.2139 70.0951 62.5406 - - - - - 69.8227 - - - - - - 138 146 134 70 0 0 0 0
1704803629.498997000  999.598 0 50.0018  -  nan  -0.0539192 0.018126 -0.00605914  -0.0539192 0.018126 -0.00605914  0.0769656 0.360754 8.56006  0.0769656 0.360754 8.56006  - - -  - - -  76.5412 66.8065 71.3736 62.4151 - - - - - - 70.8617 - - - - - 138 146 134 70 0 0 0 0
1704803629.504000000  999.599 0 50.0016  -  nan  -0.157591 -0.0794557 0.0718805  -0.157591 -0.0794557 0.0718805  -0.630212 0.22839 11.6456  -0.630212 0.22839 11.6456  - - -  - - -  77.5989 67.7501 70.1647 63.0527 - - - - - - - 62.3286 - - - - 138 146 134 70 0 0 0 0
1704803629.508997000  999.598 0 50.0005  -  nan  -0.0403909 -0.156284 -0.0271268  -0.0403909 -0.156284 -0.0271268  0.0516545 -0.294498 9.64548  0.0516545 -0.294498 9.64548  - - -  - - -  76.3511 68.1821 70.1405 62.8147 - - - - 75.8265 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.514001000  999.597 0 49.9984  -  nan  -0.0389955 0.0889697 -0.00754444  -0.0389955 0.0889697 -0.00754444  0.0301573 0.312864 8.39343  0.0301573 0.312864 8.39343  - - -  - - -  77.536 66.4569 71.5773 63.1296 - - - - - 68.8137 - - - - - - 138 146 134 70 0 0 0 0
1704803629.519003000  999.599 0 49.9976  -  nan  -0.113906 -0.0921731 0.117085  -0.113906 -0.0921731 0.117085  -0.63335 0.12896 11.6545  -0.63335 0.12896 11.6545  - - -  - - -  78.1379 67.8699 69.916 63.4814 - - - - - - 71.7154 - - - - - 138 146 134 70 0 0 0 0
1704803629.523997000  999.599 0 49.9968  -  nan  0.0188923 -0.099353 -0.03868  0.0188923 -0.099353 -0.03868  0.327647 -0.337497 9.02351  0.327647 -0.337497 9.02351  - - -  - - -  75.5748 68.5389 69.6519 63.8142 - - - - - - - 63.4921 - - - - 138 146 134 70 0 0 0 0
1704803629.529004000  999.598 0 49.9971  -  nan  0.00519589 0.100205 -0.0738747  0.00519589 0.100205 -0.0738747  0.027851 0.215268 8.23061  0.027851 0.215268 8.23061  - - -  - - -  76.2811 67.1713 70.5176 63.9331 - - - - 77.8089 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.533997000  999.597 0 49.9964  -  nan  -0.0850666 -0.0923042 0.119064  -0.0850666 -0.0923042 0.119064  -0.404791 0.127124 11.828  -0.404791 0.127124 11.828  - - -  - - -  77.9791 66.7885 70.4807 63.763 - - - - - 66.3218 - - - - - - 138 146 134 70 0 0 0 0
1704803629.538990000  999.598 0 49.9968  -  nan  -0.0255909 -0.0539274 -0.0015697  -0.0255909 -0.0539274 -0.0015697  0.142506 -0.204818 10.5496  0.142506 -0.204818 10.5496  - - -  - - -  75.7745 67.8639 69.6314 63.8977 - - - - - - 70.4424 - - - - - 138 146 134 70 0 0 0 0
