# logged on Mon Jan  8 11:15:00 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708900.632810000  1000.24 0 49.9924  -  nan  0.00509475 0.0134477 -0.112575  0.00509475 0.0134477 -0.112575  0.061159 -0.0422607 9.28064  0.061159 -0.0422607 9.28064  - - -  - - -  76.2359 68.3165 69.9067 62.6729 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.637819000  1000.24 0 49.9924  -  nan  -0.0829858 0.0335235 0.0186007  -0.0829858 0.0335235 0.0186007  0.0247222 0.254618 9.19611  0.0247222 0.254618 9.19611  - - -  - - -  77.3452 66.787 71.163 62.1584 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.642814000  1000.23 0 49.9908  -  nan  -0.127931 0.0358941 0.0698292  -0.127931 0.0358941 0.0698292  -0.124707 0.0890053 10.7493  -0.124707 0.0890053 10.7493  - - -  - - -  77.1426 67.8955 70.3612 62.4599 - - - - - 67.8334 71.7154 - - - - - 138 0 0 71 0 0 0 0
1704708900.647810000  1000.23 0 49.9916  -  nan  -0.0388319 0.0158524 -0.0603066  -0.0388319 0.0158524 -0.0603066  -0.25895 0.0514805 9.61205  -0.25895 0.0514805 9.61205  - - -  - - -  76.5145 68.7346 69.6562 62.1613 - - - - 77.5555 - - 62.822 - - - - 138 0 0 71 0 0 0 0
1704708900.652810000  1000.22 0 49.9916  -  nan  -0.053964 -0.0117931 -0.0186008  -0.053964 -0.0117931 -0.0186008  0.203911 0.150911 9.60648  0.203911 0.150911 9.60648  - - -  - - -  76.7033 67.8011 70.4794 62.1088 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.657818000  1000.22 0 49.9916  -  nan  -0.141683 0.106327 0.0527977  -0.141683 0.106327 0.0527977  0.0196461 0.150911 9.60514  0.0196461 0.150911 9.60514  - - -  - - -  76.6574 67.806 70.8518 62.0678 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.662812000  1000.22 0 49.9903  -  nan  -0.0829858 0.0335235 0.0186007  -0.0829858 0.0335235 0.0186007  -0.538278 0.0429396 10.4092  -0.538278 0.0429396 10.4092  - - -  - - -  76.8992 68.8787 69.5014 62.0151 - - - - - 68.2221 71.286 - - - - - 138 0 0 71 0 0 0 0
1704708900.667810000  1000.22 0 49.9892  -  nan  -0.00997415 -0.0289219 -0.0839411  -0.00997415 -0.0289219 -0.0839411  0.384174 0.0999758 9.72646  0.384174 0.0999758 9.72646  - - -  - - -  76.2341 68.4105 69.9252 62.1288 - - - - 75.8265 - - 63.3232 - - - - 138 0 0 71 0 0 0 0
1704708900.672811000  1000.23 0 49.9892  -  nan  -0.155528 0.16359 0.0362258  -0.155528 0.16359 0.0362258  0.120721 0.263148 8.39857  0.120721 0.263148 8.39857  - - -  - - -  76.9861 66.9911 71.1342 61.8572 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.677821000  1000.23 0 49.9892  -  nan  -0.084082 0.0226344 0.101467  -0.084082 0.0226344 0.101467  -0.731142 -0.0666526 11.5574  -0.731142 -0.0666526 11.5574  - - -  - - -  77.5459 68.8279 69.2677 62.17 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
