# logged on Tue Nov 21 15:13:44 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700576024.428495000  1000.87 0 100.001  -  nan  0.0186544 0.0455219 -0.0032945  0.0186544 0.0455219 -0.0032945  -0.0326221 0.0476727 9.36769  -0.0326221 0.0476727 9.36769  - - -  - - -  77.957 80.2542 81.2934 76.8992 - - - - - 79.1014 - - - - - - 139 146 134 70 0 0 0 0
1700576024.433494000  1000.88 0 99.9992  -  nan  -0.0380777 -0.0526011 -0.00144501  -0.0380777 -0.0526011 -0.00144501  0.202671 -0.187874 10.0212  0.202671 -0.187874 10.0212  - - -  - - -  78.3478 80.0427 81.2109 77.2168 - - - - 77.8089 - 80.4376 76.558 - - - - 139 146 134 70 0 0 0 0
1700576024.438494000  1000.87 0 99.9993  -  nan  0.0187318 0.0316891 -0.00292041  0.0187318 0.0316891 -0.00292041  -0.0853437 0.0906442 10.0515  -0.0853437 0.0906442 10.0515  - - -  - - -  77.7275 80.3385 81.8633 76.9391 - - - - - 79.8977 - - - - - - 139 146 134 70 0 0 0 0
1700576024.443489000  1000.88 0 99.9989  -  nan  0.07487 0.0321739 0.0116186  0.07487 0.0321739 0.0116186  0.204678 -0.140621 9.90217  0.204678 -0.140621 9.90217  - - -  - - -  78.048 80.1833 81.5827 77.3217 - - - - 78.3208 - 81.8197 77.8089 - - - - 139 146 134 71 0 0 0 0
1700576024.448503000  1000.87 0 100  -  nan  0.0190654 -0.0521109 0.013108  0.0190654 -0.0521109 0.013108  0.0596837 -0.047065 9.8926  0.0596837 -0.047065 9.8926  - - -  - - -  77.7385 80.1893 81.7896 77.543 - - - - - 81.2612 - - - - - - 139 146 134 71 0 0 0 0
1700576024.453488000  1000.88 0 99.9983  -  nan  0.0745602 0.0875054 0.0101222  0.0745602 0.0875054 0.0101222  -0.0353994 0.000898956 9.60132  -0.0353994 0.000898956 9.60132  - - -  - - -  77.4364 80.4354 82.0762 77.4399 - - - - 77.3036 - 80.7103 76.558 - - - - 139 146 134 71 0 0 0 0
1700576024.458494000  1000.87 0 99.9985  -  nan  0.0753815 -0.0106833 -0.0147466  0.0753815 -0.0106833 -0.0147466  0.249989 -0.234416 9.96891  0.249989 -0.234416 9.96891  - - -  - - -  77.9158 80.4032 81.8993 77.6465 - - - - - 79.8977 - - - - - - 139 146 134 71 0 0 0 0
1700576024.463492000  1000.88 0 99.9999  -  nan  0.0899255 0.0597346 -0.00267726  0.0899255 0.0597346 -0.00267726  -0.0358017 0.0457716 9.82659  -0.0358017 0.0457716 9.82659  - - -  - - -  77.6893 80.283 82.4792 77.596 - - - - 78.3208 - 80.4376 77.0535 - - - - 139 146 134 71 0 0 0 0
1700576024.468490000  1000.87 0 99.9989  -  nan  0.117986 0.0737173 -0.00266041  0.117986 0.0737173 -0.00266041  0.156727 -0.13991 9.73023  0.156727 -0.13991 9.73023  - - -  - - -  77.9444 80.2711 82.4485 77.7336 - - - - - 80.1667 - - - - - - 139 146 134 71 0 0 0 0
1700576024.473483000  1000.88 0 100.001  -  nan  0.0754506 0.00295105 -0.0298605  0.0754506 0.00295105 -0.0298605  0.20227 -0.188114 10.079  0.20227 -0.188114 10.079  - - -  - - -  78.0705 80.3817 82.5433 77.8069 - - - - 78.064 - 81.2612 78.064 - - - - 139 146 134 71 0 0 0 0
