# logged on Fri Jan  5 14:24:50 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704461090.941148000  1001.38 0 49.9951  -  nan  0.150906 0.189479 0.0290955  0.150906 0.189479 0.0290955  -0.0296482 0.0975355 9.95178  -0.0296482 0.0975355 9.95178  - - -  - - -  77.8419 67.0587 70.9217 63.8499 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704461090.946127000  1001.37 0 49.9951  -  nan  0.164949 0.0623861 0.0753469  0.164949 0.0623861 0.0753469  -0.0819268 -0.0992969 9.96912  -0.0819268 -0.0992969 9.96912  - - -  - - -  77.8239 68.5232 69.3541 63.9232 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.951112000  1001.38 0 49.9951  -  nan  0.255428 0.140422 -0.113526  0.255428 0.140422 -0.113526  -0.0776474 0.0932704 10.3505  -0.0776474 0.0932704 10.3505  - - -  - - -  76.9695 69.041 69.2117 64.4154 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.956119000  1001.37 0 49.9957  -  nan  0.150294 0.103375 0.0321007  0.150294 0.103375 0.0321007  0.101421 -0.0550667 10.4793  0.101421 -0.0550667 10.4793  - - -  - - -  77.9902 67.4866 70.1915 63.3624 - - - - 77.3036 67.8334 - 64.8761 - - - - 139 0 134 70 0 0 0 0
1704461090.961105000  1001.38 0 49.9957  -  nan  0.150495 0.131739 0.0311107  0.150495 0.131739 0.0311107  0.156762 0.0107052 8.87783  0.156762 0.0107052 8.87783  - - -  - - -  77.3899 68.5506 69.639 63.3226 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.966128000  1001.37 0 49.9942  -  nan  0.195351 0.115147 -0.0205919  0.195351 0.115147 -0.0205919  -0.452489 -0.0142915 11.2125  -0.452489 -0.0142915 11.2125  - - -  - - -  77.7626 68.9739 68.8618 63.6981 - - - - - - 68.6153 - - - - - 139 0 134 70 0 0 0 0
1704461090.971109000  1001.38 0 49.9942  -  nan  0.194974 0.0147898 -0.044261  0.194974 0.0147898 -0.044261  0.23868 -0.0550667 10.4803  0.23868 -0.0550667 10.4803  - - -  - - -  77.6429 68.096 69.1149 63.1999 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.976118000  1001.37 0 49.9939  -  nan  0.108037 0.173867 -0.0140793  0.108037 0.173867 -0.0140793  0.208425 0.114617 8.35506  0.208425 0.114617 8.35506  - - -  - - -  77.6146 67.8442 69.6318 62.8137 - - - - 78.3208 69.6185 - 63.8325 - - - - 139 0 134 70 0 0 0 0
1704461090.981112000  1001.38 0 49.9939  -  nan  0.135471 0.046713 0.033091  0.135471 0.046713 0.033091  -0.590422 0.0295288 11.6638  -0.590422 0.0295288 11.6638  - - -  - - -  78.51 68.8836 68.6655 62.7414 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.986107000  1001.37 0 49.9935  -  nan  0.223969 -0.0594716 -0.0950086  0.223969 -0.0594716 -0.0950086  0.331253 -0.0520217 10.196  0.331253 -0.0520217 10.196  - - -  - - -  76.9353 69.1299 69.1235 62.3545 - - - - - - 70.028 - - - - - 139 0 134 70 0 0 0 0
1704461090.991108000  1001.38 0 49.9935  -  nan  0.0777394 0.160905 0.0114998  0.0777394 0.160905 0.0114998  0.120347 0.169818 7.83664  0.120347 0.169818 7.83664  - - -  - - -  77.1889 67.9206 70.3207 61.8756 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.996116000  1001.37 0 49.9962  -  nan  0.0910447 -0.0228434 0.0869004  0.0910447 -0.0228434 0.0869004  -0.590148 0.0301336 11.6072  -0.590148 0.0301336 11.6072  - - -  - - -  77.7802 69.7666 69.082 61.9262 - - - - 77.5555 69.4155 - 63.3232 - - - - 139 0 134 70 0 0 0 0
1704461091.001119000  1001.38 0 49.9962  -  nan  0.194921 -0.0887173 -0.0959625  0.194921 -0.0887173 -0.0959625  0.239786 -0.0526265 10.2519  0.239786 -0.0526265 10.2519  - - -  - - -  75.7458 70.3913 69.5012 61.7776 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
