# logged on Tue Nov 14 16:05:25 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699974326.112369000  1000.3 0 49.9919  -  nan  0.0192294 0.0172871 -0.0448003  0.0192294 0.0172871 -0.0448003  0.0696332 0.00493679 8.62735  0.0696332 0.00493679 8.62735  - - -  - - -  77.4603 77.0811 65.6043 65.3916 - - - - - - 65.9544 - - - - - 138 146 0 71 0 0 0 0
1699974326.117369000  1000.3 0 49.9919  -  nan  -0.0522741 0.044573 -0.0465398  -0.0522741 0.044573 -0.0465398  0.111215 0.0906442 10.0529  0.111215 0.0906442 10.0529  - - -  - - -  78.6658 77.3811 65.6237 64.9521 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.122378000  1000.3 0 49.9907  -  nan  -0.0950045 0.113698 -0.0352396  -0.0950045 0.113698 -0.0352396  0.112412 0.0462469 9.71292  0.112412 0.0462469 9.71292  - - -  - - -  79.3774 77.8711 65.3908 63.304 - - - - - 76.8049 - - - - - - 138 146 0 71 0 0 0 0
1699974326.127373000  1000.3 0 49.9886  -  nan  -0.0530816 0.114306 -0.00615628  -0.0530816 0.114306 -0.00615628  0.0153287 0.0469619 9.53963  0.0153287 0.0469619 9.53963  - - -  - - -  80.173 78.5278 64.4634 62.4072 - - - - 78.3208 - - 64.5245 - - - - 138 146 0 71 0 0 0 0
1699974326.132376000  1000.3 0 49.9907  -  nan  -0.0104699 0.0178863 0.0108059  -0.0104699 0.0178863 0.0108059  0.104849 -0.0494414 10.4666  0.104849 -0.0494414 10.4666  - - -  - - -  80.3129 78.7555 63.9972 62.6388 - - - - - - 64.5245 - - - - - 138 146 0 71 0 0 0 0
1699974326.137371000  1000.31 0 49.9907  -  nan  -0.0245742 -0.0243047 0.0392736  -0.0245742 -0.0243047 0.0392736  0.00379072 -0.0511029 10.8669  0.00379072 -0.0511029 10.8669  - - -  - - -  79.631 78.5862 64.144 62.899 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.142386000  1000.31 0 49.9887  -  nan  0.132114 -0.0096373 0.0410777  0.132114 -0.0096373 0.0410777  -0.0825566 0.0471974 9.48207  -0.0825566 0.0471974 9.48207  - - -  - - -  78.5139 78.7292 64.0976 63.3361 - - - - - 77.0535 - - - - - - 138 146 0 71 0 0 0 0
1699974326.147373000  1000.31 0 49.987  -  nan  0.104739 -0.121623 0.029949  0.104739 -0.121623 0.029949  0.0568582 -0.14086 9.95899  0.0568582 -0.14086 9.95899  - - -  - - -  78.1627 77.9535 64.3911 64.7292 - - - - 80.9848 - - 62.6566 - - - - 138 146 0 71 0 0 0 0
1699974326.152362000  1000.31 0 49.9883  -  nan  0.0907294 -0.108051 0.0156224  0.0907294 -0.108051 0.0156224  0.00579794 -0.00384973 10.7479  0.00579794 -0.00384973 10.7479  - - -  - - -  77.1567 77.5956 65.5296 65.0759 - - - - - - 63.6618 - - - - - 138 146 0 71 0 0 0 0
1699974326.157367000  1000.3 0 49.9883  -  nan  0.118817 -0.0244847 -0.0285119  0.118817 -0.0244847 -0.0285119  0.022082 0.0509997 8.56496  0.022082 0.0509997 8.56496  - - -  - - -  76.9689 77.3088 65.6271 64.8339 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.162360000  1000.3 0 49.9875  -  nan  0.0617329 -0.0113273 -0.0571961  0.0617329 -0.0113273 -0.0571961  0.0660582 0.0479124 9.31053  0.0660582 0.0479124 9.31053  - - -  - - -  77.8359 77.113 65.8865 64.8178 - - - - - 79.3651 - - - - - - 138 146 0 71 0 0 0 0
1699974326.167362000  1000.31 0 49.9862  -  nan  -0.0519587 -0.0117465 -0.0450167  -0.0519587 -0.0117465 -0.0450167  0.201121 -0.0966946 10.5863  0.201121 -0.0966946 10.5863  - - -  - - -  78.4917 77.0995 66.0753 64.1526 - - - - 78.064 - - 65.4108 - - - - 138 146 0 71 0 0 0 0
1699974326.172379000  1000.31 0 49.9885  -  nan  0.00316971 0.143075 -0.0199064  0.00316971 0.143075 -0.0199064  0.0213022 0.1417 9.01542  0.0213022 0.1417 9.01542  - - -  - - -  78.8632 77.7649 65.5804 62.9589 - - - - - - 64.0041 - - - - - 138 146 0 71 0 0 0 0
1699974326.177361000  1000.31 0 49.9885  -  nan  0.00313408 0.100958 0.00875681  0.00313408 0.100958 0.00875681  0.155972 -0.0482553 10.1806  0.155972 -0.0482553 10.1806  - - -  - - -  80.0404 78.3729 64.117 63.132 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.182374000  1000.31 0 49.9887  -  nan  -0.0527299 0.00302598 0.0243774  -0.0527299 0.00302598 0.0243774  0.0537253 -0.0506276 10.7525  0.0537253 -0.0506276 10.7525  - - -  - - -  79.8277 78.6538 63.4864 63.0962 - - - - - 76.3126 - - - - - - 138 146 0 71 0 0 0 0
