# logged on Tue Jan  2 13:28:09 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198489.302813000  1001.07 0 49.9808  -  nan  -0.00977258 -0.000558187 -0.0849311  -0.00977258 -0.000558187 -0.0849311  -0.0328762 0.0441598 10.2988  -0.0328762 0.0441598 10.2988  - - -  - - -  80.9311 67.1886 72.0966 63.1077 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.307819000  1001.07 0 49.9808  -  nan  -0.155774 0.105308 0.0246741  -0.155774 0.105308 0.0246741  -0.0693482 0.250342 9.59553  -0.0693482 0.250342 9.59553  - - -  - - -  80.9947 65.7569 72.6565 62.8071 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.312833000  1001.07 0 49.9808  -  nan  -0.11146 0.061476 0.00206453  -0.11146 0.061476 0.00206453  -0.0358605 -0.0992969 9.96946  -0.0358605 -0.0992969 9.96946  - - -  - - -  81.0435 67.5539 71.7868 62.4693 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.317819000  1001.07 0 49.9819  -  nan  -0.0969136 0.0319621 -0.0230899  -0.0969136 0.0319621 -0.0230899  -0.352552 0.0944905 10.2344  -0.352552 0.0944905 10.2344  - - -  - - -  80.9925 67.3327 71.8603 62.8686 - - - - 80.7103 66.507 71.7154 62.9882 - - - - 138 0 0 70 0 0 0 0
1704198489.322807000  1001.07 0 49.9819  -  nan  -0.141739 0.00387132 0.00202993  -0.141739 0.00387132 0.00202993  0.110309 0.193921 10.2288  0.110309 0.193921 10.2288  - - -  - - -  80.6846 66.9869 72.3012 62.887 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.327857000  1001.07 0 49.9819  -  nan  -0.155749 0.0616773 -0.000974939  -0.155749 0.0616773 -0.000974939  -0.0301417 -0.0404252 9.10821  -0.0301417 -0.0404252 9.10821  - - -  - - -  80.5505 67.3252 72.3539 62.7205 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.332863000  1001.07 0 49.9819  -  nan  -0.097715 -0.0099695 0.0191314  -0.097715 -0.0099695 0.0191314  -0.49147 0.0908301 10.5759  -0.49147 0.0908301 10.5759  - - -  - - -  80.9516 67.7968 72.046 63.1081 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.337848000  1001.07 0 49.9816  -  nan  -0.0974578 -0.069918 -0.0340904  -0.0974578 -0.069918 -0.0340904  0.109203 0.191481 10.4571  0.109203 0.191481 10.4571  - - -  - - -  80.1523 67.2956 72.6724 63.1583 - - - - 80.4376 65.9544 72.1501 62.4922 - - - - 138 0 0 70 0 0 0 0
1704198489.342816000  1001.07 0 49.9816  -  nan  -0.214722 0.0483046 0.00905797  -0.214722 0.0483046 0.00905797  -0.0740009 -0.0355553 8.65218  -0.0740009 -0.0355553 8.65218  - - -  - - -  80.0433 66.798 72.9367 62.5969 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.347826000  1001.07 0 49.9816  -  nan  -0.0977343 -0.0835188 -0.0190594  -0.0977343 -0.0835188 -0.0190594  -0.400277 0.0908301 10.5765  -0.400277 0.0908301 10.5765  - - -  - - -  80.4554 67.9964 72.6232 62.6354 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
