# logged on Mon Dec  4 14:28:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701696482.085178000  1001.16 0 50.0027  -  nan  -0.05368 0.0753957 0.00552794  -0.05368 0.0753957 0.00552794  0.0642426 0.193921 10.2285  0.0642426 0.193921 10.2285  - - -  - - -  73.9809 69.318 73.5414 65.5007 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.090176000  1001.16 0 50.0025  -  nan  -0.184412 0.133802 0.021705  -0.184412 0.133802 0.021705  0.203817 0.0581965 8.98697  0.203817 0.0581965 8.98697  - - -  - - -  73.5772 69.0066 73.5262 65.5631 - - - - - - - 64.8761 - - - - 139 146 134 71 0 0 0 0
1701696482.095176000  1001.15 0 50.001  -  nan  -0.0964912 0.162239 0.0131209  -0.0964912 0.162239 0.0131209  0.0648854 0.149086 9.77624  0.0648854 0.149086 9.77624  - - -  - - -  73.8624 69.8895 73.1991 65.022 - - - - - 70.4424 74.4048 - - - - - 139 146 134 71 0 0 0 0
1701696482.100181000  1001.14 0 50.0009  -  nan  -0.11081 0.176486 0.0116363  -0.11081 0.176486 0.0116363  0.110399 0.147866 9.89074  0.110399 0.147866 9.89074  - - -  - - -  73.9446 69.3922 72.846 65.3073 - - - - 73.0353 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.105173000  1001.13 0 50.0009  -  nan  -0.199754 0.149067 0.0201144  -0.199754 0.149067 0.0201144  0.247005 0.0539208 9.3874  0.247005 0.0539208 9.3874  - - -  - - -  73.8903 69.098 72.6401 65.3938 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.110190000  1001.13 0 50.0018  -  nan  -0.110337 0.219502 -0.00345094  -0.110337 0.219502 -0.00345094  0.0670074 0.200022 9.6576  0.0670074 0.200022 9.6576  - - -  - - -  73.737 69.4998 72.8211 64.9672 - - - - - - - 65.0533 - - - - 139 146 134 71 0 0 0 0
1701696482.115171000  1001.13 0 50.0024  -  nan  -0.125786 0.219573 -0.00451122  -0.125786 0.219573 -0.00451122  0.156739 0.148471 9.83449  0.156739 0.148471 9.83449  - - -  - - -  73.8828 68.8722 72.5891 65.305 - - - - - 68.6153 72.1501 - - - - - 139 146 134 71 0 0 0 0
1701696482.120163000  1001.13 0 50.0011  -  nan  -0.183712 0.161552 -0.0200213  -0.183712 0.161552 -0.0200213  0.292253 0.00888035 9.04959  0.292253 0.00888035 9.04959  - - -  - - -  73.8405 68.3635 72.5599 65.3235 - - - - 73.7137 - - - - - - - 139 146 134 71 0 0 0 0
1701696482.125178000  1001.13 0 50.0011  -  nan  -0.125484 0.262118 -0.00599616  -0.125484 0.262118 -0.00599616  0.0230633 0.250957 9.53862  0.0230633 0.250957 9.53862  - - -  - - -  73.7233 68.2863 73.1228 65.1958 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696482.130170000  1001.13 0 50.003  -  nan  -0.154689 0.234428 0.0065816  -0.154689 0.234428 0.0065816  0.15379 0.0957106 10.1239  0.15379 0.0957106 10.1239  - - -  - - -  73.9554 67.8785 72.6121 65.6594 - - - - - - - 65.4108 - - - - 139 146 134 71 0 0 0 0
