# logged on Wed Nov 29 16:02:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701270143.872433000  1000.72 0 50.0072  -  nan  -0.0688756 -0.0101006 0.0211106  -0.0688756 -0.0101006 0.0211106  0.056825 -0.0980767 9.85596  0.056825 -0.0980767 9.85596  - - -  - - -  78.6399 79.242 82.1066 78.8284 - - - - - 78.8395 82.672 - - - - - 139 0 133 70 0 0 0 0
1701270143.877451000  1000.72 0 50.0072  -  nan  0.0474297 -0.0694546 0.00397929  0.0474297 -0.0694546 0.00397929  0.0158027 0.00461521 9.44669  0.0158027 0.00461521 9.44669  - - -  - - -  78.6975 80.1478 82.2519 78.2339 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.882420000  1000.72 0 50.0059  -  nan  0.00334934 -0.0398766 -8.54921e-05  0.00334934 -0.0398766 -8.54921e-05  0.00697769 -0.152673 10.3168  0.00697769 -0.152673 10.3168  - - -  - - -  78.4349 80.0658 82.6864 78.2855 - - - - 80.4376 - - 80.1667 - - - - 139 0 133 70 0 0 0 0
1701270143.887416000  1000.72 0 50.0059  -  nan  -0.0108056 -0.0261715 -0.0151371  -0.0108056 -0.0261715 -0.0151371  -0.0334596 -0.047746 9.79324  -0.0334596 -0.047746 9.79324  - - -  - - -  78.3595 80.3675 82.7764 77.3575 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.892422000  1000.72 0 50.0057  -  nan  0.0190379 -0.0552521 -0.0266333  0.0190379 -0.0552521 -0.0266333  0.0572881 -0.0508016 10.0798  0.0572881 -0.0508016 10.0798  - - -  - - -  78.2959 80.4473 82.9733 77.1543 - - - - - 78.3208 82.96 - - - - - 139 0 133 70 0 0 0 0
1701270143.897434000  1000.72 0 50.0057  -  nan  -0.0109064 -0.0403534 -0.0146421  -0.0109064 -0.0403534 -0.0146421  0.101048 -0.148397 9.91736  0.101048 -0.148397 9.91736  - - -  - - -  78.0032 80.4432 83.0716 76.9226 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.902428000  1000.72 0 50.0048  -  nan  0.0191014 0.00259875 -0.000510146  0.0191014 0.00259875 -0.000510146  0.0593158 -0.0925809 9.34169  0.0593158 -0.0925809 9.34169  - - -  - - -  78.1773 80.892 83.0099 76.6413 - - - - 78.5793 - - 77.8089 - - - - 139 0 133 70 0 0 0 0
1701270143.907426000  1000.72 0 50.0048  -  nan  0.0187359 -0.0252226 0.0140468  0.0187359 -0.0252226 0.0140468  0.0534127 -0.198112 9.92148  0.0534127 -0.198112 9.92148  - - -  - - -  78.4268 81.1058 82.8661 76.6498 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.912430000  1000.72 0 50.005  -  nan  0.0336851 0.00199089 -0.0130875  0.0336851 0.00199089 -0.0130875  0.0579309 -0.0956365 9.62762  0.0579309 -0.0956365 9.62762  - - -  - - -  78.1574 81.3116 82.8836 76.4152 - - - - - 80.7103 83.2501 - - - - - 139 0 133 70 0 0 0 0
1701270143.917432000  1000.72 0 50.005  -  nan  0.0483512 0.0602081 -0.000546224  0.0483512 0.0602081 -0.000546224  0.148494 -0.145352 9.63276  0.148494 -0.145352 9.63276  - - -  - - -  78.5016 81.3592 82.6828 76.3396 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
