# logged on Fri Jan  5 14:43:08 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704462189.004335000  1000.1 0 50.0066  -  nan  0.0189931 -0.0851711 -0.039175  0.0189931 -0.0851711 -0.039175  -0.131198 -0.108443 10.8246  -0.131198 -0.108443 10.8246  - - -  - - -  77.5692 68.3971 67.7977 63.4017 - - - - 76.0688 - - - - - - - 139 146 133 71 0 0 0 0
1704462189.009334000  1000.1 0 50.0065  -  nan  -0.0381644 0.0136443 -0.115544  -0.0381644 0.0136443 -0.115544  0.296677 0.0186414 8.13622  0.296677 0.0186414 8.13622  - - -  - - -  77.0475 66.6745 68.5401 63.0414 - - - - - 67.2585 68.8137 63.8325 - - - - 139 146 133 71 0 0 0 0
1704462189.014336000  1000.1 0 50.0065  -  nan  -0.143063 0.00824866 0.111535  -0.143063 0.00824866 0.111535  -0.258486 0.0987557 9.83593  -0.258486 0.0987557 9.83593  - - -  - - -  78.5918 67.0516 68.635 62.987 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.019328000  1000.1 0 50.0065  -  nan  -0.0401186 -0.0690567 -0.00202897  -0.0401186 -0.0690567 -0.00202897  -0.268502 -0.0149068 11.2714  -0.268502 -0.0149068 11.2714  - - -  - - -  77.4248 68.4603 67.7665 63.5368 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.024341000  1000.1 0 50.0089  -  nan  -0.0680186 -0.0564812 -0.0733425  -0.0680186 -0.0564812 -0.0733425  0.0640809 0.00949572 8.99034  0.0640809 0.00949572 8.99034  - - -  - - -  77.1945 66.7772 68.6495 62.8735 - - - - 78.064 - - - - - - - 139 146 133 71 0 0 0 0
1704462189.029333000  1000.1 0 50.0055  -  nan  -0.113257 -0.0497379 0.0874617  -0.113257 -0.0497379 0.0874617  0.024344 0.161277 8.63517  0.024344 0.161277 8.63517  - - -  - - -  78.161 66.3418 69.4915 62.6254 - - - - - 67.6407 67.8334 62.9882 - - - - 139 146 133 71 0 0 0 0
1704462189.034320000  1000.1 0 50.0055  -  nan  -0.0692228 -0.0825652 0.0100538  -0.0692228 -0.0825652 0.0100538  -0.357439 0.0374544 10.9239  -0.357439 0.0374544 10.9239  - - -  - - -  77.3276 68.2902 68.6008 63.6164 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.039320000  1000.1 0 50.0055  -  nan  -0.0546843 -0.185667 -0.0542604  -0.0546843 -0.185667 -0.0542604  -0.125668 -0.0962412 9.68287  -0.125668 -0.0962412 9.68287  - - -  - - -  76.8939 67.3833 69.0021 63.2875 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462189.044323000  1000.1 0 50.0069  -  nan  -0.0840336 -0.0666908 0.0492702  -0.0840336 -0.0666908 0.0492702  0.165497 0.214048 8.34579  0.165497 0.214048 8.34579  - - -  - - -  76.921 66.4226 70.5541 62.9159 - - - - 77.0535 - - - - - - - 139 146 133 71 0 0 0 0
1704462189.049325000  1000.09 0 50.0068  -  nan  -0.113302 -0.079657 0.07492  -0.113302 -0.079657 0.07492  -0.632433 0.0847295 11.1457  -0.632433 0.0847295 11.1457  - - -  - - -  76.905 67.9199 69.7884 63.5488 - - - - - 66.507 69.2137 61.8429 - - - - 139 146 133 71 0 0 0 0
