# logged on Tue Dec  5 13:17:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701778671.318317000  1000.1 0 50.0053  -  nan  0.00446519 0.117137 -0.00556561  0.00446519 0.117137 -0.00556561  -0.0228282 0.158837 8.86318  -0.0228282 0.158837 8.86318  - - -  - - -  73.3637 63.764 72.2309 70.9937 - - - - 73.7137 - - - - - - - 139 146 134 71 0 0 0 0
1701778671.323318000  1000.1 0 50.0053  -  nan  0.00412521 0.0456852 -0.0166577  0.00412521 0.0456852 -0.0166577  0.106339 0.092655 10.4095  0.106339 0.092655 10.4095  - - -  - - -  73.6551 63.0802 72.2717 71.3358 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.328326000  1000.1 0 50.0033  -  nan  -0.0969392 0.0755923 0.00255915  -0.0969392 0.0755923 0.00255915  0.152495 0.0466 10.0718  0.152495 0.0466 10.0718  - - -  - - -  73.2618 62.6639 72.4882 71.145 - - - - - 64.3501 73.0353 - - - - - 139 146 134 71 0 0 0 0
1701778671.333311000  1000.1 0 50.004  -  nan  -0.0529673 0.175682 0.00202773  -0.0529673 0.175682 0.00202773  -0.0218072 0.207343 8.97189  -0.0218072 0.207343 8.97189  - - -  - - -  73.5324 63.4534 71.9791 70.5198 - - - - - - - 72.3694 - - - - 139 146 134 71 0 0 0 0
1701778671.338318000  1000.1 0 50.0036  -  nan  -0.111258 0.0898397 0.00107458  -0.111258 0.0898397 0.00107458  0.199577 0.0950953 10.1818  0.199577 0.0950953 10.1818  - - -  - - -  73.7146 63.2631 71.7813 70.8593 - - - - 72.1501 - - - - - - - 139 146 134 71 0 0 0 0
1701778671.343317000  1000.1 0 50.0036  -  nan  -0.169557 0.147847 -0.00496976  -0.169557 0.147847 -0.00496976  0.0641433 0.101196 9.60994  0.0641433 0.101196 9.60994  - - -  - - -  73.0908 63.505 71.9459 69.9849 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.348328000  1000.1 0 50.0038  -  nan  -0.110072 0.233142 -0.0175129  -0.110072 0.233142 -0.0175129  0.0258281 0.257058 8.96776  0.0258281 0.257058 8.96776  - - -  - - -  73.2697 63.7607 71.7935 69.7207 - - - - - 62.822 72.3694 - - - - - 139 146 134 71 0 0 0 0
1701778671.353311000  1000.1 0 50.0034  -  nan  -0.183812 0.14737 -0.0195264  -0.183812 0.14737 -0.0195264  0.154617 0.0975355 9.95313  0.154617 0.0975355 9.95313  - - -  - - -  73.736 63.4546 71.5201 69.838 - - - - - - - 70.8617 - - - - 139 146 134 71 0 0 0 0
1701778671.358318000  1000.1 0 50.0041  -  nan  -0.213707 0.191136 0.00407283  -0.213707 0.191136 0.00407283  0.0220471 0.202462 9.42892  0.0220471 0.202462 9.42892  - - -  - - -  73.2672 63.6067 71.6828 69.3194 - - - - 73.2601 - - - - - - - 139 146 134 71 0 0 0 0
1701778671.363318000  1000.1 0 50.0041  -  nan  -0.183364 0.234017 -0.00896458  -0.183364 0.234017 -0.00896458  0.0673713 0.154572 9.26296  0.0673713 0.154572 9.26296  - - -  - - -  73.412 63.8632 71.4634 69.2988 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.368325000  1000.1 0 50.0023  -  nan  -0.256903 0.176609 -0.011968  -0.256903 0.176609 -0.011968  0.203358 0.149691 9.72066  0.203358 0.149691 9.72066  - - -  - - -  73.3752 63.7047 71.3875 69.3745 - - - - - 63.3232 71.0732 - - - - - 139 146 134 71 0 0 0 0
1701778671.373312000  1000.1 0 50.0023  -  nan  -0.213032 0.262516 -0.0120044  -0.213032 0.262516 -0.0120044  -0.0212591 0.208552 8.85871  -0.0212591 0.208552 8.85871  - - -  - - -  72.9938 63.5548 71.5835 69.0264 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.378319000  1000.1 0 50.001  -  nan  -0.242338 0.220644 0.00106832  -0.242338 0.220644 0.00106832  0.10883 0.0981509 9.89521  0.10883 0.0981509 9.89521  - - -  - - -  73.0137 63.2319 71.5625 69.3301 - - - - 73.9426 - - 69.2137 - - - - 139 146 134 71 0 0 0 0
1701778671.383318000  1000.1 0 50.001  -  nan  -0.256866 0.205515 0.00060906  -0.256866 0.205515 0.00060906  0.157292 0.149691 9.72032  0.157292 0.149691 9.72032  - - -  - - -  72.3779 63.2561 71.5185 69.1211 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
