# logged on Tue Dec  5 13:02:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777763.181585000  1000.44 0 100.009  -  nan  -0.12638 0.0888253 -0.0271197  -0.12638 0.0888253 -0.0271197  0.103668 0.04051 10.6413  0.103668 0.04051 10.6413  - - -  - - -  73.9759 66.7707 71.5983 70.7419 - - - - - - 71.9321 71.5001 - - - - 139 146 0 70 0 0 0 0
1701777763.186603000  1000.44 0 100.01  -  nan  -0.126342 0.117731 -0.0145427  -0.126342 0.117731 -0.0145427  0.0640535 0.147251 9.94799  0.0640535 0.147251 9.94799  - - -  - - -  73.6456 66.2506 71.7509 70.4274 - - - - 72.812 66.8807 - - - - - - 139 146 0 70 0 0 0 0
1701777763.191581000  1000.43 0 100.01  -  nan  -0.272107 0.234962 -0.00147653  -0.272107 0.234962 -0.00147653  0.0674612 0.108517 8.92491  0.0674612 0.108517 8.92491  - - -  - - -  73.6569 66.1643 71.6526 70.1904 - - - - - - 72.1501 70.028 - - - - 139 146 0 70 0 0 0 0
1701777763.196605000  1000.43 0 100.011  -  nan  -0.183976 0.147913 -0.00595936  -0.183976 0.147913 -0.00595936  0.109014 0.144811 10.1767  0.109014 0.144811 10.1767  - - -  - - -  74.2991 67.2668 70.9494 69.5692 - - - - 73.7137 66.6933 - - - - - - 139 146 0 70 0 0 0 0
1701777763.201602000  1000.43 0 100.011  -  nan  -0.242338 0.220644 0.00106832  -0.242338 0.220644 0.00106832  0.019925 0.151527 9.54755  0.019925 0.151527 9.54755  - - -  - - -  73.8005 66.7562 71.0699 69.7422 - - - - - - 72.59 70.028 - - - - 139 146 0 70 0 0 0 0
1701777763.206586000  1000.43 0 100.013  -  nan  -0.329584 0.263587 -0.00642487  -0.329584 0.263587 -0.00642487  0.0649752 0.103031 9.43818  0.0649752 0.103031 9.43818  - - -  - - -  73.7711 67.2197 70.6257 69.4795 - - - - 74.638 65.0533 - - - - - - 139 146 0 70 0 0 0 0
1701777763.211587000  1000.43 0 100.013  -  nan  -0.2279 0.175935 -0.0235558  -0.2279 0.175935 -0.0235558  0.109293 0.145426 10.1191  0.109293 0.145426 10.1191  - - -  - - -  74.0146 67.6737 70.474 68.8869 - - - - - - 71.0732 70.028 - - - - 139 146 0 70 0 0 0 0
1701777763.216596000  1000.42 0 100.015  -  nan  -0.329375 0.292964 -0.00745018  -0.329375 0.292964 -0.00745018  0.0666341 0.106692 9.09567  0.0666341 0.106692 9.09567  - - -  - - -  73.5693 66.7234 70.9091 69.0773 - - - - 73.4862 66.1376 - - - - - - 139 146 0 70 0 0 0 0
1701777763.221611000  1000.42 0 100.012  -  nan  -0.359453 0.263723 -0.00847475  -0.359453 0.263723 -0.00847475  0.0641433 0.101196 9.60994  0.0641433 0.101196 9.60994  - - -  - - -  73.9218 67.17 70.4906 68.6709 - - - - - - 69.8227 68.2221 - - - - 139 146 0 70 0 0 0 0
1701777763.226583000  1000.42 0 100.013  -  nan  -0.272088 0.190318 -0.0270902  -0.272088 0.190318 -0.0270902  0.0608255 0.0938752 10.295  0.0608255 0.0938752 10.295  - - -  - - -  73.6592 67.197 70.637 68.4533 - - - - 74.638 68.0272 - - - - - - 139 146 0 70 0 0 0 0
