# logged on Tue Nov  7 15:17:06 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699366626.407509000  999.976 0 50.0596  -  nan  0.548675 0.249946 0.0179321  0.548675 0.249946 0.0179321  3.00481 -1.09875 11.3741  3.00481 -1.09875 11.3741  - - -  - - -  71.6089 71.8077 70.2765 66.5154 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.412496000  999.977 0 50.0596  -  nan  0.523895 0.187151 0.0166592  0.523895 0.187151 0.0166592  1.03293 3.06535 9.19079  1.03293 3.06535 9.19079  - - -  - - -  72.5514 70.4717 69.3094 67.7947 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.417483000  999.976 0 50.0596  -  nan  0.520116 0.196259 0.0687261  0.520116 0.196259 0.0687261  -2.08358 -1.99645 10.6627  -2.08358 -1.99645 10.6627  - - -  - - -  73.059 71.5471 69.4091 66.6221 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.422475000  999.97 0 50.0559  -  nan  0.605671 0.218559 0.0112001  0.605671 0.218559 0.0112001  2.82887 -1.50941 10.6437  2.82887 -1.50941 10.6437  - - -  - - -  71.6339 71.4724 70.3416 66.9668 - - - - 73.2601 71.0732 69.0131 66.8807 - - - - 0 0 0 0 0 0 0 0
1699366626.427490000  999.961 0 50.0559  -  nan  0.624721 0.183965 0.0542927  0.624721 0.183965 0.0542927  -1.22528 2.78839 9.27404  -1.22528 2.78839 9.27404  - - -  - - -  72.9039 70.2178 69.4396 67.9507 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.432487000  999.955 0 50.0559  -  nan  0.566727 0.168243 0.0816562  0.566727 0.168243 0.0816562  -2.44597 -1.68196 11.4316  -2.44597 -1.68196 11.4316  - - -  - - -  72.607 71.1774 69.6239 67.1729 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.437487000  999.944 0 50.0568  -  nan  0.618435 0.174662 -0.00838327  0.618435 0.174662 -0.00838327  3.31007 0.724952 11.4152  3.31007 0.724952 11.4152  - - -  - - -  71.9203 70.4114 70.1915 68.1138 - - - - 71.286 72.1501 70.8617 67.2585 - - - - 0 0 0 0 0 0 0 0
1699366626.442487000  999.947 0 50.0568  -  nan  0.642951 0.157384 0.0673094  0.642951 0.157384 0.0673094  -0.839705 2.94959 8.98261  -0.839705 2.94959 8.98261  - - -  - - -  73.5757 69.6983 69.0928 68.0678 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.447490000  999.949 0 50.0568  -  nan  0.614531 0.116881 0.0418199  0.614531 0.116881 0.0418199  -0.318068 -2.77481 9.87937  -0.318068 -2.77481 9.87937  - - -  - - -  73.3827 71.0886 69.276 67.1763 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.452494000  999.948 0 50.0568  -  nan  0.674398 0.137473 -0.015497  0.674398 0.137473 -0.015497  3.28378 0.407834 11.2767  3.28378 0.407834 11.2767  - - -  - - -  72.5455 69.754 69.9435 68.5295 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.457493000  999.955 0 50.0609  -  nan  0.696274 0.128172 0.106025  0.696274 0.128172 0.106025  -2.5324 1.49862 10.5433  -2.5324 1.49862 10.5433  - - -  - - -  73.9726 69.6896 69.0869 67.8334 - - - - 73.9426 68.6153 69.8227 69.2137 - - - - 0 0 0 0 0 0 0 0
1699366626.462483000  999.961 0 50.0609  -  nan  0.637153 0.0797271 0.0499468  0.637153 0.0797271 0.0499468  -0.621678 -2.61271 9.91734  -0.621678 -2.61271 9.91734  - - -  - - -  73.2026 70.7338 69.3583 67.608 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.467486000  999.961 0 50.0609  -  nan  0.663756 0.066301 0.0203103  0.663756 0.066301 0.0203103  2.20805 2.33105 9.90634  2.20805 2.33105 9.90634  - - -  - - -  72.5732 69.5378 70.0315 68.7167 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.472489000  999.963 0 50.0609  -  nan  0.719562 0.070475 0.113144  0.719562 0.070475 0.113144  -2.31877 1.67555 10.8679  -2.31877 1.67555 10.8679  - - -  - - -  73.9578 69.4218 69.1278 68.2337 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.477490000  999.968 0 50.067  -  nan  0.699938 0.0415104 0.00315878  0.699938 0.0415104 0.00315878  1.74336 -2.10689 10.8673  1.74336 -2.10689 10.8673  - - -  - - -  72.7119 70.1872 69.6539 68.165 - - - - 73.7137 70.028 69.0131 67.8334 - - - - 0 0 0 0 0 0 0 0
1699366626.482481000  999.972 0 50.067  -  nan  0.687527 0.0316571 0.0189599  0.687527 0.0316571 0.0189599  2.30529 2.14347 9.39392  2.30529 2.14347 9.39392  - - -  - - -  72.7077 68.6399 70.0787 69.2521 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.487497000  999.967 0 50.067  -  nan  0.714559 0.0135667 0.111467  0.714559 0.0135667 0.111467  -2.52121 -0.537649 10.5073  -2.52121 -0.537649 10.5073  - - -  - - -  73.7454 69.1837 69.3303 68.4936 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.492490000  999.968 0 50.067  -  nan  0.697489 -0.00633839 0.00860387  0.697489 -0.00633839 0.00860387  1.53029 -2.0629 11.2797  1.53029 -2.0629 11.2797  - - -  - - -  72.1568 69.5377 70.0272 68.6968 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.497485000  999.969 0 50.0676  -  nan  0.678199 -0.00307369 0.0627051  0.678199 -0.00307369 0.0627051  0.181319 2.81037 9.49463  0.181319 2.81037 9.49463  - - -  - - -  72.7113 67.9266 70.1358 69.425 - - - - 72.1501 69.4155 70.6514 69.8227 - - - - 0 0 0 0 0 0 0 0
1699366626.502487000  999.971 0 50.0676  -  nan  0.723847 -0.0211119 0.113056  0.723847 -0.0211119 0.113056  -2.43993 -0.30397 10.3742  -2.43993 -0.30397 10.3742  - - -  - - -  73.1055 68.7255 69.7797 68.6755 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.507472000  999.973 0 50.0676  -  nan  0.727852 -0.0573683 -6.69651e-05  0.727852 -0.0573683 -6.69651e-05  2.77431 -0.363021 11.9765  2.77431 -0.363021 11.9765  - - -  - - -  71.8333 68.3335 70.6317 69.708 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.512471000  999.972 0 50.0676  -  nan  0.675121 -0.0325198 0.0665979  0.675121 -0.0325198 0.0665979  0.420456 2.74815 9.06731  0.420456 2.74815 9.06731  - - -  - - -  72.5953 67.0759 70.2059 69.6316 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.517471000  999.969 0 50.0714  -  nan  0.681417 -0.0328357 0.0797861  0.681417 -0.0328357 0.0797861  -1.2056 -1.7951 8.40778  -1.2056 -1.7951 8.40778  - - -  - - -  72.8569 68.2857 70.0337 68.8898 - - - - 73.2601 66.8807 69.4155 69.8227 - - - - 0 0 0 0 0 0 0 0
