# logged on Mon Nov 13 16:50:43 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890643.827503000  999.852 0 100.017  -  nan  0.13284 -0.0665126 0.00132941  0.13284 -0.0665126 0.00132941  -0.131488 0.0467222 9.59645  -0.131488 0.0467222 9.59645  - - -  - - -  71.1448 70.5009 69.0979 65.8782 - - - - 72.1501 - 69.4155 65.9544 - - - - 139 146 134 71 0 0 0 0
1699890643.832489000  999.852 0 100.014  -  nan  0.132757 -0.0516917 0.000928596  0.132757 -0.0516917 0.000928596  0.0592828 -0.0473047 9.95046  0.0592828 -0.0473047 9.95046  - - -  - - -  70.7745 69.7151 69.4929 66.6215 - - - - - 69.8227 - - - - - - 139 146 134 71 0 0 0 0
1699890643.837500000  999.85 0 100.016  -  nan  -0.0247292 0.00336104 0.0385254  -0.0247292 0.00336104 0.0385254  0.0588888 -0.0475403 10.0073  0.0588888 -0.0475403 10.0073  - - -  - - -  70.4889 69.4837 69.5857 66.9568 - - - - 71.9321 - 68.6153 65.0533 - - - - 139 146 134 71 0 0 0 0
1699890643.842483000  999.852 0 100.013  -  nan  0.161899 -0.0515366 0.00133351  0.161899 -0.0515366 0.00133351  -0.131891 0.0915948 9.82172  -0.131891 0.0915948 9.82172  - - -  - - -  70.5707 70.579 69.0306 66.2065 - - - - - 68.8137 - - - - - - 139 146 134 71 0 0 0 0
1699890643.847502000  999.85 0 100.012  -  nan  0.104679 -0.0381939 -0.0135936  0.104679 -0.0381939 -0.0135936  0.0600777 -0.0468295 9.83573  0.0600777 -0.0468295 9.83573  - - -  - - -  70.3851 69.8218 69.4668 66.6677 - - - - 71.286 69.8227 68.8137 66.3218 - - - - 139 146 134 71 0 0 0 0
1699890643.852487000  999.851 0 100.012  -  nan  -0.0103869 0.00306539 0.0112067  -0.0103869 0.00306539 0.0112067  0.0608877 0.044821 10.0567  0.0608877 0.044821 10.0567  - - -  - - -  70.5689 69.5751 69.5484 66.7839 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.857487000  999.851 0 100.014  -  nan  0.118611 -0.0379337 0.000359033  0.118611 -0.0379337 0.000359033  -0.0857363 0.0452963 9.94097  -0.0857363 0.0452963 9.94097  - - -  - - -  70.781 70.2252 69.1843 66.1743 - - - - 70.028 70.2346 69.6185 67.0691 - - - - 139 146 134 71 0 0 0 0
1699890643.862484000  999.853 0 100.014  -  nan  0.075459 -0.0245162 -0.0143726  0.075459 -0.0245162 -0.0143726  0.016125 0.0023248 9.25749  0.016125 0.0023248 9.25749  - - -  - - -  70.4728 69.3488 69.6234 66.7529 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.867492000  999.85 0 100.016  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0592828 -0.0473047 9.95046  0.0592828 -0.0473047 9.95046  - - -  - - -  70.7087 69.4148 69.673 66.7438 - - - - 70.4424 - 69.8227 67.4491 - - - - 139 146 134 71 0 0 0 0
1699890643.872494000  999.851 0 100.013  -  nan  0.132739 -0.0242113 -0.0135767  0.132739 -0.0242113 -0.0135767  -0.0365816 0.136472 10.2771  -0.0365816 0.136472 10.2771  - - -  - - -  70.9428 70.1447 69.4196 66.0299 - - - - - 70.8617 - - - - - - 139 146 134 71 0 0 0 0
1699890643.877485000  999.851 0 100.016  -  nan  0.0470061 0.0316536 -0.0162866  0.0470061 0.0316536 -0.0162866  0.0153136 -0.0442133 9.20389  0.0153136 -0.0442133 9.20389  - - -  - - -  70.8817 69.4471 69.4804 66.3803 - - - - 70.6514 - 68.2221 67.0691 - - - - 139 146 134 71 0 0 0 0
1699890643.882474000  999.851 0 100.014  -  nan  -0.024182 0.00261995 -0.016503  -0.024182 0.00261995 -0.016503  0.0101665 -0.00123775 10.1174  0.0101665 -0.00123775 10.1174  - - -  - - -  71.3378 69.9148 69.1681 66.1156 - - - - - 69.6185 - - - - - - 139 146 134 71 0 0 0 0
1699890643.887490000  999.843 0 100.014  -  nan  0.13273 0.00325598 -0.0290646  0.13273 0.00325598 -0.0290646  -0.0345743 0.183725 10.1581  -0.0345743 0.183725 10.1581  - - -  - - -  71.2093 70.3759 69.2317 65.4812 - - - - 70.4424 69.0131 68.6153 67.4491 - - - - 139 146 134 71 0 0 0 0
1699890643.892490000  999.838 0 100.014  -  nan  0.0326457 0.0594297 -0.00347312  0.0326457 0.0594297 -0.00347312  0.0152902 -0.0902803 9.03657  0.0152902 -0.0902803 9.03657  - - -  - - -  71.3425 69.4651 69.0512 66.1545 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.897500000  999.834 0 100.013  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.0597002 -0.00100217 10.0609  0.0597002 -0.00100217 10.0609  - - -  - - -  71.5422 70.0187 68.8167 66.0944 - - - - 72.3694 69.8227 69.4155 67.0691 - - - - 139 146 134 71 0 0 0 0
1699890643.902483000  999.834 0 100.013  -  nan  0.118218 0.0322187 -0.00153814  0.118218 0.0322187 -0.00153814  0.00936196 0.0885075 10.568  0.00936196 0.0885075 10.568  - - -  - - -  71.1864 70.1501 68.8065 66.0227 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
