# logged on Thu Dec 21 16:55:50 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174150.296174000  1000.09 0 49.9996  -  nan  -0.0242182 -0.0294374 -0.0994668  -0.0242182 -0.0294374 -0.0994668  0.0145397 -0.0434808 9.39447  0.0145397 -0.0434808 9.39447  - - -  - - -  75.6706 66.265 67.7928 65.7202 - - - - 75.5858 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.301147000  1000.08 0 50.0006  -  nan  -0.110691 0.0734498 -0.0536675  -0.110691 0.0734498 -0.0536675  0.0704197 0.300058 9.59208  0.0704197 0.300058 9.59208  - - -  - - -  76.1574 65.3808 68.6758 65.5952 - - - - - - 68.0272 - - - - - 139 146 0 70 0 0 0 0
1703174150.306127000  1000.08 0 50.0006  -  nan  -0.200403 0.0340572 0.0105425  -0.200403 0.0340572 0.0105425  -0.212231 0.145426 10.1167  -0.212231 0.145426 10.1167  - - -  - - -  76.4151 66.5846 67.6349 64.9942 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.311156000  1000.08 0 49.9994  -  nan  -0.126116 0.0298898 -0.0803768  -0.126116 0.0298898 -0.0803768  -0.0688945 0.158837 8.86284  -0.0688945 0.158837 8.86284  - - -  - - -  76.0967 67.2073 67.5201 64.9489 - - - - - 67.0691 - 65.9544 - - - - 139 146 0 70 0 0 0 0
1703174150.316190000  1000.07 0 49.9995  -  nan  -0.155081 0.0594693 -0.056212  -0.155081 0.0594693 -0.056212  0.0623946 0.143591 10.2905  0.0623946 0.143591 10.2905  - - -  - - -  76.7004 66.6566 68.4582 64.647 - - - - 77.0535 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.321132000  1000.07 0 49.9995  -  nan  -0.184424 0.061266 -0.0165211  -0.184424 0.061266 -0.0165211  0.022411 0.157012 9.03428  0.022411 0.157012 9.03428  - - -  - - -  76.8039 66.8733 67.8278 64.2744 - - - - - - 68.6153 - - - - - 139 146 0 70 0 0 0 0
1703174150.326122000  1000.07 0 49.9995  -  nan  -0.199874 0.0613362 -0.0175814  -0.199874 0.0613362 -0.0175814  -0.343884 0.206123 9.08371  -0.343884 0.206123 9.08371  - - -  - - -  76.885 67.3926 67.8872 64.5948 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.331118000  1000.07 0 49.9986  -  nan  -0.140699 0.0304977 -0.0677994  -0.140699 0.0304977 -0.0677994  0.193985 -0.00880619 10.7039  0.193985 -0.00880619 10.7039  - - -  - - -  76.7676 67.8018 68.2653 64.5033 - - - - - 64.6998 - 63.4921 - - - - 139 146 0 70 0 0 0 0
1703174150.336172000  1000.07 0 49.9997  -  nan  -0.183782 0.102688 -0.0461091  -0.183782 0.102688 -0.0461091  -0.0218072 0.207343 8.97189  -0.0218072 0.207343 8.97189  - - -  - - -  77.1685 66.861 68.343 64.4224 - - - - 77.5555 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.341125000  1000.07 0 50.0008  -  nan  -0.21442 0.0908502 0.00757303  -0.21442 0.0908502 0.00757303  -0.436659 0.250957 9.53526  -0.436659 0.250957 9.53526  - - -  - - -  77.5257 67.8316 68.0141 64.664 - - - - - - 68.2221 - - - - - 139 146 0 70 0 0 0 0
