    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 3.6250000  -0.1366290   0.3681980   1.2628500   0.0000000   0.0000000  -0.6575420   1.0280200  -0.4933790   0.0381604   0.0000000   0.0000000   0.0000000  -0.1500180   0.1034590   0.0000000   0.0000000   0.0000000   0.0000000
 3.6300000  -0.1314910   0.3657320   1.2630400   0.0000000   0.0000000  -0.6586630   1.0272500  -0.4928440   0.0381604   0.0000000   0.0000000   0.0000000  -0.1588040   0.1107760   0.0000000   0.0000000   0.0000000   0.0000000
 3.6350000  -0.1263560   0.3632690   1.2632400   0.0000000   0.0000000  -0.6597780   1.0264300  -0.4922710   0.0381604   0.0000000   0.0000000   0.0000000  -0.1678400   0.1183430   0.0000000   0.0000000   0.0000000   0.0000000
 3.6400000  -0.1212260   0.3608090   1.2634300   0.0000000   0.0000000  -0.6608870   1.0255700  -0.4916600   0.0381604   0.0000000   0.0000000   0.0000000  -0.1771250   0.1261610   0.0000000   0.0000000   0.0000000   0.0000000
 3.6450000  -0.1161010   0.3583530   1.2636200   0.0000000   0.0000000  -0.6619890   1.0246600  -0.4910090   0.0381604   0.0000000   0.0000000   0.0000000  -0.1866610   0.1342280   0.0000000   0.0000000   0.0000000   0.0000000
 3.6500000  -0.1109800   0.3558990   1.2638100   0.0000000   0.0000000  -0.6630850   1.0237000  -0.4903170   0.0381604   0.0000000   0.0000000   0.0000000  -0.1964470   0.1425450   0.0000000   0.0000000   0.0000000   0.0000000
 3.6550000  -0.1058640   0.3534490   1.2640000   0.0000000   0.0000000  -0.6641750   1.0226900  -0.4895830   0.0381604   0.0000000   0.0000000   0.0000000  -0.2064830   0.1511130   0.0000000   0.0000000   0.0000000   0.0000000
 3.6600000  -0.1007530   0.3510040   1.2641900   0.0000000   0.0000000  -0.6652590   1.0216400  -0.4888060   0.0381604   0.0000000   0.0000000   0.0000000  -0.2167680   0.1599300   0.0000000   0.0000000   0.0000000   0.0000000
 3.6650000  -0.0956475   0.3485620   1.2643800   0.0000000   0.0000000  -0.6663360   1.0205300  -0.4879830   0.0381604   0.0000000   0.0000000   0.0000000  -0.2273040   0.1689970   0.0000000   0.0000000   0.0000000   0.0000000
 3.6700000  -0.0905478   0.3461240   1.2645700   0.0000000   0.0000000  -0.6674080   1.0193600  -0.4871150   0.0381604   0.0000000   0.0000000   0.0000000  -0.2380900   0.1783140   0.0000000   0.0000000   0.0000000   0.0000000
