# logged on Thu Dec 21 17:06:54 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174814.593407000  1000.61 0 50.0074  -  nan  -0.243039 0.192894 0.0427946  -0.243039 0.192894 0.0427946  -0.247166 0.400309 9.40913  -0.247166 0.400309 9.40913  - - -  - - -  77.6107 68.9246 73.2229 63.8234 - - - - 75.8265 - 73.2601 63.6618 - - - - 138 146 134 70 0 0 0 0
1703174814.598407000  1000.62 0 50.0077  -  nan  0.00434479 -0.0431693 -0.0824565  0.00434479 -0.0431693 -0.0824565  0.000823103 -0.396575 9.9965  0.000823103 -0.396575 9.9965  - - -  - - -  77.1206 71.0561 71.9361 63.5974 - - - - - 70.6514 - - - - - - 138 146 134 70 0 0 0 0
1703174814.603405000  1000.63 0 50.0077  -  nan  -0.0814864 0.10114 -0.0662453  -0.0814864 0.10114 -0.0662453  0.122083 0.40397 9.0693  0.122083 0.40397 9.0693  - - -  - - -  77.1603 68.2879 73.9846 64.3039 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.608406000  1000.63 0 50.0077  -  nan  -0.184695 0.164806 0.0613806  -0.184695 0.164806 0.0613806  -0.169582 0.0453799 10.1836  -0.169582 0.0453799 10.1836  - - -  - - -  78.1721 68.8457 73.6252 64.1032 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.613408000  1000.63 0 50.0092  -  nan  0.00446483 0.0445618 -0.0447608  0.00446483 0.0445618 -0.0447608  -0.0918624 -0.397795 10.11  -0.0918624 -0.397795 10.11  - - -  - - -  77.6553 70.3321 72.6076 64.1517 - - - - 76.8049 - 71.5001 64.5245 - - - - 138 146 134 70 0 0 0 0
1703174814.618407000  1000.63 0 50.0083  -  nan  -0.0672607 0.146299 -0.0251059  -0.0672607 0.146299 -0.0251059  -0.0652259 0.397254 9.6964  -0.0652259 0.397254 9.6964  - - -  - - -  78.1301 68.1698 73.9498 64.8378 - - - - - 70.2346 - - - - - - 138 146 134 70 0 0 0 0
1703174814.623406000  1000.63 0 50.0083  -  nan  -0.141108 0.163525 0.0372154  -0.141108 0.163525 0.0372154  0.101048 -0.148397 9.91736  0.101048 -0.148397 9.91736  - - -  - - -  78.3071 69.3402 73.2123 64.4774 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.628408000  1000.63 0 50.0083  -  nan  0.0356396 0.157267 -0.0874071  0.0356396 0.157267 -0.0874071  -0.0347546 -0.0968566 9.74112  -0.0347546 -0.0968566 9.74112  - - -  - - -  78.0666 69.9916 72.3776 64.9786 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.633408000  1000.64 0 50.007  -  nan  -0.0957229 0.174213 -0.0426111  -0.0957229 0.174213 -0.0426111  -0.16201 0.293352 10.2178  -0.16201 0.293352 10.2178  - - -  - - -  78.6362 68.4201 72.9603 65.3601 - - - - 78.5793 - 74.638 64.1766 - - - - 138 146 134 70 0 0 0 0
1703174814.638431000  1000.64 0 50.0053  -  nan  -0.0816428 0.17527 -0.0135185  -0.0816428 0.17527 -0.0135185  0.329589 -0.194452 9.58098  0.329589 -0.194452 9.58098  - - -  - - -  78.4927 69.1625 72.212 65.1351 - - - - - 70.4424 - - - - - - 138 146 134 70 0 0 0 0
