# logged on Fri Jan  5 16:00:36 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704466836.361542000  1000.91 0 50.0046  -  nan  -0.0860997 -0.117918 0.188858  -0.0860997 -0.117918 0.188858  -0.596226 0.0167228 12.8621  -0.596226 0.0167228 12.8621  - - -  - - -  77.6242 70.9285 67.2632 63.5321 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.366559000  1000.91 0 50.0043  -  nan  0.108514 -0.0475112 -0.172295  0.108514 -0.0475112 -0.172295  0.520301 -0.226481 7.93179  0.520301 -0.226481 7.93179  - - -  - - -  75.5506 69.4583 68.8257 63.9916 - - - - - 70.028 69.0131 62.9882 - - - - 138 146 0 70 0 0 0 0
1704466836.371556000  1000.91 0 50.0028  -  nan  -0.0397522 0.0769572 0.0472185  -0.0397522 0.0769572 0.0472185  -0.0132339 0.365019 8.16029  -0.0132339 0.365019 8.16029  - - -  - - -  77.5494 67.108 70.0941 63.9068 - - - - 79.3651 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.376549000  1000.91 0 50.0028  -  nan  -0.042009 -0.120864 0.123023  -0.042009 -0.120864 0.123023  -0.367333 -0.121249 12.0212  -0.367333 -0.121249 12.0212  - - -  - - -  76.9288 70.0004 68.0163 64.2583 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.381544000  1000.91 0 50.0046  -  nan  0.107966 -0.0757645 -0.143167  0.107966 -0.0757645 -0.143167  0.0581106 -0.187747 8.95152  0.0581106 -0.187747 8.95152  - - -  - - -  75.3268 69.4731 68.4887 64.8885 - - - - - 69.8227 - - - - - - 138 146 0 70 0 0 0 0
1704466836.386571000  1000.91 0 50.0037  -  nan  -0.0113983 -0.0387264 0.0260589  -0.0113983 -0.0387264 0.0260589  0.0238903 0.252782 9.36786  0.0238903 0.252782 9.36786  - - -  - - -  77.0919 67.2008 70.136 64.3037 - - - - - - 68.0272 64.0041 - - - - 138 146 0 70 0 0 0 0
1704466836.391549000  1000.91 0 50.0033  -  nan  -0.0560256 -0.0640715 0.120053  -0.0560256 -0.0640715 0.120053  -0.220067 0.0356295 11.0956  -0.220067 0.0356295 11.0956  - - -  - - -  76.215 69.1564 69.012 64.5828 - - - - 77.3036 - - - - - - - 138 146 0 70 0 0 0 0
1704466836.396549000  1000.91 0 50.0033  -  nan  0.0630837 -0.0881181 -0.10501  0.0630837 -0.0881181 -0.10501  -0.171181 -0.0950211 9.56836  -0.171181 -0.0950211 9.56836  - - -  - - -  75.3907 69.7031 68.4844 64.7272 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.401553000  1000.91 0 50.004  -  nan  0.0332819 -0.0547366 -0.0111076  0.0332819 -0.0547366 -0.0111076  0.205017 0.153352 9.37814  0.205017 0.153352 9.37814  - - -  - - -  76.4443 67.0916 70.5582 64.1881 - - - - - 69.6185 - - - - - - 138 146 0 70 0 0 0 0
1704466836.406558000  1000.91 0 50.0033  -  nan  -0.0555521 -0.0210553 0.104966  -0.0555521 -0.0210553 0.104966  -0.350983 0.144206 10.2299  -0.350983 0.144206 10.2299  - - -  - - -  76.5163 68.3262 69.3913 64.5483 - - - - - - 68.0272 64.8761 - - - - 138 146 0 70 0 0 0 0
