# logged on Wed Nov 29 17:35:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701275752.413479000  1000.11 0 50.0162  -  nan  0.401951 0.344165 -0.0145512  0.401951 0.344165 -0.0145512  0.226501 -0.35946 11.0779  0.226501 -0.35946 11.0779  - - -  - - -  84.2413 84.7819 85.6061 82.25 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.418475000  1000.11 0 50.0156  -  nan  0.387602 0.403094 0.010547  0.387602 0.403094 0.010547  0.0496317 -0.252708 10.3826  0.0496317 -0.252708 10.3826  - - -  - - -  84.0461 84.6201 85.8899 82.2447 - - - - 82.3859 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.423474000  1000.1 0 50.015  -  nan  0.474904 0.344413 0.00500353  0.474904 0.344413 0.00500353  0.183222 -0.309129 11.0156  0.183222 -0.309129 11.0156  - - -  - - -  84.4147 84.7768 85.7106 82.5465 - - - - - - - 80.7103 - - - - 139 0 0 70 0 0 0 0
1701275752.428481000  1000.09 0 50.0151  -  nan  0.387237 0.375273 0.0251039  0.387237 0.375273 0.0251039  0.0922808 -0.352754 10.4495  0.0922808 -0.352754 10.4495  - - -  - - -  84.2441 84.0814 85.7756 83.1946 - - - - - 83.2501 85.955 - - - - - 139 0 0 70 0 0 0 0
1701275752.433482000  1000.09 0 50.0151  -  nan  0.503788 0.374201 0.0195244  0.503788 0.374201 0.0195244  0.0583941 -0.0483613 9.8515  0.0583941 -0.0483613 9.8515  - - -  - - -  84.1511 84.6719 85.8361 83.0644 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.438480000  1000.09 0 50.0156  -  nan  0.43035 0.330975 0.016026  0.43035 0.330975 0.016026  0.181927 -0.35824 10.9634  0.181927 -0.35824 10.9634  - - -  - - -  84.1349 84.3323 86.1541 83.8981 - - - - 84.7314 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.443485000  1000.09 0 50.014  -  nan  0.431025 0.402355 -5.12097e-05  0.431025 0.402355 -5.12097e-05  0.0535119 -0.105387 10.54  0.0535119 -0.105387 10.54  - - -  - - -  83.9755 84.387 86.136 83.8782 - - - - - - - 82.672 - - - - 139 0 0 70 0 0 0 0
1701275752.448469000  1000.09 0 50.0123  -  nan  0.503643 0.3301 0.0074777  0.503643 0.3301 0.0074777  0.18396 -0.261249 11.1829  0.18396 -0.261249 11.1829  - - -  - - -  84.5091 84.2637 85.922 84.1495 - - - - - 84.7314 85.3388 - - - - - 139 0 0 70 0 0 0 0
1701275752.453490000  1000.09 0 50.0123  -  nan  0.401656 0.375207 0.0260935  0.401656 0.375207 0.0260935  0.00458152 -0.204213 10.492  0.00458152 -0.204213 10.492  - - -  - - -  84.3594 83.6822 85.9019 84.4684 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.458568000  1000.09 0 50.0121  -  nan  0.503852 0.359477 0.00645239  0.503852 0.359477 0.00645239  0.100868 -0.0562869 10.5935  0.100868 -0.0562869 10.5935  - - -  - - -  84.3752 84.405 85.9744 84.1334 - - - - 84.4309 - - - - - - - 139 0 0 70 0 0 0 0
