# logged on Mon Jan  8 11:01:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708086.068365000  1000.24 0 50.006  -  nan  -0.0680366 0.0607371 -0.00853367  -0.0680366 0.0607371 -0.00853367  -0.1245 -0.00210079 10.0741  -0.1245 -0.00210079 10.0741  - - -  - - -  76.5245 68.2076 69.6042 64.0873 - - - - 77.0535 - - 63.4921 - - - - 138 0 133 70 0 0 0 0
1704708086.073366000  1000.24 0 50.006  -  nan  -0.0536545 0.0317655 -0.0201211  -0.0536545 0.0317655 -0.0201211  0.20428 0.105472 9.21085  0.20428 0.105472 9.21085  - - -  - - -  76.942 67.48 70.0078 63.8995 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708086.078360000  1000.24 0 50.0074  -  nan  -0.141317 0.134148 0.0382407  -0.141317 0.134148 0.0382407  0.157661 0.104252 9.32469  0.157661 0.104252 9.32469  - - -  - - -  77.4713 67.3197 70.2191 63.9912 - - - - - 66.507 - - - - - - 138 0 133 70 0 0 0 0
1704708086.083365000  1000.24 0 50.0067  -  nan  -0.141254 0.119424 0.0251687  -0.141254 0.119424 0.0251687  -0.398708 0.140546 10.5721  -0.398708 0.140546 10.5721  - - -  - - -  78.0199 68.3593 69.1807 63.8276 - - - - - - 69.2137 - - - - - 138 0 133 70 0 0 0 0
1704708086.088369000  1000.25 0 50.0063  -  nan  -0.0676154 0.000246278 -0.0753224  -0.0676154 0.000246278 -0.0753224  0.33488 0.0466 10.0731  0.33488 0.0466 10.0731  - - -  - - -  77.6772 68.1509 69.3877 63.6596 - - - - 77.8089 - - 64.3501 - - - - 138 0 133 70 0 0 0 0
1704708086.093356000  1000.26 0 50.0063  -  nan  -0.169418 0.190935 0.0071123  -0.169418 0.190935 0.0071123  0.301815 0.214048 8.34679  0.301815 0.214048 8.34679  - - -  - - -  78.2861 66.8442 70.3503 63.4846 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708086.098347000  1000.26 0 50.0087  -  nan  -0.200921 0.0793144 0.0768926  -0.200921 0.0793144 0.0768926  -0.726225 0.0810691 11.4876  -0.726225 0.0810691 11.4876  - - -  - - -  79.2934 68.5844 69.0806 63.4785 - - - - - 66.507 - - - - - - 138 0 133 70 0 0 0 0
1704708086.103350000  1000.27 0 50.0088  -  nan  -0.0387387 -0.0435538 -0.0999614  -0.0387387 -0.0435538 -0.0999614  0.428118 0.0490403 9.84543  0.428118 0.0490403 9.84543  - - -  - - -  77.7721 69.1711 69.0285 63.5157 - - - - - - 68.8137 - - - - - 138 0 133 70 0 0 0 0
1704708086.108363000  1000.27 0 50.0081  -  nan  -0.213443 0.204776 -0.00998915  -0.213443 0.204776 -0.00998915  0.210457 0.211608 8.57447  0.210457 0.211608 8.57447  - - -  - - -  78.4601 67.0684 70.6737 63.3903 - - - - 79.1014 - - 64.0041 - - - - 138 0 133 70 0 0 0 0
1704708086.113342000  1000.28 0 50.0081  -  nan  -0.23104 -0.00445066 0.133156  -0.23104 -0.00445066 0.133156  -0.677115 0.0877851 10.8595  -0.677115 0.0877851 10.8595  - - -  - - -  79.3784 68.969 69.024 63.3913 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708086.118364000  1000.29 0 50.0093  -  nan  -0.0240359 -0.074623 -0.138647  -0.0240359 -0.074623 -0.138647  0.424648 -0.00392568 10.2489  0.424648 -0.00392568 10.2489  - - -  - - -  77.1215 69.9649 69.0854 63.8602 - - - - - 68.6153 - - - - - - 138 0 133 70 0 0 0 0
1704708086.123365000  1000.3 0 50.0084  -  nan  -0.183682 0.11687 -0.0466041  -0.183682 0.11687 -0.0466041  0.298861 0.161277 8.63718  0.298861 0.161277 8.63718  - - -  - - -  78.2687 67.2982 71.105 63.2844 - - - - - - 68.6153 - - - - - 138 0 133 70 0 0 0 0
1704708086.128349000  1000.31 0 50.0097  -  nan  -0.202421 -0.106495 0.0979341  -0.202421 -0.106495 0.0979341  -0.49534 0.0822893 11.3751  -0.49534 0.0822893 11.3751  - - -  - - -  78.7799 69.0362 69.8146 63.753 - - - - 78.5793 - - 63.6618 - - - - 138 0 133 70 0 0 0 0
1704708086.133341000  1000.31 0 50.0097  -  nan  -0.0669855 -0.0308678 -0.143137  -0.0669855 -0.0308678 -0.143137  0.335712 0.0484355 9.90135  0.335712 0.0484355 9.90135  - - -  - - -  76.8664 69.5035 70.3059 64.148 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
