# logged on Tue Jan  9 13:17:35 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704802656.069071000  1001.07 0 99.9887  -  nan  -0.0254588 0.10634 0.0743521  -0.0254588 0.10634 0.0743521  -0.349324 0.147866 9.88738  -0.349324 0.147866 9.88738  - - -  - - -  76.2366 66.1327 71.1794 62.7209 - - - - 76.0688 68.6153 70.4424 62.3286 - - - - 139 146 134 70 0 0 0 0
1704802656.074079000  1001.07 0 99.9887  -  nan  0.150148 -0.013301 -0.0191412  0.150148 -0.013301 -0.0191412  -0.0368767 -0.147792 9.85975  -0.0368767 -0.147792 9.85975  - - -  - - -  74.6282 68.167 70.3517 63.007 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.079077000  1001.07 0 99.9871  -  nan  0.123445 0.0969206 -0.134621  0.123445 0.0969206 -0.134621  0.247837 0.0557563 9.21565  0.247837 0.0557563 9.21565  - - -  - - -  74.7116 66.5793 71.4824 63.1784 - - - - 75.3466 66.3218 71.0732 62.822 - - - - 139 146 134 70 0 0 0 0
1704802656.084083000  1001.08 0 99.9871  15.867  nan  0.0181884 0.0647165 0.10698  0.0181884 0.0647165 0.10698  -0.122288 0.00277971 9.61744  -0.122288 0.00277971 9.61744  - - -  - - -  76.092 66.0854 71.2107 62.7874 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.089066000  1001.08 0 99.9864  -  nan  0.09235 0.0899975 0.0422043  0.09235 0.0899975 0.0422043  -0.0790947 -0.00148542 10.0169  -0.0790947 -0.00148542 10.0169  - - -  - - -  74.6124 68.3259 70.2091 63.5853 - - - - 74.8727 66.6933 72.1501 62.822 - - - - 139 146 134 70 0 0 0 0
1704802656.094071000  1001.09 0 99.9864  -  nan  0.093711 0.114526 -0.0547237  0.093711 0.114526 -0.0547237  -0.124774 -0.00270555 10.1307  -0.124774 -0.00270555 10.1307  - - -  - - -  75.3113 67.1333 70.7641 63.2547 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.099077000  1001.09 0 99.9853  -  nan  0.0624806 0.0901333 0.0401544  0.0624806 0.0901333 0.0401544  0.201174 0.00705546 9.21969  0.201174 0.00705546 9.21969  - - -  - - -  75.9061 66.3156 71.3809 62.661 - - - - 76.0688 67.4491 71.286 62.9882 - - - - 139 146 134 70 0 0 0 0
1704802656.104073000  1001.1 0 99.9853  -  nan  0.0782057 0.202909 -0.00355217  0.0782057 0.202909 -0.00355217  -0.122774 0.0932704 10.3502  -0.122774 0.0932704 10.3502  - - -  - - -  75.6775 67.3354 70.8855 63.3895 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802656.109065000  1001.1 0 99.9833  -  nan  0.122021 0.0871161 -0.0246206  0.122021 0.0871161 -0.0246206  -0.266565 -0.0106311 10.8713  -0.266565 -0.0106311 10.8713  - - -  - - -  76.0009 67.4234 70.189 63.4726 - - - - 74.173 66.507 71.7154 62.9882 - - - - 139 146 134 70 0 0 0 0
1704802656.114082000  1001.11 0 99.9833  -  nan  0.0934162 0.145569 -0.014079  0.0934162 0.145569 -0.014079  0.526298 -0.0282345 7.97151  0.526298 -0.0282345 7.97151  - - -  - - -  75.3687 66.4613 71.3225 63.3357 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
