# logged on Wed Dec 13 17:14:49 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.03099  1           0.00671748  2           0.00392137
#  3          -0.00506866  4              1.01317  5            0.0334224
#  6            0.0540395  7           -0.0299119  8             0.969332
# }
# gbias {
#  0           -0.0513409  1            0.0755376  2            0.0383217
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940117  1            0.0306385  2            0.0112014
#  3         -3.77057e-05  4              1.01508  5           -0.0160543
#  6          -0.00828666  7           -0.0860739  8             0.992674
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702484090.166144000  1000.31 0 50.0779  -  nan  0.162746 0.299891 0.161772  0.162746 0.299891 0.161772  0.152839 -2.37614 9.93735  0.152839 -2.37614 9.93735  - - -  - - -  69.5161 71.5031 73.2869 68.5069 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.171145000  1000.32 0 50.0779  -  nan  0.221179 0.365061 -0.0360577  0.221179 0.365061 -0.0360577  1.41282 2.2076 8.42041  1.41282 2.2076 8.42041  - - -  - - -  68.3455 71.6889 72.2276 70.5632 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.176143000  1000.32 0 50.0779  -  nan  0.218227 0.352621 -0.0683938  0.218227 0.352621 -0.0683938  -1.74238 0.389964 11.8596  -1.74238 0.389964 11.8596  - - -  - - -  69.8923 71.7902 72.3901 69.4862 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.181174000  1000.33 0 50.0759  -  nan  0.203787 0.354569 0.173135  0.203787 0.354569 0.173135  2.09773 -1.5007 12.5293  2.09773 -1.5007 12.5293  - - -  - - -  68.9592 71.5849 73.9487 69.601 - - - - 71.0732 71.286 73.0353 69.8227 - - - - 0 0 0 0 0 0 0 0
1702484090.186148000  1000.33 0 50.0759  -  nan  0.252899 0.423978 -0.0289255  0.252899 0.423978 -0.0289255  1.27196 2.27557 7.37114  1.27196 2.27557 7.37114  - - -  - - -  68.818 71.492 72.1169 70.8592 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.191149000  1000.33 0 50.0759  -  nan  0.279713 0.45777 0.0319229  0.279713 0.45777 0.0319229  -1.2278 -1.69646 8.3083  -1.2278 -1.69646 8.3083  - - -  - - -  70.1353 71.655 73.0444 69.2609 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.196147000  1000.32 0 50.0759  -  nan  0.233779 0.409236 0.166352  0.233779 0.409236 0.166352  2.22992 -1.32198 13.337  2.22992 -1.32198 13.337  - - -  - - -  69.4747 71.0719 73.696 70.1065 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.201168000  1000.33 0 50.0781  -  nan  0.245063 0.442101 -0.10015  0.245063 0.442101 -0.10015  -0.889526 1.91591 11.0203  -0.889526 1.91591 11.0203  - - -  - - -  69.6391 71.4798 72.2411 70.9343 - - - - 69.4155 71.0732 74.638 68.4182 - - - - 0 0 0 0 0 0 0 0
1702484090.206153000  1000.34 0 50.0781  -  nan  0.306925 0.505542 0.0283013  0.306925 0.505542 0.0283013  -1.03501 -1.78011 8.07385  -1.03501 -1.78011 8.07385  - - -  - - -  70.0487 71.1472 73.616 69.396 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.211146000  1000.33 0 50.0781  -  nan  0.303964 0.515534 0.098122  0.303964 0.515534 0.098122  2.4013 1.05926 11.2608  2.4013 1.05926 11.2608  - - -  - - -  69.5751 70.8177 73.7468 71.1768 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
