# logged on Tue Dec 19 14:00:12 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702990812.431799000  1000.46 0 50.052  -  nan  0.0929201 0.22106 0.0401918  0.0929201 0.22106 0.0401918  -0.657296 -2.21893 6.47145  -0.657296 -2.21893 6.47145  - - -  - - -  71.8171 73.1729 68.1198 67.9902 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.436769000  1000.48 0 50.052  -  nan  0.115834 0.235906 -0.206559  0.115834 0.235906 -0.206559  1.85126 1.69064 7.98116  1.85126 1.69064 7.98116  - - -  - - -  72.3089 71.6602 67.5759 69.8658 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.441807000  1000.48 0 50.0495  -  nan  0.083473 0.278468 -0.0530169  0.083473 0.278468 -0.0530169  -1.57223 1.32494 12.6452  -1.57223 1.32494 12.6452  - - -  - - -  73.9645 72.5456 67.5923 68.259 - - - - 73.9426 71.9321 67.2585 68.8137 - - - - 0 0 0 0 0 0 0 0
1702990812.446768000  1000.48 0 50.0495  -  nan  0.0999225 0.264616 -0.0586429  0.0999225 0.264616 -0.0586429  1.46304 -2.02964 9.4465  1.46304 -2.02964 9.4465  - - -  - - -  71.7827 72.3878 68.3748 68.6176 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.451783000  1000.47 0 50.0495  -  nan  0.104836 0.269175 -0.187279  0.104836 0.269175 -0.187279  1.69696 1.6627 8.55031  1.69696 1.6627 8.55031  - - -  - - -  72.2714 70.8661 67.5131 69.2722 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.456770000  1000.46 0 50.0495  -  nan  0.100506 0.281221 -0.00797634  0.100506 0.281221 -0.00797634  -1.72235 -0.788902 12.3569  -1.72235 -0.788902 12.3569  - - -  - - -  73.4639 72.1659 67.8326 67.9314 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.461805000  1000.45 0 50.0513  -  nan  0.103875 0.278585 -0.0599013  0.103875 0.278585 -0.0599013  1.40689 -1.83086 8.79153  1.40689 -1.83086 8.79153  - - -  - - -  71.8958 71.5487 68.6048 69.13 - - - - 71.9321 72.59 67.6407 68.2221 - - - - 0 0 0 0 0 0 0 0
1702990812.466771000  1000.45 0 50.0513  -  nan  0.0991744 0.307334 -0.152805  0.0991744 0.307334 -0.152805  -0.0697252 2.16728 5.84557  -0.0697252 2.16728 5.84557  - - -  - - -  73.2191 70.4961 67.1942 69.0521 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.471784000  1000.46 0 50.0513  -  nan  0.0931955 0.301016 -0.0278007  0.0931955 0.301016 -0.0278007  -1.6533 -0.838477 12.6802  -1.6533 -0.838477 12.6802  - - -  - - -  73.1408 71.7666 68.1649 67.645 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.476786000  1000.47 0 50.0513  -  nan  0.121622 0.286552 -0.114321  0.121622 0.286552 -0.114321  2.15586 -0.0413238 12.8525  2.15586 -0.0413238 12.8525  - - -  - - -  72.3201 70.6642 68.488 69.3202 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.481790000  1000.48 0 50.0559  -  nan  0.0827894 0.349136 -0.1373  0.0827894 0.349136 -0.1373  -0.136714 1.97231 6.37101  -0.136714 1.97231 6.37101  - - -  - - -  73.1527 70.7504 67.9175 68.0193 - - - - 72.812 70.2445 68.0272 69.8227 - - - - 0 0 0 0 0 0 0 0
1702990812.486786000  1000.48 0 50.0559  -  nan  0.0664074 0.370808 -0.0440029  0.0664074 0.370808 -0.0440029  -0.237478 -1.95218 8.09201  -0.237478 -1.95218 8.09201  - - -  - - -  72.7006 70.9731 68.4649 67.7778 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.491789000  1000.47 0 50.0559  -  nan  0.112187 0.297444 -0.10035  0.112187 0.297444 -0.10035  2.01033 -0.0205248 11.8138  2.01033 -0.0205248 11.8138  - - -  - - -  72.9126 69.6806 68.0863 69.4098 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.496784000  1000.47 0 50.0559  -  nan  0.107347 0.316474 -0.0982511  0.107347 0.316474 -0.0982511  -1.36788 0.73278 9.6759  -1.36788 0.73278 9.6759  - - -  - - -  73.7423 70.1488 67.5351 68.2464 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.501771000  1000.47 0 50.0559  -  nan  0.0426378 0.389578 -0.0654353  0.0426378 0.389578 -0.0654353  -0.107012 -1.82586 8.99381  -0.107012 -1.82586 8.99381  - - -  - - -  72.3839 70.108 68.8442 68.01 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
