# logged on Tue Nov 14 15:16:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699971368.623942000  1000.26 0 50.0058  -  nan  -0.0381279 0.0308151 -0.0459703  -0.0381279 0.0308151 -0.0459703  0.11877 0.0951615 8.96253  0.11877 0.0951615 8.96253  - - -  - - -  79.8778 77.8081 65.688 62.1972 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.628943000  1000.27 0 50.0067  -  nan  -0.0950735 0.100064 -0.0201257  -0.0950735 0.100064 -0.0201257  0.0165162 0.0927851 9.53545  0.0165162 0.0927851 9.53545  - - -  - - -  80.1149 77.9769 66.1399 61.8671 - - - - - 77.8089 - 64.1766 - - - - 138 146 134 71 0 0 0 0
1699971368.633941000  1000.28 0 50.006  -  nan  -0.0390903 0.128214 -0.0063349  -0.0390903 0.128214 -0.0063349  0.0549293 0.0412585 10.9167  0.0549293 0.0412585 10.9167  - - -  - - -  80.6289 78.8477 65.2942 61.1578 - - - - - - 66.507 - - - - - 138 146 134 71 0 0 0 0
1699971368.638963000  1000.29 0 50.0054  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  -0.033811 0.0469619 9.53928  -0.033811 0.0469619 9.53928  - - -  - - -  80.4194 78.5484 64.5486 61.2838 - - - - 80.1667 - - - - - - - 138 146 134 71 0 0 0 0
1699971368.643942000  1000.3 0 50.0054  -  nan  0.018399 0.018412 0.038725  0.018399 0.018412 0.038725  0.0636583 -0.0446886 9.31897  0.0636583 -0.0446886 9.31897  - - -  - - -  79.752 78.4195 65.1857 62.1399 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.648940000  1000.3 0 50.0045  -  nan  0.103899 0.00404578 0.0403126  0.103899 0.00404578 0.0403126  -0.0485121 -0.00694114 11.4938  -0.0485121 -0.00694114 11.4938  - - -  - - -  79.4156 78.6692 65.2106 62.753 - - - - - 78.5793 - 62.004 - - - - 138 146 134 71 0 0 0 0
1699971368.653941000  1000.29 0 50.0037  -  nan  0.146611 -0.0375987 0.0145071  0.146611 -0.0375987 0.0145071  -0.0354159 -0.0451639 9.43299  -0.0354159 -0.0451639 9.43299  - - -  - - -  78.6794 77.7809 64.8021 63.369 - - - - 81.2612 - 65.4108 - - - - - 138 146 134 71 0 0 0 0
1699971368.658966000  1000.29 0 50.0037  -  nan  0.0753222 -0.0243309 -0.00061544  0.0753222 -0.0243309 -0.00061544  0.0688383 0.00446151 8.74208  0.0688383 0.00446151 8.74208  - - -  - - -  78.4339 77.5145 65.7341 63.9987 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.663946000  1000.28 0 50.0037  -  nan  0.0467737 0.0731522 -0.0174089  0.0467737 0.0731522 -0.0174089  0.00936196 0.0885075 10.568  0.00936196 0.0885075 10.568  - - -  - - -  78.8273 77.7229 66.2138 63.8198 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.668944000  1000.26 0 50.005  -  nan  0.0330658 0.0588606 -0.0457271  0.0330658 0.0588606 -0.0457271  0.0177148 0.00327537 9.02804  0.0177148 0.00327537 9.02804  - - -  - - -  79.551 77.5494 65.5122 62.9111 - - - - - 78.3208 - 63.8325 - - - - 138 146 134 71 0 0 0 0
