# logged on Mon Nov 13 16:42:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890179.155847000  999.974 0 50.0009  -  nan  0.118972 -0.0521504 -0.0277638  0.118972 -0.0521504 -0.0277638  0.00260998 0.0393573 11.3752  0.00260998 0.0393573 11.3752  - - -  - - -  70.5208 69.8228 68.9581 67.3906 - - - - - - 68.2221 68.0272 - - - - 138 0 134 71 0 0 0 0
1699890179.160850000  999.974 0 50.0008  -  nan  0.0746195 0.101153 -0.00400897  0.0746195 0.101153 -0.00400897  0.0216811 0.05076 8.62282  0.0216811 0.05076 8.62282  - - -  - - -  70.1733 69.2327 69.0409 67.2463 - - - - - 69.2137 - - - - - - 138 0 134 71 0 0 0 0
1699890179.165846000  999.975 0 50.0017  -  nan  0.0470479 -0.0242954 0.0127507  0.0470479 -0.0242954 0.0127507  0.0121105 -0.0921815 9.49547  0.0121105 -0.0921815 9.49547  - - -  - - -  71.2198 69.9589 68.4841 67.2272 - - - - 70.028 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.170855000  999.974 0 50.0017  -  nan  0.0907566 -0.0384673 -0.0285288  0.0907566 -0.0384673 -0.0285288  0.0525446 0.0398326 11.2609  0.0525446 0.0398326 11.2609  - - -  - - -  70.5564 70.1316 68.8904 67.1496 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.175846000  999.975 0 50.0014  -  nan  0.0324133 0.100928 -0.00459539  0.0324133 0.100928 -0.00459539  0.0743931 0.098009 8.27482  0.0743931 0.098009 8.27482  - - -  - - -  70.3149 69.6975 68.7457 66.979 - - - - - - 69.4155 66.8807 - - - - 138 0 134 71 0 0 0 0
1699890179.180852000  999.975 0 50.0022  -  nan  0.0473397 -0.0521464 -0.000258208  0.0473397 -0.0521464 -0.000258208  0.0580705 -0.0940826 9.95472  0.0580705 -0.0940826 9.95472  - - -  - - -  71.2566 70.3369 68.3389 67.1613 - - - - - 68.0272 - - - - - - 138 0 134 71 0 0 0 0
1699890179.185863000  999.975 0 50.002  -  nan  0.0613902 -0.0245911 -0.014568  0.0613902 -0.0245911 -0.014568  -0.046531 0.0844697 11.5423  -0.046531 0.0844697 11.5423  - - -  - - -  70.1669 70.0254 69.0612 66.8513 - - - - 71.0732 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.190847000  999.975 0 50.002  -  nan  0.018267 0.114686 -0.00516495  0.018267 0.114686 -0.00516495  0.0272442 0.0991993 7.98716  0.0272442 0.0991993 7.98716  - - -  - - -  70.3285 69.9598 68.591 66.7875 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.195846000  999.975 0 50.0015  -  nan  0.0474227 -0.0669674 0.000142603  0.0474227 -0.0669674 0.000142603  0.0557091 -0.0494414 10.4662  0.0557091 -0.0494414 10.4662  - - -  - - -  71.1413 70.6789 68.3623 67.0041 - - - - - - 67.8334 67.4491 - - - - 138 0 134 71 0 0 0 0
1699890179.200843000  999.975 0 50.0014  -  nan  0.0334077 -0.0524066 -0.0142108  0.0334077 -0.0524066 -0.0142108  0.00181507 0.0388821 11.49  0.00181507 0.0388821 11.49  - - -  - - -  70.059 70.0714 69.0835 66.6504 - - - - - 69.6185 - - - - - - 138 0 134 71 0 0 0 0
1699890179.205831000  999.975 0 50.0002  -  nan  0.00313408 0.100958 0.00875681  0.00313408 0.100958 0.00875681  -0.0218941 0.054087 7.81939  -0.0218941 0.054087 7.81939  - - -  - - -  70.4671 70.3872 68.2626 66.6405 - - - - 70.6514 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.210847000  999.975 0 50.0002  -  nan  0.0618522 -0.0811091 -0.0277847  0.0618522 -0.0811091 -0.0277847  0.150832 -0.00527558 11.0932  0.150832 -0.00527558 11.0932  - - -  - - -  70.9984 70.8679 68.367 67.1244 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890179.215844000  999.972 0 50.0002  -  nan  0.0185951 0.0318743 0.0108367  0.0185951 0.0318743 0.0108367  -0.0904989 0.0424487 10.6283  -0.0904989 0.0424487 10.6283  - - -  - - -  70.0654 70.0459 68.9949 66.8331 - - - - - - 68.6153 67.4491 - - - - 138 0 134 71 0 0 0 0
1699890179.220850000  999.973 0 49.9992  -  nan  0.00348511 0.086755 -0.0183833  0.00348511 0.086755 -0.0183833  -0.0218941 0.054087 7.81939  -0.0218941 0.054087 7.81939  - - -  - - -  70.6672 70.5914 68.039 66.5092 - - - - - 69.6185 - - - - - - 138 0 134 71 0 0 0 0
1699890179.225845000  999.974 0 49.9973  -  nan  0.0619297 -0.094942 -0.0274106  0.0619297 -0.094942 -0.0274106  0.148447 -0.00670143 11.4373  0.148447 -0.00670143 11.4373  - - -  - - -  71.0284 70.5756 68.4957 67.0372 - - - - 70.8617 - - - - - - - 138 0 134 71 0 0 0 0
1699890179.230846000  999.974 0 49.9973  -  nan  0.00359888 0.0179612 0.0110014  0.00359888 0.0179612 0.0110014  -0.088916 0.0433952 10.3999  -0.088916 0.0433952 10.3999  - - -  - - -  69.8723 69.7199 69.0496 66.718 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
