# logged on Thu Dec 21 15:46:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170018.296933000  1000.56 0 49.9992  -  nan  -0.0522998 0.173474 -0.0532093  -0.0522998 0.173474 -0.0532093  -0.0351185 -0.0514064 10.1358  -0.0351185 -0.0514064 10.1358  - - -  - - -  79.1059 68.8298 71.0795 63.8668 - - - - - - 71.7154 63.1552 - - - - 138 0 0 71 0 0 0 0
1703170018.301927000  1000.56 0 50.0002  -  nan  -0.0816804 0.146364 -0.0260955  -0.0816804 0.146364 -0.0260955  0.0190932 0.149691 9.71931  0.0190932 0.149691 9.71931  - - -  - - -  79.5127 68.3216 70.9224 64.0367 - - - - - 68.6153 - - - - - - 138 0 0 71 0 0 0 0
1703170018.306921000  1000.56 0 49.9992  -  nan  -0.081542 0.189452 -0.0140134  -0.081542 0.189452 -0.0140134  0.0603623 0.0466 10.0711  0.0603623 0.0466 10.0711  - - -  - - -  79.2496 68.8312 70.97 64.3859 - - - - 79.6305 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.311928000  1000.56 0 49.9992  -  nan  -0.0382197 0.174532 -0.0241167  -0.0382197 0.174532 -0.0241167  -0.176068 -0.152057 10.2579  -0.176068 -0.152057 10.2579  - - -  - - -  79.5494 68.6662 70.4894 64.6678 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.316932000  1000.56 0 50.0013  -  nan  0.0497314 0.158286 -0.0592835  0.0497314 0.158286 -0.0592835  0.158951 0.153352 9.3778  0.158951 0.153352 9.3778  - - -  - - -  79.2692 67.7762 71.0928 64.8751 - - - - - - 69.4155 62.6566 - - - - 138 0 0 71 0 0 0 0
1703170018.321926000  1000.55 0 50.0011  -  nan  -0.0958417 0.277249 0.0226927  -0.0958417 0.277249 0.0226927  -0.118629 0.102416 9.49443  -0.118629 0.102416 9.49443  - - -  - - -  79.9175 67.3996 71.1079 65.3763 - - - - - 68.0272 - - - - - - 138 0 0 71 0 0 0 0
1703170018.326921000  1000.54 0 50.001  -  nan  0.00511436 0.159572 -0.035189  0.00511436 0.159572 -0.035189  -0.135073 -0.255753 10.6662  -0.135073 -0.255753 10.6662  - - -  - - -  79.937 68.3146 70.1804 65.7058 - - - - 78.5793 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.331927000  1000.54 0 50.001  -  nan  0.0649571 0.1991 -0.101449  0.0649571 0.1991 -0.101449  0.204554 0.106076 9.15426  0.204554 0.106076 9.15426  - - -  - - -  79.5536 66.6982 71.3234 65.8534 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.336932000  1000.53 0 50.0008  -  nan  -0.125629 0.33621 0.0457616  -0.125629 0.33621 0.0457616  -0.166354 0.0987557 9.83661  -0.166354 0.0987557 9.83661  - - -  - - -  80.6465 66.5141 71.3373 65.9342 - - - - - - 71.5001 64.8761 - - - - 138 0 0 71 0 0 0 0
1703170018.341925000  1000.52 0 49.9998  -  nan  0.00554306 0.172669 -0.0628179  0.00554306 0.172669 -0.0628179  -0.0907791 -0.257589 10.8383  -0.0907791 -0.257589 10.8383  - - -  - - -  80.2855 67.6546 70.2104 66.0984 - - - - - 67.8334 - - - - - - 138 0 0 71 0 0 0 0
