# logged on Thu Dec 21 15:23:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703168622.202590000  1000.97 0 49.9974  -  nan  0.0478581 -0.128932 -0.0628448  0.0478581 -0.128932 -0.0628448  -0.00516501 -0.45604 10.9133  -0.00516501 -0.45604 10.9133  - - -  - - -  79.1108 69.5831 72.5916 64.0031 - - - - - - 74.8727 - - - - - 138 145 0 71 0 0 0 0
1703168622.207597000  1000.97 0 49.9987  -  nan  0.00493115 0.0865651 -0.0598127  0.00493115 0.0865651 -0.0598127  0.441857 0.264368 8.28674  0.441857 0.264368 8.28674  - - -  - - -  78.2386 68.8291 73.243 64.1445 - - - - - - - 65.0533 - - - - 138 145 0 71 0 0 0 0
1703168622.212541000  1000.97 0 49.9998  -  nan  -0.185572 0.137637 0.117643  -0.185572 0.137637 0.117643  -0.62791 0.187216 10.8509  -0.62791 0.187216 10.8509  - - -  - - -  80.2184 67.1996 73.8374 64.3605 - - - - 78.3208 65.7722 - - - - - - 138 145 0 71 0 0 0 0
1703168622.217597000  1000.97 0 49.9998  -  nan  0.0775482 -0.0582646 -0.091479  0.0775482 -0.0582646 -0.091479  0.136073 -0.449335 10.2869  0.136073 -0.449335 10.2869  - - -  - - -  79.2952 70.0547 71.8287 63.6993 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.222598000  1000.96 0 49.9998  -  nan  -0.0379177 0.144502 -0.0647968  -0.0379177 0.144502 -0.0647968  0.304585 0.358919 8.73349  0.304585 0.358919 8.73349  - - -  - - -  79.0375 67.3869 73.4485 63.9487 - - - - - - 71.9321 - - - - - 138 145 0 71 0 0 0 0
1703168622.227598000  1000.96 0 49.9999  -  nan  -0.156229 0.135841 0.0779521  -0.156229 0.135841 0.0779521  -0.450124 0.0362342 11.0374  -0.450124 0.0362342 11.0374  - - -  - - -  80.1646 66.5845 73.6637 64.0026 - - - - - - - 64.3501 - - - - 138 145 0 71 0 0 0 0
1703168622.232551000  1000.95 0 49.9989  -  nan  0.0630913 -0.0145301 -0.0658504  0.0630913 -0.0145301 -0.0658504  0.00263908 -0.347258 9.93454  0.00263908 -0.347258 9.93454  - - -  - - -  79.4085 69.4497 71.405 63.099 - - - - 79.8977 68.4182 - - - - - - 138 145 0 71 0 0 0 0
1703168622.237598000  1000.95 0 49.9989  -  nan  -0.052841 0.146233 -0.0241163  -0.052841 0.146233 -0.0241163  0.210003 0.303113 9.30716  0.210003 0.303113 9.30716  - - -  - - -  79.8316 67.0697 72.7852 63.8358 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.242600000  1000.94 0 50  -  nan  -0.0831 0.135508 0.0829708  -0.0831 0.135508 0.0829708  -0.263957 -0.0501862 10.0199  -0.263957 -0.0501862 10.0199  - - -  - - -  80.7757 67.2751 72.3533 63.6703 - - - - - - 73.2601 - - - - - 138 145 0 71 0 0 0 0
1703168622.247595000  1000.94 0 49.999  -  nan  0.093535 0.0425323 -0.0793828  0.093535 0.0425323 -0.0793828  -0.124562 -0.093801 9.45452  -0.124562 -0.093801 9.45452  - - -  - - -  80.3777 68.5453 71.3816 63.5069 - - - - - - - 63.1552 - - - - 138 145 0 71 0 0 0 0
