# logged on Tue Nov 21 16:16:34 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700579794.441571000  1000.73 0 49.9924  -  nan  0.0747926 0.0460068 0.0112445  0.0747926 0.0460068 0.0112445  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  78.0247 79.2434 82.7205 79.2652 - - - - 80.1667 78.064 82.672 78.5793 - - - - 138 146 133 71 0 0 0 0
1700579794.446540000  1000.72 0 49.9924  -  nan  0.0610392 -0.0103877 0.0125721  0.0610392 -0.0103877 0.0125721  0.155538 -0.140621 9.90182  0.155538 -0.140621 9.90182  - - -  - - -  78.1826 79.208 82.7629 79.4169 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.451503000  1000.72 0 49.9924  -  nan  -0.0105473 0.0317192 0.0104318  -0.0105473 0.0317192 0.0104318  -0.0346142 0.0915948 9.82242  -0.0346142 0.0915948 9.82242  - - -  - - -  78.0137 79.4706 83.0417 79.2361 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.456470000  1000.72 0 49.9924  -  nan  0.1182 0.0596991 -0.0160434  0.1182 0.0596991 -0.0160434  0.11043 -5.16086e-05 9.83182  0.11043 -5.16086e-05 9.83182  - - -  - - -  78.0395 80.1678 83.1261 78.737 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.461529000  1000.71 0 49.9924  -  nan  -0.0105655 0.0591996 -0.0040735  -0.0105655 0.0591996 -0.0040735  0.104809 -0.141571 10.1309  0.104809 -0.141571 10.1309  - - -  - - -  78.4421 79.7143 83.3235 78.9674 - - - - 77.8089 80.4376 - 80.1667 - - - - 138 146 133 71 0 0 0 0
1700579794.466551000  1000.71 0 49.9922  -  nan  0.0748337 0.0871348 -0.017392  0.0748337 0.0871348 -0.017392  0.0668682 0.139563 9.53154  0.0668682 0.139563 9.53154  - - -  - - -  78.4646 80.4594 83.4231 78.2913 - - - - - - 82.672 - - - - - 138 146 133 71 0 0 0 0
1700579794.471536000  1000.7 0 49.9922  -  nan  0.0327824 0.0592444 -0.0172302  0.0327824 0.0592444 -0.0172302  0.203883 -0.141096 10.0169  0.203883 -0.141096 10.0169  - - -  - - -  78.8193 80.3363 83.6768 78.3307 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.476474000  1000.71 0 49.9922  -  nan  -0.0107979 0.100698 -0.00519577  -0.0107979 0.100698 -0.00519577  0.057693 -0.0482553 10.1799  0.057693 -0.0482553 10.1799  - - -  - - -  78.7508 80.6006 83.9082 78.1262 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.481498000  1000.72 0 49.994  -  nan  0.146105 0.101348 -0.0167748  0.146105 0.101348 -0.0167748  0.206702 -0.0473047 9.95151  0.206702 -0.0473047 9.95151  - - -  - - -  78.7707 81.2759 83.9133 77.7173 - - - - 79.1014 79.1014 84.7314 78.5793 - - - - 138 146 133 71 0 0 0 0
1700579794.486481000  1000.73 0 49.994  -  nan  0.0321215 0.128779 0.00841354  0.0321215 0.128779 0.00841354  0.155121 -0.186923 9.79136  0.155121 -0.186923 9.79136  - - -  - - -  78.9674 80.9654 83.9167 78.258 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
