# logged on Tue Jan  2 11:27:32 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704191252.525023000  1000.62 0 100.019  -  nan  -0.126714 0.207089 0.0638541  -0.126714 0.207089 0.0638541  -0.12088 -0.13193 8.37485  -0.12088 -0.13193 8.37485  - - -  - - -  77.7152 68.1252 74.0745 67.0115 - - - - - 67.2585 - 68.0272 - - - - 139 145 134 71 0 0 0 0
1704191252.530002000  1000.62 0 100.02  -  nan  0.0341887 0.000325176 -0.0547576  0.0341887 0.000325176 -0.0547576  -0.311251 -0.00758606 10.5861  -0.311251 -0.00758606 10.5861  - - -  - - -  77.9614 68.7334 73.504 67.969 - - - - 77.5555 - 76.558 67.8334 - - - - 139 145 134 71 0 0 0 0
1704191252.535002000  1000.62 0 100.02  -  nan  -0.140825 0.132521 -0.00246024  -0.140825 0.132521 -0.00246024  0.425821 0.0902254 10.6392  0.425821 0.0902254 10.6392  - - -  - - -  77.6755 66.8271 74.7912 67.9408 - - - - - 67.4491 - - - - - - 139 145 134 71 0 0 0 0
1704191252.540002000  1000.6 0 100.02  -  nan  -0.111264 0.207019 0.0649144  -0.111264 0.207019 0.0649144  -0.25622 -0.0331151 8.42249  -0.25622 -0.0331151 8.42249  - - -  - - -  78.4554 68.3061 72.9382 67.5482 - - - - 78.3208 - 73.7137 67.2585 - - - - 139 145 134 71 0 0 0 0
1704191252.545073000  1000.6 0 100.021  -  nan  0.0342518 -0.014399 -0.0678296  0.0342518 -0.014399 -0.0678296  -0.22133 -0.0124666 11.0434  -0.22133 -0.0124666 11.0434  - - -  - - -  78.3531 68.677 73.0623 68.4134 - - - - - 67.0691 - - - - - - 139 145 134 71 0 0 0 0
1704191252.550013000  1000.59 0 100.021  -  nan  -0.096536 0.13232 0.000579236  -0.096536 0.13232 0.000579236  0.565211 0.0466 10.0748  0.565211 0.0466 10.0748  - - -  - - -  78.0614 66.7006 74.4095 68.285 - - - - 77.0535 - 74.638 - - - - - 139 145 134 71 0 0 0 0
1704191252.555003000  1000.59 0 100.02  -  nan  -0.126643 0.265953 0.0899419  -0.126643 0.265953 0.0899419  -0.299765 0.0630664 8.52758  -0.299765 0.0630664 8.52758  - - -  - - -  78.8779 68.3679 72.6611 67.9702 - - - - - 67.6407 - 66.6933 - - - - 139 145 134 71 0 0 0 0
1704191252.560042000  1000.59 0 100.02  -  nan  0.034315 -0.0291232 -0.0809016  0.034315 -0.0291232 -0.0809016  -0.267671 -0.0130713 11.0997  -0.267671 -0.0130713 11.0997  - - -  - - -  78.4626 68.2188 73.1216 68.7854 - - - - 78.3208 - 74.173 66.6933 - - - - 139 145 134 71 0 0 0 0
1704191252.565020000  1000.59 0 100.021  -  nan  -0.183876 0.162094 -0.00645434  -0.183876 0.162094 -0.00645434  0.432088 0.150307 9.66474  0.432088 0.150307 9.66474  - - -  - - -  78.3684 66.1775 74.365 68.6714 - - - - - 69.2137 - - - - - - 139 145 134 71 0 0 0 0
1704191252.570022000  1000.59 0 100.023  -  nan  -0.111776 0.135097 0.0674246  -0.111776 0.135097 0.0674246  -0.442697 -0.0379956 8.87783  -0.442697 -0.0379956 8.87783  - - -  - - -  79.1948 68.6975 72.2147 68.5423 - - - - 77.0535 - 73.7137 69.2137 - - - - 139 145 134 71 0 0 0 0
1704191252.574998000  1000.59 0 100.023  -  nan  0.0194666 -0.0421549 -0.0542623  0.0194666 -0.0421549 -0.0542623  -0.359681 -0.0581117 10.7609  -0.359681 -0.0581117 10.7609  - - -  - - -  78.6427 68.0341 73.1541 69.1169 - - - - - 66.507 - - - - - - 139 145 134 71 0 0 0 0
1704191252.579998000  1000.58 0 100.024  -  nan  -0.141007 0.177707 0.0367205  -0.141007 0.177707 0.0367205  0.204653 0.198802 9.77278  0.204653 0.198802 9.77278  - - -  - - -  78.9679 66.7687 73.9019 68.8381 - - - - 79.3651 - 73.9426 - - - - - 139 145 134 71 0 0 0 0
1704191252.585019000  1000.58 0 100.022  -  nan  -0.155901 0.134756 0.0508181  -0.155901 0.134756 0.0508181  -0.351787 0.00461521 9.444  -0.351787 0.00461521 9.444  - - -  - - -  79.3385 68.6321 72.2129 68.8194 - - - - - 67.2585 - 68.8137 - - - - 139 145 134 71 0 0 0 0
1704191252.590022000  1000.58 0 100.023  -  nan  -0.0241923 -0.000492652 -0.0859207  -0.0241923 -0.000492652 -0.0859207  0.0105518 -0.00697069 10.5308  0.0105518 -0.00697069 10.5308  - - -  - - -  79.0096 67.6837 73.3202 69.2938 - - - - 78.5793 - 73.9426 68.0272 - - - - 139 145 134 71 0 0 0 0
1704191252.595024000  1000.58 0 100.022  -  nan  -0.214382 0.119756 0.0201501  -0.214382 0.119756 0.0201501  0.106892 0.0938752 10.2953  0.106892 0.0938752 10.2953  - - -  - - -  79.31 66.6676 73.8875 69.0145 - - - - - 68.0272 - - - - - - 139 145 134 71 0 0 0 0
1704191252.599999000  1000.58 0 100.024  -  nan  -0.0971407 0.0472286 0.00354911  -0.0971407 0.0472286 0.00354911  -0.391434 0.110342 8.75078  -0.391434 0.110342 8.75078  - - -  - - -  79.4142 68.1061 72.7858 68.6302 - - - - 78.064 - 73.0353 - - - - - 139 145 134 71 0 0 0 0
1704191252.605031000  1000.58 0 100.024  -  nan  -0.0824638 -0.0127854 -0.0486831  -0.0824638 -0.0127854 -0.0486831  -0.0818596 -0.00758606 10.5877  -0.0818596 -0.00758606 10.5877  - - -  - - -  79.0074 67.7286 73.864 69.0089 - - - - - 67.6407 - 69.4155 - - - - 139 145 134 71 0 0 0 0
1704191252.610037000  1000.58 0 100.024  -  nan  -0.200403 0.0340572 0.0105425  -0.200403 0.0340572 0.0105425  0.106528 0.139325 10.6899  0.106528 0.139325 10.6899  - - -  - - -  78.9861 67.1554 74.091 68.867 - - - - 79.8977 - 73.7137 69.2137 - - - - 139 145 134 71 0 0 0 0
1704191252.615018000  1000.59 0 100.024  -  nan  -0.170635 0.0197396 0.0130874  -0.170635 0.0197396 0.0130874  -0.389865 0.160057 8.74632  -0.389865 0.160057 8.74632  - - -  - - -  78.9462 68.2264 73.4298 68.6811 - - - - - 68.2221 - - - - - - 139 145 134 71 0 0 0 0
1704191252.620107000  1000.58 0 100.023  -  nan  -0.127118 -0.0404055 -0.0371656  -0.127118 -0.0404055 -0.0371656  -0.132578 -0.111488 11.1095  -0.132578 -0.111488 11.1095  - - -  - - -  78.6856 68.5261 73.9442 68.8185 - - - - 79.6305 - 74.4048 - - - - - 139 145 134 71 0 0 0 0
1704191252.625007000  1000.58 0 100.021  -  nan  -0.184533 -0.0265038 -0.055186  -0.184533 -0.0265038 -0.055186  0.287986 0.0447751 10.2435  0.287986 0.0447751 10.2435  - - -  - - -  78.5901 67.2573 74.414 68.6661 - - - - - 67.0691 - 69.4155 - - - - 139 145 134 71 0 0 0 0
1704191252.630000000  1000.58 0 100.019  -  nan  -0.244218 0.0506049 0.0613467  -0.244218 0.0506049 0.0613467  -0.482712 0.156407 9.08717  -0.482712 0.156407 9.08717  - - -  - - -  78.9197 68.5601 73.8126 68.5177 - - - - 77.8089 - 73.7137 - - - - - 139 145 134 71 0 0 0 0
1704191252.635000000  1000.58 0 100.02  -  nan  -0.111751 -0.0993008 -0.061224  -0.111751 -0.0993008 -0.061224  0.00015771 -0.213974 11.4054  0.00015771 -0.213974 11.4054  - - -  - - -  78.1295 69.3001 74.019 68.8129 - - - - - - - 68.8137 - - - - 139 145 134 71 0 0 0 0
1704191252.640006000  1000.59 0 100.018  -  nan  -0.257415 0.0321113 -0.0486529  -0.257415 0.0321113 -0.0486529  -0.0663942 0.303113 9.30514  -0.0663942 0.303113 9.30514  - - -  - - -  78.4675 67.7509 74.7949 68.6268 - - - - 78.8395 69.0131 73.9426 68.0272 - - - - 139 145 134 71 0 0 0 0
1704191252.645088000  1000.6 0 100.017  -  nan  -0.303475 -0.0499566 0.0472509  -0.303475 -0.0499566 0.0472509  -0.489447 0.0490403 9.83872  -0.489447 0.0490403 9.83872  - - -  - - -  79.1047 69.4083 74.1542 68.0216 - - - - - 66.8807 - - - - - - 139 145 134 71 0 0 0 0
1704191252.649999000  1000.6 0 100.013  -  nan  -0.111688 -0.114025 -0.0742961  -0.111688 -0.114025 -0.0742961  0.185066 -0.258809 10.9545  0.185066 -0.258809 10.9545  - - -  - - -  78.0987 69.4476 74.65 68.3048 - - - - 78.5793 - 74.4048 - - - - - 139 145 134 71 0 0 0 0
1704191252.655000000  1000.6 0 100.015  -  nan  -0.301842 0.0617997 -0.0245793  -0.301842 0.0617997 -0.0245793  -0.334227 0.504005 9.00042  -0.334227 0.504005 9.00042  - - -  - - -  78.7416 67.7402 75.2119 68.3902 - - - - - - - 69.4155 - - - - 139 145 134 71 0 0 0 0
1704191252.660004000  1000.6 0 100.015  -  nan  -0.317794 -0.0357092 0.0457663  -0.317794 -0.0357092 0.0457663  -0.356886 0.0386745 10.8097  -0.356886 0.0386745 10.8097  - - -  - - -  79.1344 69.2996 74.3902 68.0351 - - - - 78.8395 70.2346 72.59 69.2137 - - - - 139 145 134 71 0 0 0 0
1704191252.665028000  1000.6 0 100.014  -  nan  -0.126634 -0.11562 -0.117026  -0.126634 -0.11562 -0.117026  0.231109 -0.303039 10.446  0.231109 -0.303039 10.446  - - -  - - -  78.3204 68.8599 74.7247 68.2415 - - - - - 69.2137 - - - - - - 139 145 134 71 0 0 0 0
